,TEXT,START,END,LABEL
0,do,121,123,B-CAMPO
1,Campo,124,129,I-CAMPO
2,de,130,132,I-CAMPO
3,Campo,306,311,B-CAMPO
4,de,312,314,I-CAMPO
5,Furado,315,321,I-CAMPO
6,gas,432,435,B-FLUIDODATERRA
7,natural,436,443,I-FLUIDODATERRA
8,gas,587,590,B-FLUIDODATERRA
9,natural,591,598,I-FLUIDODATERRA
10,campo,736,741,B-CAMPO
11,de,742,744,I-CAMPO
12,Furado,745,751,I-CAMPO
13,campo,1096,1101,B-CAMPO
14,gas,1227,1230,B-FLUIDODATERRA
15,7-FU-133-AL,1519,1530,B-POÇO
16,7-FU-134-AL,1532,1543,B-POÇO
17,7-FU-135-AL,1545,1556,B-POÇO
18,7-FU-136-AL,1559,1570,B-POÇO
19,Formacao,1615,1623,B-UNIDADE_LITO
20,campo,1870,1875,B-CAMPO
21,de,1876,1878,I-CAMPO
22,Furado,1879,1885,I-CAMPO
23,gas,2040,2043,B-FLUIDODATERRA
24,natural,2044,2051,I-FLUIDODATERRA
25,Campo,4184,4189,B-CAMPO
26,de,4190,4192,I-CAMPO
27,Furado,4193,4199,I-CAMPO
28,Campo,4238,4243,B-CAMPO
29,de,4244,4246,I-CAMPO
30,Furado,4247,4253,I-CAMPO
31,Campo,4799,4804,B-CAMPO
32,de,4805,4807,I-CAMPO
33,Furado,4808,4814,I-CAMPO
34,campo,5316,5321,B-CAMPO
35,de,5322,5324,I-CAMPO
36,Furado,5325,5331,I-CAMPO
37,campo,5422,5427,B-CAMPO
38,campo,5522,5527,B-CAMPO
39,Campo,5752,5757,B-CAMPO
40,de,5758,5760,I-CAMPO
41,Furado,5761,5767,I-CAMPO
42,gas,6199,6202,B-FLUIDODATERRA
43,campo,6574,6579,B-CAMPO
44,campo,6713,6718,B-CAMPO
45,campo,6762,6767,B-CAMPO
46,bacia,6962,6967,B-BACIA
47,campo,7001,7006,B-CAMPO
48,de,7007,7009,I-CAMPO
49,Furado,7010,7016,I-CAMPO
50,bacia,7048,7053,B-BACIA
51,campo,7160,7165,B-CAMPO
52,campo,7227,7232,B-CAMPO
53,Fazenda,7291,7298,B-CAMPO
54,Tomada,7299,7305,I-CAMPO
55,FU-21,7519,7524,B-POÇO
56,campo,7693,7698,B-CAMPO
57,Formacao,7982,7990,B-UNIDADE_LITO
58,Coqueiro,7991,7999,I-UNIDADE_LITO
