,TEXT,START,END,LABEL
0,poços,458,463,B-POÇO
1,poços,520,525,B-POÇO
2,1-SES-7,551,558,B-POÇO
3,1-SES-123,562,571,B-POÇO
4,Rochas,666,672,B-ROCHA
5,poço,1908,1912,B-POÇO
6,poço,2162,2166,B-POÇO
7,poços,2354,2359,B-POÇO
8,poços,2499,2504,B-POÇO
9,poços,2717,2722,B-POÇO
10,Poços,2829,2834,B-POÇO
11,poços,2880,2885,B-POÇO
12,poços,3171,3176,B-POÇO
13,1-SES-13,3245,3253,B-POÇO
14,1-SES-16,3255,3263,B-POÇO
15,1-SES-24,3265,3273,B-POÇO
16,1-SES-33,3275,3283,B-POÇO
17,3-SES-48,3285,3293,B-POÇO
18,1-SES-50,3295,3303,B-POÇO
19,1-SES-101,3305,3314,B-POÇO
20,1-SES-126,3316,3325,B-POÇO
21,1-SES-7,3336,3343,B-POÇO
22,1-SES-56,3345,3353,B-POÇO
23,9-SES-60D,3355,3364,B-POÇO
24,1-SES-105,3366,3375,B-POÇO
25,1-SES-123,3377,3386,B-POÇO
26,poços,3486,3491,B-POÇO
27,1-FVB-1,3492,3499,I-POÇO
28,1-SES-11,3501,3509,B-POÇO
29,1-SES-31,3511,3519,B-POÇO
30,1-SES-125,3522,3531,B-POÇO
31,poços,3646,3651,B-POÇO
32,1-SES-11,3668,3676,B-POÇO
33,1-SES-13,3678,3686,B-POÇO
34,1-SES-31,3689,3697,B-POÇO
35,1-SES-56,3735,3743,B-POÇO
36,poço,3760,3764,B-POÇO
37,9-SES-60D,3765,3774,I-POÇO
38,óleo,3866,3870,B-FLUIDODATERRA
39,1-SES-56,3887,3895,B-POÇO
40,água,3939,3943,B-FLUIDODATERRA
41,poço,3955,3959,B-POÇO
42,1-SES-13,4005,4013,B-POÇO
43,gás,4015,4018,B-FLUIDODATERRA
44,hidrocarbonetos,4059,4074,B-FLUIDODATERRA
45,poços,4090,4095,B-POÇO
46,1-SES-11,4097,4105,B-POÇO
47,Eoceno,4107,4113,B-UNIDADE_CRONO
48,1-SES-56,4115,4123,B-POÇO
49,poço,4205,4209,B-POÇO
50,1-SES-105,4210,4219,I-POÇO
51,sedimentos,4466,4476,B-NÃOCONSOLID
52,sedimentos,4540,4550,B-NÃOCONSOLID
53,formações,4565,4574,B-UNIDADE_LITO
54,Penedo/,4575,4582,I-UNIDADE_LITO
55,Barra,4582,4587,I-UNIDADE_LITO
56,de,4588,4590,I-UNIDADE_LITO
57,Itiuba,4591,4597,I-UNIDADE_LITO
58,Coqueiro,4600,4608,B-UNIDADE_LITO
59,Seco,4609,4613,I-UNIDADE_LITO
60,embasamento,4620,4631,B-UNIDADE_LITO
61,1-SES-56,4683,4691,B-POÇO
