,TEXT,START,END,LABEL
0,Campo,1116,1121,B-CAMPO
1,de,1122,1124,I-CAMPO
2,Guaricema,1125,1134,I-CAMPO
3,Campo,2203,2208,B-CAMPO
4,de,2209,2211,I-CAMPO
5,Guaricema,2212,2221,I-CAMPO
6,campo,2428,2433,B-CAMPO
7,de,2434,2436,I-CAMPO
8,Camorim,2437,2444,I-CAMPO
9,1-SES-1A,3077,3085,B-POÇO
10,campo,3097,3102,B-CAMPO
11,de,3103,3105,I-CAMPO
12,Guaricema,3106,3115,I-CAMPO
13,Guaricema,3290,3299,B-CAMPO
14,Campo,3387,3392,B-CAMPO
15,campo,3676,3681,B-CAMPO
16,Guaricema,3725,3734,B-CAMPO
17,arenitos,3751,3759,B-ROCHA
18,rochas,3848,3854,B-ROCHA
19,hidrocarbonetos,3969,3984,B-FLUIDODATERRA
20,7-GA-18D,4085,4093,I-POÇO
21,7-GA-19D,4096,4104,B-POÇO
22,Formacao,4394,4402,B-UNIDADE_LITO
23,Calumbi,4403,4410,I-UNIDADE_LITO
24,arenitos,4415,4423,B-ROCHA
25,arenitos,4557,4565,B-ROCHA
26,sedimentos,4602,4612,B-NÃOCONSOLID
27,arenitos,4855,4863,B-ROCHA
28,folhelhos,4957,4966,B-ROCHA
29,folhelho,6201,6209,B-ROCHA
30,arenites,6805,6813,B-ROCHA
31,areias,6896,6902,B-NÃOCONSOLID
32,campo,7085,7090,B-CAMPO
33,poco,7557,7561,B-POÇO
34,GA-69D,7562,7568,I-POÇO
35,GA-70D,7634,7640,B-POÇO
36,poco,7663,7667,B-POÇO
37,hidrocarbonetos,7750,7765,B-FLUIDODATERRA
38,GA-69D,7877,7883,B-POÇO
39,poco,8289,8293,B-POÇO
40,GA-50,8294,8299,I-POÇO
41,campo,9635,9640,B-CAMPO
42,de,9641,9643,I-CAMPO
43,Guaricema,9644,9653,I-CAMPO
44,P0tr0S,9828,9834,B-POÇO
45,campo,10093,10098,B-CAMPO
46,de,10099,10101,I-CAMPO
47,Guaricema,10102,10111,I-CAMPO
48,campo,10581,10586,B-CAMPO
49,de,10587,10589,I-CAMPO
50,Camorim,10590,10597,I-CAMPO
51,Campo,11884,11889,B-CAMPO
52,Campo,14571,14576,B-CAMPO
53,de,14577,14579,I-CAMPO
54,Guaricema,14580,14589,I-CAMPO
55,poco,14901,14905,B-POÇO
56,campo,15127,15132,B-CAMPO
57,de,15133,15135,I-CAMPO
58,Camorim,15136,15143,I-CAMPO
59,campo,16688,16693,B-CAMPO
60,de,16694,16696,I-CAMPO
61,Guaricema,16697,16706,I-CAMPO
62,poco,16888,16892,B-POÇO
63,poco,16932,16936,B-POÇO
64,poco,17130,17134,B-POÇO
65,GA-59/GA-60,17623,17634,B-POÇO
66,poco,17691,17695,B-POÇO
67,GA-054,17696,17702,I-POÇO
68,poco,17889,17893,B-POÇO
69,poco,18658,18662,B-POÇO
70,GA-054,18663,18669,I-POÇO
71,poco,18882,18886,B-POÇO
72,poco,19445,19449,B-POÇO
73,SES-113,19450,19457,I-POÇO
74,gas,19475,19478,B-FLUIDODATERRA
75,natural,19479,19486,I-FLUIDODATERRA
76,SES-113,19624,19631,B-POÇO
77,poco,19937,19941,B-POÇO
78,SES-113,20352,20359,B-POÇO
79,gas,20574,20577,B-FLUIDODATERRA
80,agua,20618,20622,B-FLUIDODATERRA
81,poco,20636,20640,B-POÇO
82,poco,20742,20746,B-POÇO
83,SES-113,20907,20914,B-POÇO
84,SES-115,21028,21035,B-POÇO
85,poco,21148,21152,B-POÇO
86,SES-115,21153,21160,I-POÇO
87,poco,21465,21469,B-POÇO
88,poco,21667,21671,B-POÇO
89,SES-115,21672,21679,I-POÇO
90,poco,21891,21895,B-POÇO
91,poco,22025,22029,B-POÇO
92,SES-102,22111,22118,B-POÇO
93,Campo,22652,22657,B-CAMPO
94,de,22658,22660,I-CAMPO
95,Guaricema,22661,22670,I-CAMPO
96,poco,22922,22926,B-POÇO
97,SES-113,23123,23130,B-POÇO
98,gas,23342,23345,B-FLUIDODATERRA
99,agua,23387,23391,B-FLUIDODATERRA
100,poco,23405,23409,B-POÇO
101,poco,23510,23514,B-POÇO
102,SES-113,23674,23681,B-POÇO
103,poco,23771,23775,B-POÇO
104,SES-1170,23776,23784,I-POÇO
105,SES-117,23912,23919,B-POÇO
106,SES-117,24053,24060,B-POÇO
107,SES-117,24117,24124,B-POÇO
108,poco,24159,24163,B-POÇO
109,campo,24393,24398,B-CAMPO
110,de,24399,24401,I-CAMPO
111,Guaricema,24402,24411,I-CAMPO
112,poco,24962,24966,B-POÇO
113,SES-114,25026,25033,B-POÇO
114,campo,26372,26377,B-CAMPO
115,de,26378,26380,I-CAMPO
116,Guaricema,26381,26390,I-CAMPO
117,campos,26424,26430,B-CAMPO
118,de,26431,26433,I-CAMPO
119,Guaricema,26434,26443,I-CAMPO
120,Oourado,26446,26453,B-CAMPO
121,18,26577,26579,I-POÇO
122,campo,26843,26848,B-CAMPO
123,campos,26881,26887,B-CAMPO
124,de,26888,26890,I-CAMPO
125,Guaricema,26891,26900,I-CAMPO
126,Oourado,26903,26910,B-CAMPO
127,campo,27159,27164,B-CAMPO
128,campos,27276,27282,B-CAMPO
129,de,27283,27285,I-CAMPO
130,Guaricema,27286,27295,I-CAMPO
131,Dourado,27298,27305,B-CAMPO
132,campo,27488,27493,B-CAMPO
133,de,27494,27496,I-CAMPO
134,Guaricema,27497,27506,I-CAMPO
135,Guaricema,27622,27631,B-CAMPO
136,Dourado,27644,27651,B-CAMPO
137,PDO-1,27693,27698,B-POÇO
138,Guaricema,27834,27843,B-CAMPO
139,Campo,29120,29125,B-CAMPO
140,de,29126,29128,I-CAMPO
141,Guaricema,29129,29138,I-CAMPO
142,Campo,29204,29209,B-CAMPO
143,de,29210,29212,I-CAMPO
144,Guaricema,29213,29222,I-CAMPO
145,Poco,29377,29381,B-POÇO
146,GA-680,29382,29388,I-POÇO
147,Campo,29829,29834,B-CAMPO
148,de,29835,29837,I-CAMPO
149,Guaricema,29838,29847,I-CAMPO
150,rocha,29900,29905,B-ROCHA
