,TEXT,START,END,LABEL
0,campos,1021,1027,B-CAMPO
1,Furado,1039,1045,B-CAMPO
2,São,1047,1050,B-CAMPO
3,Miguel,1051,1057,I-CAMPO
4,dos,1058,1061,I-CAMPO
5,Campos,1062,1068,I-CAMPO
6,campo,1237,1242,B-CAMPO
7,de,1243,1245,I-CAMPO
8,Sao,1246,1249,I-CAMPO
9,Miguel,1250,1256,I-CAMPO
10,dos,1257,1260,I-CAMPO
11,Campos,1261,1267,I-CAMPO
12,campo,1454,1459,B-CAMPO
13,de,1460,1462,I-CAMPO
14,Furado,1463,1469,I-CAMPO
15,campo,1613,1618,B-CAMPO
16,de,1619,1621,I-CAMPO
17,Sao,1622,1625,I-CAMPO
18,Miguel,1626,1632,I-CAMPO
19,dos,1633,1636,I-CAMPO
20,Campos,1637,1643,I-CAMPO
21,campos,1763,1769,B-CAMPO
22,hidrocarbonetos,1987,2002,B-FLUIDODATERRA
23,campos,2024,2030,B-CAMPO
24,Sao,2139,2142,B-CAMPO
25,Miguel,2143,2149,I-CAMPO
26,3-FU-53-AL,2159,2169,B-POÇO
27,campo,2216,2221,B-CAMPO
28,de,2222,2224,I-CAMPO
29,Furado,2225,2231,I-CAMPO
30,Poço,2513,2517,B-POÇO
31,poço,2520,2524,B-POÇO
32,hidrocarbonetos,2699,2714,B-FLUIDODATERRA
33,agua,2715,2719,B-FLUIDODATERRA
34,campos,2872,2878,B-CAMPO
35,poços,2901,2906,B-POÇO
36,campo,2915,2920,B-CAMPO
37,óleo,2952,2956,B-FLUIDODATERRA
38,Furado,2994,3000,B-CAMPO
39,óleo,3068,3072,B-FLUIDODATERRA
40,Alagoas,3076,3083,B-BACIA
41,campo,3138,3143,B-CAMPO
42,poços,3215,3220,B-POÇO
43,‘,3513,3514,B-UNIDADE_LITO
44,Campos,3514,3520,I-UNIDADE_LITO
45,gás,3774,3777,B-FLUIDODATERRA
46,água,3898,3902,B-FLUIDODATERRA
47,arenito,3904,3911,B-ROCHA
48,arenito,3929,3936,B-ROCHA
49,arenito,3998,4005,B-ROCHA
50,gas,4281,4284,B-FLUIDODATERRA
51,gás,5018,5021,B-FLUIDODATERRA
52,campos,5655,5661,B-CAMPO
53,hidrocarbonetos,5798,5813,B-FLUIDODATERRA
54,campos,5887,5893,B-CAMPO
