,TEXT,START,END,LABEL
0,bacias,175,181,B-BACIA
1,Sistema,229,236,B-UNIDADE_CRONO
2,Petrolifero,237,248,I-UNIDADE_CRONO
3,bacia,613,618,B-BACIA
4,hidrocarbonetos,776,791,B-FLUIDODATERRA
5,Sistema,872,879,B-UNIDADE_CRONO
6,Petrolifero,880,891,I-UNIDADE_CRONO
7,Campo,1145,1150,B-CAMPO
8,de,1151,1153,I-CAMPO
9,Pilar,1154,1159,I-CAMPO
10,agua,1204,1208,B-FLUIDODATERRA
11,doce,1209,1213,I-FLUIDODATERRA
12,Sistema,1252,1259,B-UNIDADE_CRONO
13,Petrolifero,1260,1271,I-UNIDADE_CRONO
14,Muribeca,1272,1280,I-UNIDADE_CRONO
15,folhelhos,1329,1338,B-ROCHA
16,Membro,1342,1348,B-UNIDADE_LITO
17,Ibura,1349,1354,I-UNIDADE_LITO
18,Membro,1430,1436,B-UNIDADE_LITO
19,Camopolis,1437,1446,I-UNIDADE_LITO
20,neo-01igoceno,1635,1648,B-UNIDADE_CRONO
21,Paleoceno,1790,1799,B-UNIDADE_CRONO
22,Eoceno,1804,1810,B-UNIDADE_CRONO
23,Neo-Alagoas,2141,2152,B-UNIDADE_CRONO
24,bacia,2261,2266,B-BACIA
25,bacia,2334,2339,B-BACIA
26,Sistema,2341,2348,B-UNIDADE_CRONO
27,Petrolifero,2349,2360,I-UNIDADE_CRONO
28,Taquari-Calumbi,2361,2376,I-UNIDADE_CRONO
29,SES-92,2448,2454,B-POÇO
30,SES-106,2456,2463,B-POÇO
31,Membro,2519,2525,B-UNIDADE_LITO
32,Aracaju,2526,2533,I-UNIDADE_LITO
33,Fm.,2535,2538,B-UNIDADE_LITO
34,Cotinguiba,2539,2549,I-UNIDADE_LITO
35,ALS-30,2559,2565,B-POÇO
36,Turoniana,2620,2629,B-UNIDADE_CRONO
37,bacia,3203,3208,B-BACIA
38,folhelhos,3439,3448,B-ROCHA
39,rochas,4191,4197,B-ROCHA
40,bacia,4654,4659,B-BACIA
41,rochas,4794,4800,B-ROCHA
42,rochas,4959,4965,B-ROCHA
43,bacia,5185,5190,B-BACIA
44,Sub-Bacia,5236,5245,B-BACIA
45,Alagoas,5246,5253,I-BACIA
46,Bacia,5751,5756,B-BACIA
47,Sergipe-Alagoas,5757,5772,I-BACIA
48,Bacia,6595,6600,B-BACIA
49,Sergipe-Alagoas,6601,6616,I-BACIA
50,albo-turoniana,6795,6809,B-UNIDADE_CRONO
51,Bacia,6813,6818,B-BACIA
52,Sergipe­,6819,6827,I-BACIA
53,Alagoas,6828,6835,I-BACIA
54,da,7093,7095,B-BACIA
55,Bacia,7096,7101,I-BACIA
56,Sergipe­,7102,7110,I-BACIA
57,Sub-Bacia,7662,7671,B-BACIA
58,Sergipe,7672,7679,I-BACIA
59,das,7823,7826,B-BACIA
60,Bacias,7827,7833,I-BACIA
