,TEXT,START,END,LABEL
0,Campos,526,532,B-BACIA
1,campo,634,639,B-CAMPO
2,poços,805,810,B-POÇO
3,poços,966,971,B-POÇO
4,gas,985,988,B-FLUIDODATERRA
5,campos,1255,1261,B-CAMPO
6,campo,1539,1544,B-CAMPO
7,de,1545,1547,I-CAMPO
8,Cidade,1548,1554,I-CAMPO
9,de,1555,1557,I-CAMPO
10,São,1558,1561,I-CAMPO
11,Miguel,1562,1568,I-CAMPO
12,dos,1569,1572,I-CAMPO
13,Campos,1573,1579,I-CAMPO
14,poços,1786,1791,B-POÇO
15,poços,1855,1860,B-POÇO
16,água,1915,1919,B-FLUIDODATERRA
17,gas,2351,2354,B-FLUIDODATERRA
18,campo,2456,2461,B-CAMPO
19,poços,2943,2948,B-POÇO
20,poços,3099,3104,B-POÇO
21,poços,3238,3243,B-POÇO
22,poços,3314,3319,B-POÇO
23,poços,3480,3485,B-POÇO
24,gás,3503,3506,B-FLUIDODATERRA
25,poços,3635,3640,B-POÇO
26,poços,3774,3779,B-POÇO
27,poços,3850,3855,B-POÇO
28,gás,4398,4401,B-FLUIDODATERRA
29,poços,4471,4476,B-POÇO
30,poços,4513,4518,B-POÇO
31,gãs,4665,4668,B-ROCHA
32,poços,4794,4799,B-POÇO
33,poços,4985,4990,B-POÇO
34,poços,5027,5032,B-POÇO
35,campo,5309,5314,B-CAMPO
36,poços,5481,5486,B-POÇO
37,campos,5657,5663,B-CAMPO
38,agua,5857,5861,B-FLUIDODATERRA
39,poços,6857,6862,B-POÇO
40,gas,6903,6906,B-FLUIDODATERRA
41,gás,6943,6946,B-FLUIDODATERRA
42,poços,7254,7259,B-POÇO
43,gás,7303,7306,B-FLUIDODATERRA
44,poços,7365,7370,B-POÇO
45,campo,7374,7379,B-CAMPO
46,de,7380,7382,I-CAMPO
47,Pilar,7383,7388,I-CAMPO
48,campos,7439,7445,B-CAMPO
49,poços,7784,7789,B-POÇO
50,gás,7833,7836,B-FLUIDODATERRA
51,poços,7895,7900,B-POÇO
52,campo,7904,7909,B-CAMPO
53,de,7910,7912,I-CAMPO
54,Pilar,7913,7918,I-CAMPO
55,campos,7969,7975,B-CAMPO
56,gás,8356,8359,B-FLUIDODATERRA
57,poços,8468,8473,B-POÇO
58,campo,8642,8647,B-CAMPO
59,de,8648,8650,I-CAMPO
60,Pilar,8651,8656,I-CAMPO
61,poços,8774,8779,B-POÇO
62,gás,8963,8966,B-FLUIDODATERRA
63,poços,9075,9080,B-POÇO
64,poços,9245,9250,B-POÇO
65,campo,9254,9259,B-CAMPO
66,de,9260,9262,I-CAMPO
67,Pilar,9263,9268,I-CAMPO
68,poços,9386,9391,B-POÇO
69,poços,9815,9820,B-POÇO
70,campos,9856,9862,B-CAMPO
71,poços,10164,10169,B-POÇO
72,poços,10225,10230,B-POÇO
73,Gas,10427,10430,B-FLUIDODATERRA
74,Campo,10513,10518,B-CAMPO
75,de,10519,10521,I-CAMPO
76,Cidade,10522,10528,I-CAMPO
77,de,10529,10531,I-CAMPO
78,S.,10532,10534,I-CAMPO
79,Campo,10600,10605,B-CAMPO
80,campos,10736,10742,B-CAMPO
81,de,10743,10745,I-CAMPO
82,Campo,11486,11491,B-CAMPO
83,Campo,11502,11507,B-CAMPO
84,poços,11612,11617,B-POÇO
85,Campo,11661,11666,B-CAMPO
86,de,11667,11669,I-CAMPO
87,Pilar,11670,11675,I-CAMPO
