,TEXT,START,END,LABEL
0,Campo,509,514,B-CAMPO
1,de,515,517,I-CAMPO
2,Carmópolis,518,528,I-CAMPO
3,campo,668,673,B-CAMPO
4,Pocos,4785,4790,B-POÇO
5,poços,5005,5010,B-POÇO
6,POÇOS,6026,6031,B-POÇO
7,poços,6117,6122,B-POÇO
8,poços,6167,6172,B-POÇO
9,poços,6225,6230,B-POÇO
10,poços,6251,6256,B-POÇO
11,13,6257,6259,I-POÇO
12,poços,6336,6341,B-POÇO
13,poços,6481,6486,B-POÇO
14,poços,7522,7527,B-POÇO
15,Poços,8926,8931,B-POÇO
16,quairos,9127,9134,B-ROCHA
17,Poções,9459,9465,B-POÇO
18,poço,9653,9657,B-POÇO
19,CP,9663,9665,B-POÇO
20,poços,9782,9787,B-POÇO
21,Poções,10306,10312,B-POÇO
22,poços,11138,11143,B-POÇO
23,CP,11145,11147,B-POÇO
24,água,14307,14311,B-FLUIDODATERRA
