,TEXT,START,END,LABEL
0,agua,1472,1476,B-FLUIDODATERRA
1,agua,1533,1537,B-FLUIDODATERRA
2,gas,3697,3700,B-FLUIDODATERRA
3,água,6611,6615,B-FLUIDODATERRA
4,agua,7284,7288,B-FLUIDODATERRA
5,agua,7481,7485,B-FLUIDODATERRA
6,agua,7938,7942,B-FLUIDODATERRA
7,bombas,8414,8420,B-NÃOCONSOLID
8,bombas,8520,8526,B-NÃOCONSOLID
9,areia,8990,8995,B-NÃOCONSOLID
10,Areia,9085,9090,B-NÃOCONSOLID
11,bomba,9151,9156,B-NÃOCONSOLID
12,areia,9352,9357,B-NÃOCONSOLID
13,gás,9928,9931,B-FLUIDODATERRA
14,2S,9985,9987,B-POÇO
15,agua,10010,10014,B-FLUIDODATERRA
16,agua,10172,10176,B-FLUIDODATERRA
17,agua,10221,10225,B-FLUIDODATERRA
18,CP-4E8,10757,10763,B-POÇO
19,CP-483,10773,10779,B-POÇO
20,CP-4tG,10968,10974,B-POÇO
21,poços,10981,10986,B-POÇO
22,CP-465,11112,11118,B-POÇO
23,CP-466,11120,11126,B-POÇO
24,CP-474,11128,11134,B-POÇO
25,CP-479,11136,11142,B-POÇO
26,CP-477,11144,11150,B-POÇO
27,CP-469,11152,11158,B-POÇO
28,CP-47S,11169,11175,B-POÇO
29,poços,11601,11606,B-POÇO
30,Poços,11836,11841,B-POÇO
31,poços,11958,11963,B-POÇO
