,TEXT,START,END,LABEL
0,gás,57,60,B-FLUIDODATERRA
1,campos,391,397,B-CAMPO
2,poços,657,662,B-POÇO
3,gases,836,841,B-FLUIDODATERRA
4,gases,912,917,B-FLUIDODATERRA
5,campos,1731,1737,B-CAMPO
6,gás,2496,2499,B-FLUIDODATERRA
7,poço,2550,2554,B-POÇO
8,campo,2900,2905,B-CAMPO
9,de,2906,2908,I-CAMPO
10,Siririzinho,2909,2920,I-CAMPO
11,gás,3001,3004,B-FLUIDODATERRA
12,poço,3053,3057,B-POÇO
13,7-52-112-Se,3058,3069,I-POÇO
14,gás,3096,3099,B-FLUIDODATERRA
15,água,3102,3106,B-FLUIDODATERRA
16,campo,3365,3370,B-CAMPO
17,pocos,3507,3512,B-POÇO
18,campo,3544,3549,B-CAMPO
19,de,3550,3552,I-CAMPO
20,Carmópolis,3553,3563,I-CAMPO
21,campo,3621,3626,B-CAMPO
22,óleo,3741,3745,B-FLUIDODATERRA
23,água,3748,3752,B-FLUIDODATERRA
24,gás,3906,3909,B-FLUIDODATERRA
25,poços,4493,4498,B-POÇO
26,Siririzinho,4674,4685,B-CAMPO
27,gases,4743,4748,B-FLUIDODATERRA
28,gás,4776,4779,B-FLUIDODATERRA
29,campo,4783,4788,B-CAMPO
30,de,4789,4791,I-CAMPO
31,Carmópolis,4792,4802,I-CAMPO
32,agua,4853,4857,B-FLUIDODATERRA
33,poços,5345,5350,B-POÇO
34,HS,5988,5990,B-POÇO
35,gases,6446,6451,B-FLUIDODATERRA
36,poços,6861,6866,B-POÇO
37,poços,6977,6982,B-POÇO
38,poços,7153,7158,B-POÇO
39,poços,7250,7255,B-POÇO
40,HS,7454,7456,B-POÇO
41,gás,7827,7830,B-FLUIDODATERRA
42,petróleo,8406,8414,B-FLUIDODATERRA
43,gás,8416,8419,B-FLUIDODATERRA
44,natural,8420,8427,I-FLUIDODATERRA
45,esgotos,8429,8436,B-FLUIDODATERRA
46,gás,8561,8564,B-FLUIDODATERRA
47,petróleo,8702,8710,B-FLUIDODATERRA
48,gas,8713,8716,B-FLUIDODATERRA
49,natural,8717,8724,I-FLUIDODATERRA
50,gás,9240,9243,B-FLUIDODATERRA
51,gás,9976,9979,B-FLUIDODATERRA
52,gás,10300,10303,B-FLUIDODATERRA
53,água,10385,10389,B-FLUIDODATERRA
54,gás,13661,13664,B-FLUIDODATERRA
55,gás,14081,14084,B-FLUIDODATERRA
56,alcool,14993,14999,B-FLUIDODATERRA
57,HS,15279,15281,B-POÇO
58,gás,15301,15304,B-FLUIDODATERRA
59,gás,15601,15604,B-FLUIDODATERRA
60,gás,17328,17331,B-FLUIDODATERRA
61,gás,17697,17700,B-FLUIDODATERRA
62,gás,18376,18379,B-FLUIDODATERRA
63,agua,19019,19023,B-FLUIDODATERRA
64,óleo,20237,20241,B-FLUIDODATERRA
65,água,20529,20533,B-FLUIDODATERRA
66,água,20719,20723,B-FLUIDODATERRA
67,gás,22203,22206,B-FLUIDODATERRA
68,óleo,24568,24572,B-FLUIDODATERRA
69,água,24575,24579,B-FLUIDODATERRA
70,óleo,24617,24621,B-FLUIDODATERRA
71,óleo,24714,24718,B-FLUIDODATERRA
72,diesel,24719,24725,I-FLUIDODATERRA
73,água,24756,24760,B-FLUIDODATERRA
74,petróleo,25505,25513,B-FLUIDODATERRA
75,óleo,25530,25534,B-FLUIDODATERRA
76,poços,25675,25680,B-POÇO
77,água,25868,25872,B-FLUIDODATERRA
78,petróleo,25876,25884,B-FLUIDODATERRA
79,água,26001,26005,B-FLUIDODATERRA
80,água,26643,26647,B-FLUIDODATERRA
81,do,26648,26650,I-FLUIDODATERRA
82,mar,26651,26654,I-FLUIDODATERRA
83,agua,26965,26969,B-FLUIDODATERRA
84,poços,27437,27442,B-POÇO
85,gás,27461,27464,B-FLUIDODATERRA
86,natural,27465,27472,I-FLUIDODATERRA
87,águas,27514,27519,B-FLUIDODATERRA
88,anidrita,27543,27551,B-ROCHA
89,campo,27627,27632,B-CAMPO
90,campos,27697,27703,B-CAMPO
91,poço,28023,28027,B-POÇO
92,poço,28476,28480,B-POÇO
93,gáse,31205,31209,B-FLUIDODATERRA
94,campo,31843,31848,B-CAMPO
95,poços,33008,33013,B-POÇO
96,óleo,33029,33033,B-FLUIDODATERRA
97,poços,33796,33801,B-POÇO
98,poços,33899,33904,B-POÇO
99,Sergipe,33919,33926,B-BACIA
100,poço,34020,34024,B-POÇO
101,poços,34174,34179,B-POÇO
102,gases,34186,34191,B-FLUIDODATERRA
103,poço,34204,34208,B-POÇO
104,poço,34880,34884,B-POÇO
105,poço,35027,35031,B-POÇO
106,poço,35557,35561,B-POÇO
107,gás,35844,35847,B-FLUIDODATERRA
108,poço,35902,35906,B-POÇO
109,poço,36044,36048,B-POÇO
110,poço,36605,36609,B-POÇO
111,poços,36956,36961,B-POÇO
112,gás,37171,37174,B-FLUIDODATERRA
113,poços,37221,37226,B-POÇO
114,bomba,37634,37639,B-NÃOCONSOLID
115,poços,38608,38613,B-POÇO
116,poço,38794,38798,B-POÇO
117,poço,39025,39029,B-POÇO
118,sistema,39585,39592,B-UNIDADE_CRONO
119,poços,39726,39731,B-POÇO
120,petróleo,39735,39743,B-FLUIDODATERRA
121,gás,39745,39748,B-FLUIDODATERRA
122,água,39752,39756,B-FLUIDODATERRA
123,poços,39862,39867,B-POÇO
124,poço,39960,39964,B-POÇO
125,poços,40097,40102,B-POÇO
126,poço,40259,40263,B-POÇO
127,poços,40554,40559,B-POÇO
128,HS,40633,40635,B-POÇO
129,campos,40806,40812,B-CAMPO
130,gás,40843,40846,B-FLUIDODATERRA
131,gases,43199,43204,B-FLUIDODATERRA
132,gases,44154,44159,B-FLUIDODATERRA
133,gases,44252,44257,B-FLUIDODATERRA
134,gases,44313,44318,B-FLUIDODATERRA
135,poluentes,44319,44328,I-FLUIDODATERRA
136,gases,44395,44400,B-FLUIDODATERRA
137,gases,44533,44538,B-FLUIDODATERRA
138,carvão,44586,44592,B-ROCHA
139,gases,44981,44986,B-FLUIDODATERRA
140,gases,45089,45094,B-FLUIDODATERRA
141,gases,45183,45188,B-FLUIDODATERRA
142,couro,46464,46469,B-ROCHA
143,gás,48378,48381,B-FLUIDODATERRA
144,gases,57484,57489,B-FLUIDODATERRA
145,gases,58521,58526,B-FLUIDODATERRA
146,gases,58582,58587,B-FLUIDODATERRA
147,gases,58774,58779,B-FLUIDODATERRA
148,gases,59271,59276,B-FLUIDODATERRA
149,gases,59540,59545,B-FLUIDODATERRA
150,poços,59955,59960,B-POÇO
151,gases,60107,60112,B-FLUIDODATERRA
152,gases,60238,60243,B-FLUIDODATERRA
153,gases,60455,60460,B-FLUIDODATERRA
154,carvão,60679,60685,B-ROCHA
155,carvão,60709,60715,B-ROCHA
156,Viquidos,60889,60897,B-ROCHA
157,carvao,60998,61004,B-ROCHA
158,carvão,61062,61068,B-ROCHA
159,carvão,61197,61203,B-ROCHA
