,TEXT,START,END,LABEL
0,água,379,383,B-FLUIDODATERRA
1,água,1251,1255,B-FLUIDODATERRA
2,poço,3256,3260,B-POÇO
3,água,3926,3930,B-FLUIDODATERRA
4,rocha,5053,5058,B-ROCHA
5,argilas,5141,5148,B-NÃOCONSOLID
6,água,6459,6463,B-FLUIDODATERRA
7,água,7550,7554,B-FLUIDODATERRA
8,poços,7670,7675,B-POÇO
9,óleo,7777,7781,B-FLUIDODATERRA
10,óleo,8529,8533,B-FLUIDODATERRA
11,óleo,9121,9125,B-FLUIDODATERRA
12,água,9599,9603,B-FLUIDODATERRA
13,Água,9845,9849,B-FLUIDODATERRA
14,água,10410,10414,B-FLUIDODATERRA
15,água,11127,11131,B-FLUIDODATERRA
16,água,11240,11244,B-FLUIDODATERRA
17,óleo,11610,11614,B-FLUIDODATERRA
18,Campo,11687,11692,B-CAMPO
19,óleo,12567,12571,B-FLUIDODATERRA
20,margo,12976,12981,B-ROCHA
21,petróleo,13303,13311,B-FLUIDODATERRA
22,poços,13386,13391,B-POÇO
23,óleo,14309,14313,B-FLUIDODATERRA
24,petróleo,14369,14377,B-FLUIDODATERRA
25,poços,14453,14458,B-POÇO
26,CP,15553,15555,B-POÇO
