,TEXT,START,END,LABEL
0,Arenito,1156,1163,B-ROCHA
1,Guaricema,1164,1173,I-ROCHA
2,Campo,1177,1182,B-CAMPO
3,de,1183,1185,I-CAMPO
4,Guaricema,1186,1195,I-CAMPO
5,água,1425,1429,B-FLUIDODATERRA
6,Formação,1433,1441,B-UNIDADE_LITO
7,Muribeca,1442,1450,I-UNIDADE_LITO
8,campo,1499,1504,B-CAMPO
9,de,1505,1507,I-CAMPO
10,Camorim,1508,1515,I-CAMPO
11,formação,1582,1590,B-UNIDADE_LITO
12,Serraria,1591,1599,I-UNIDADE_LITO
13,campo,1603,1608,B-CAMPO
14,de,1609,1611,I-CAMPO
15,Caioba,1612,1618,I-CAMPO
16,campo,1735,1740,B-CAMPO
17,de,1741,1743,I-CAMPO
18,Atalaia,1744,1751,I-CAMPO
19,Sul,1752,1755,I-CAMPO
20,formação,1797,1805,B-UNIDADE_LITO
21,Serraria,1806,1814,I-UNIDADE_LITO
22,campo,2103,2108,B-CAMPO
23,de,2109,2111,I-CAMPO
24,Guaricema,2112,2121,I-CAMPO
25,Arenito,2125,2132,B-ROCHA
26,Guaricema,2133,2142,I-ROCHA
27,campo,2177,2182,B-CAMPO
28,de,2183,2185,I-CAMPO
29,Caioba,2186,2192,I-CAMPO
30,Campo,2232,2237,B-CAMPO
31,de,2238,2240,I-CAMPO
32,Riachuelo,2241,2250,I-CAMPO
33,formação,2254,2262,B-UNIDADE_LITO
34,Muribeca,2263,2271,I-UNIDADE_LITO
35,Formação,2408,2416,B-UNIDADE_LITO
36,Muribeca/Carmópolis,2417,2436,I-UNIDADE_LITO
37,Campo,2440,2445,B-CAMPO
38,de,2446,2448,I-CAMPO
39,Carmo,2449,2454,I-CAMPO
40,campos,2511,2517,B-CAMPO
41,de,2518,2520,I-CAMPO
42,Pilar,2521,2526,I-CAMPO
43,Rio,2529,2532,I-CAMPO
44,Remédio,2533,2540,I-CAMPO
45,Campo,2629,2634,B-CAMPO
46,de,2635,2637,I-CAMPO
47,Atala,2638,2643,I-CAMPO
48,Sul,2647,2650,I-CAMPO
49,Campo,2674,2679,B-CAMPO
50,da,2680,2682,I-CAMPO
51,Cidade,2683,2689,I-CAMPO
52,de,2690,2692,I-CAMPO
53,São,2693,2696,I-CAMPO
54,campos,2742,2748,B-CAMPO
55,de,2749,2751,I-CAMPO
56,Caio,2752,2756,I-CAMPO
57,ba,2757,2759,I-CAMPO
58,Camorim,2762,2769,B-CAMPO
59,Campo,2820,2825,B-CAMPO
60,de,2826,2828,I-CAMPO
