,TEXT,START,END,LABEL
0,embasamento,386,397,B-UNIDADE_LITO
1,campo,431,436,B-CAMPO
2,de,437,439,I-CAMPO
3,Carmopólis,440,450,I-CAMPO
4,bacia,474,479,B-BACIA
5,Sergipe/Alagoas,480,495,I-BACIA
6,embasamento,821,832,B-UNIDADE_LITO
7,óleo,1002,1006,B-FLUIDODATERRA
8,Embasamento,1018,1029,B-UNIDADE_LITO
9,formações,1080,1089,B-UNIDADE_LITO
10,MUR/OIT,1090,1097,I-UNIDADE_LITO
11,Embasamento,1111,1122,B-UNIDADE_LITO
12,poço,1482,1486,B-POÇO
13,poço,1498,1502,B-POÇO
14,poço,1627,1631,B-POÇO
15,poços,1668,1673,B-POÇO
16,poços,1766,1771,B-POÇO
17,poços,1810,1815,B-POÇO
18,poços,1884,1889,B-POÇO
19,poços,1968,1973,B-POÇO
20,Embasamento,2073,2084,B-UNIDADE_LITO
21,Poços,2102,2107,B-POÇO
22,Embasamento,2148,2159,B-UNIDADE_LITO
23,poços,2344,2349,B-POÇO
24,Embasamento,2362,2373,B-UNIDADE_LITO
25,CP-240,2375,2381,B-POÇO
26,CP-254,2385,2391,B-POÇO
27,CP-265,2395,2401,B-POÇO
28,Grupo,2471,2476,B-UNIDADE_LITO
29,Poços,2482,2487,B-POÇO
30,formação,2528,2536,B-UNIDADE_LITO
31,MUR/IBU,2537,2544,I-UNIDADE_LITO
32,Grupo,2551,2556,B-UNIDADE_LITO
33,Poços,2562,2567,B-POÇO
34,formação,2584,2592,B-UNIDADE_LITO
35,MUR/IBU,2593,2600,I-UNIDADE_LITO
36,Grupo,2609,2614,B-UNIDADE_LITO
37,13,2615,2617,I-UNIDADE_LITO
38,poços,2624,2629,B-POÇO
39,Embasamento,2734,2745,B-UNIDADE_LITO
40,formação,2751,2759,B-UNIDADE_LITO
41,poços,2833,2838,B-POÇO
42,poços,2889,2894,B-POÇO
43,poços,2908,2913,B-POÇO
44,pocos,2957,2962,B-POÇO
45,poços,2998,3003,B-POÇO
46,poços,3066,3071,B-POÇO
47,poços,3089,3094,B-POÇO
48,poços,3122,3127,B-POÇO
49,CP-753,3309,3315,B-POÇO
50,CP-1020,3325,3332,B-POÇO
51,poços,3636,3641,B-POÇO
52,abandono,3670,3678,B-FLUIDODATERRA
53,poço,3906,3910,B-POÇO
54,CP-1026,3911,3918,I-POÇO
55,poços,3960,3965,B-POÇO
56,Embasamento,4067,4078,B-UNIDADE_LITO
57,formação,4084,4092,B-UNIDADE_LITO
58,formação,4130,4138,B-UNIDADE_LITO
59,RIA/TQR,4139,4146,I-UNIDADE_LITO
60,poços,4203,4208,B-POÇO
61,"CP-1070,CP-1126,CP-1172",4241,4264,B-POÇO
62,Embasamento,4335,4346,B-UNIDADE_LITO
63,formação,4352,4360,B-UNIDADE_LITO
64,formação,4442,4450,B-UNIDADE_LITO
