,TEXT,START,END,LABEL
0,poços,82,87,B-POÇO
1,óleo,104,108,B-FLUIDODATERRA
2,gás,111,114,B-FLUIDODATERRA
3,óleo,200,204,B-FLUIDODATERRA
4,Campo,422,427,B-CAMPO
5,14.2,428,432,I-CAMPO
6,Campo,488,493,B-CAMPO
7,15.2,494,498,I-CAMPO
8,poço,505,509,B-POÇO
9,Campo,547,552,B-CAMPO
10,16.2,553,557,I-CAMPO
11,poço,564,568,B-POÇO
12,17,569,571,I-POÇO
13,Arenito,574,581,B-ROCHA
14,Dourado,582,589,I-ROCHA
15,DO-9,705,709,B-POÇO
16,poços,1003,1008,B-POÇO
17,1-SES-5,1050,1057,B-POÇO
18,3-DO-1,1059,1065,B-POÇO
19,3-DO-2,1067,1073,B-POÇO
20,3-DO-15,1075,1082,B-POÇO
21,campo,1160,1165,B-CAMPO
22,de,1166,1168,I-CAMPO
23,Douradc,1169,1176,I-CAMPO
24,agua,2189,2193,B-FLUIDODATERRA
25,poços,2313,2318,B-POÇO
26,DO-12D,2354,2360,B-POÇO
27,Po,3487,3489,B-POÇO
28,Poços,3605,3610,B-POÇO
29,erenitos,3643,3651,B-ROCHA
30,arenito,4013,4020,B-ROCHA
31,agua,4717,4721,B-FLUIDODATERRA
32,agua,5069,5073,B-FLUIDODATERRA
33,crerito,5434,5441,B-ROCHA
34,mailto,5451,5457,B-ROCHA
35,Arerito,6910,6917,B-ROCHA
36,poços,6972,6977,B-POÇO
37,DC-12,6985,6990,B-POÇO
