,TEXT,START,END,LABEL
0,óleo,1091,1095,B-FLUIDODATERRA
1,poços,1187,1192,B-POÇO
2,pocos,1293,1298,B-POÇO
3,poços,1469,1474,B-POÇO
4,CP-448,1498,1504,B-POÇO
5,poços,1649,1654,B-POÇO
6,CP-71,1689,1694,B-POÇO
7,formação,1922,1930,B-UNIDADE_LITO
8,Barra,1931,1936,I-UNIDADE_LITO
9,de,1937,1939,I-UNIDADE_LITO
10,Itiúba,1940,1946,I-UNIDADE_LITO
11,poços,1989,1994,B-POÇO
12,poços,2041,2046,B-POÇO
13,CP-312,2373,2379,B-POÇO
14,CP-71,2382,2387,B-POÇO
15,CP-313,2415,2421,B-POÇO
16,CP-312,2470,2476,B-POÇO
17,Areia,2509,2514,B-NÃOCONSOLID
18,CP~321,2606,2612,B-POÇO
19,poço,2628,2632,B-POÇO
20,CP-321,2733,2739,B-POÇO
21,CP-217,2793,2799,B-POÇO
22,CP-321,2834,2840,B-POÇO
23,areia,2907,2912,B-NÃOCONSOLID
24,água,2935,2939,B-FLUIDODATERRA
25,areia,2994,2999,B-NÃOCONSOLID
26,água,3044,3048,B-FLUIDODATERRA
27,água,3131,3135,B-FLUIDODATERRA
28,CP-312,3384,3390,B-POÇO
29,CP-7l,3393,3398,B-POÇO
30,CP-313,3425,3431,B-POÇO
31,CP-312,3478,3484,B-POÇO
32,Areia,3517,3522,B-NÃOCONSOLID
33,CP~321,3613,3619,B-POÇO
34,poço,3635,3639,B-POÇO
35,CP-321,3741,3747,B-POÇO
36,CP-217,3801,3807,B-POÇO
37,CP-321,3840,3846,B-POÇO
38,areia,3913,3918,B-NÃOCONSOLID
39,água,3941,3945,B-FLUIDODATERRA
40,água,4050,4054,B-FLUIDODATERRA
41,agua,4137,4141,B-FLUIDODATERRA
42,poço,4151,4155,B-POÇO
43,arenito,4200,4207,B-ROCHA
44,CP-453,4441,4447,B-POÇO
45,CP-439,4449,4455,B-POÇO
46,CP-319,4458,4464,B-POÇO
47,poços,4611,4616,B-POÇO
48,poços,4747,4752,B-POÇO
49,CP-221,5042,5048,B-POÇO
50,CP-313,5051,5057,B-POÇO
51,poços,5133,5138,B-POÇO
52,poços,5394,5399,B-POÇO
53,CP-448,5462,5468,B-POÇO
54,campo,5504,5509,B-CAMPO
55,de,5510,5512,I-CAMPO
56,Carmópolis,5513,5523,I-CAMPO
57,Muribeca,5568,5576,B-UNIDADE_LITO
58,Barra,5579,5584,B-UNIDADE_LITO
59,de,5585,5587,I-UNIDADE_LITO
60,Itiuba,5588,5594,I-UNIDADE_LITO
61,formação,5648,5656,B-UNIDADE_LITO
62,Muribeca,5657,5665,I-UNIDADE_LITO
63,Carmópolis,5674,5684,B-ROCHA
64,arenitos,5752,5760,B-ROCHA
65,conglomerados,5791,5804,B-ROCHA
66,formação,6177,6185,B-UNIDADE_LITO
67,Barra,6186,6191,I-UNIDADE_LITO
68,de,6192,6194,I-UNIDADE_LITO
69,Itiuba,6195,6201,I-UNIDADE_LITO
70,arenitos,6232,6240,B-ROCHA
71,óleo,6363,6367,B-FLUIDODATERRA
72,arenitos,6522,6530,B-ROCHA
73,Campo,6739,6744,B-CAMPO
74,de,6745,6747,I-CAMPO
75,Carmópolis,6748,6758,I-CAMPO
76,óleo,6767,6771,B-FLUIDODATERRA
77,formação,7033,7041,B-UNIDADE_LITO
78,Barra,7042,7047,I-UNIDADE_LITO
79,ce,7048,7050,I-UNIDADE_LITO
80,óleo,7080,7084,B-FLUIDODATERRA
81,óleo,7148,7152,B-FLUIDODATERRA
82,campo,7304,7309,B-CAMPO
83,CP,7376,7378,B-POÇO
84,CP-7,7385,7389,B-POÇO
85,CP-107,7417,7423,B-POÇO
86,CP-377,7425,7431,B-POÇO
87,CP-404,7434,7440,B-POÇO
