,TEXT,START,END,LABEL
0,agua,141,145,B-FLUIDODATERRA
1,agua,478,482,B-FLUIDODATERRA
2,campo,522,527,B-CAMPO
3,poço,640,644,B-POÇO
4,injetor,645,652,B-POÇO
5,poços,712,717,B-POÇO
6,produtores,718,728,B-POÇO
7,poço,792,796,B-POÇO
8,injetor,797,804,B-POÇO
9,agua,1141,1145,B-FLUIDODATERRA
10,Campo,1167,1172,B-CAMPO
11,de,1173,1175,I-CAMPO
12,Riachuelo,1176,1185,I-CAMPO
13,formação,1520,1528,B-UNIDADE_LITO
14,Muribeca,1529,1537,I-UNIDADE_LITO
15,formação,1718,1726,B-UNIDADE_LITO
16,Maribeca,1727,1735,I-UNIDADE_LITO
17,poço,1937,1941,B-POÇO
18,injetor,1942,1949,B-POÇO
19,CP-II,2137,2142,B-POÇO
20,agua,2227,2231,B-FLUIDODATERRA
21,Campo,2257,2262,B-CAMPO
22,de,2263,2265,I-CAMPO
23,Riachuelo,2266,2275,I-CAMPO
24,água,2327,2331,B-FLUIDODATERRA
25,poços,2424,2429,B-POÇO
26,RO-50,2430,2435,I-POÇO
27,poços,2644,2649,B-POÇO
28,poço,2709,2713,B-POÇO
29,água,2902,2906,B-FLUIDODATERRA
30,poço,3266,3270,B-POÇO
31,NOX-O1~SE,3271,3280,I-POÇO
32,Rocha,3492,3497,B-ROCHA
33,formação,3609,3617,B-UNIDADE_LITO
34,Muribeca,3618,3626,I-UNIDADE_LITO
35,formação,3696,3704,B-UNIDADE_LITO
36,luribeca,3705,3713,I-UNIDADE_LITO
37,Campo,3717,3722,B-CAMPO
38,de,3723,3725,I-CAMPO
39,itizehuelo,3726,3736,I-CAMPO
40,Campo,3742,3747,B-CAMPO
41,de,3748,3750,I-CAMPO
42,Carmópolis,3751,3761,I-CAMPO
43,Rocha,3815,3820,B-ROCHA
44,poços,3863,3868,B-POÇO
45,campo,3873,3878,B-CAMPO
46,de,3879,3881,I-CAMPO
47,Carmópolis,3882,3892,I-CAMPO
48,rocha,4015,4020,B-ROCHA
49,água,4512,4516,B-FLUIDODATERRA
50,água,4609,4613,B-FLUIDODATERRA
51,sistema,4948,4955,B-UNIDADE_CRONO
52,Rocha,4956,4961,I-UNIDADE_CRONO
53,Rocha,5089,5094,B-ROCHA
54,Campo,5127,5132,B-CAMPO
55,de,5133,5135,I-CAMPO
56,Carmópolis,5136,5146,I-CAMPO
57,conglomerados,5285,5298,B-ROCHA
58,agua,5336,5340,B-FLUIDODATERRA
59,óleo,5622,5626,B-FLUIDODATERRA
60,residual,5627,5635,I-FLUIDODATERRA
61,agua,6373,6377,B-FLUIDODATERRA
62,Campo,6399,6404,B-CAMPO
63,de,6405,6407,I-CAMPO
64,Riachuclo,6408,6417,I-CAMPO
65,poços,6461,6466,B-POÇO
66,produtores,6467,6477,B-POÇO
67,poco,6483,6487,B-POÇO
68,poço,6674,6678,B-POÇO
69,injetor,6679,6686,B-POÇO
70,óleo,7715,7719,B-FLUIDODATERRA
71,CP-I,7736,7740,B-POÇO
72,poços,7758,7763,B-POÇO
