,TEXT,START,END,LABEL
0,rocha,556,561,B-ROCHA
1,campo,875,880,B-CAMPO
2,de,881,883,I-CAMPO
3,Tabuleiro,884,893,I-CAMPO
4,dos,894,897,I-CAMPO
5,Martins,898,905,I-CAMPO
6,campo,945,950,B-CAMPO
7,óleo,997,1001,B-FLUIDODATERRA
8,óleo,1062,1066,B-FLUIDODATERRA
9,campo,1070,1075,B-CAMPO
10,água,1285,1289,B-FLUIDODATERRA
11,óleo,1372,1376,B-FLUIDODATERRA
12,água,1564,1568,B-FLUIDODATERRA
13,óleo,1692,1696,B-FLUIDODATERRA
14,água,1805,1809,B-FLUIDODATERRA
15,água,1864,1868,B-FLUIDODATERRA
16,poços,1984,1989,B-POÇO
17,água,2078,2082,B-FLUIDODATERRA
18,poços,2133,2138,B-POÇO
19,TM-06,2139,2144,I-POÇO
20,TM-27,2147,2152,B-POÇO
21,água,2388,2392,B-FLUIDODATERRA
22,poços,2461,2466,B-POÇO
23,água,2800,2804,B-FLUIDODATERRA
24,óleo,2986,2990,B-FLUIDODATERRA
25,água,3138,3142,B-FLUIDODATERRA
26,água,3313,3317,B-FLUIDODATERRA
27,óleo,3446,3450,B-FLUIDODATERRA
28,água,3483,3487,B-FLUIDODATERRA
29,água,3632,3636,B-FLUIDODATERRA
30,água,3745,3749,B-FLUIDODATERRA
31,campo,3892,3897,B-CAMPO
32,óleo,4099,4103,B-FLUIDODATERRA
33,água,4355,4359,B-FLUIDODATERRA
34,areia,4394,4399,B-NÃOCONSOLID
35,água,4665,4669,B-FLUIDODATERRA
36,campo,4821,4826,B-CAMPO
37,água,5107,5111,B-FLUIDODATERRA
38,poço,5153,5157,B-POÇO
39,poços,5174,5179,B-POÇO
40,água,5300,5304,B-FLUIDODATERRA
41,bomba,5470,5475,B-NÃOCONSOLID
42,água,5831,5835,B-FLUIDODATERRA
43,poços,5851,5856,B-POÇO
44,produtores,5857,5867,B-POÇO
45,água,5927,5931,B-FLUIDODATERRA
46,poços,5978,5983,B-POÇO
47,água,6123,6127,B-FLUIDODATERRA
48,campo,6154,6159,B-CAMPO
49,poços,6257,6262,B-POÇO
50,TN-12,6280,6285,B-POÇO
51,TM-41D,6291,6297,B-POÇO
52,TM-46,6303,6308,B-POÇO
53,TM-21,6314,6319,B-POÇO
54,óleo,6343,6347,B-FLUIDODATERRA
55,água,6600,6604,B-FLUIDODATERRA
56,poço,6608,6612,B-POÇO
57,TM-05,6613,6618,I-POÇO
58,poco,6678,6682,B-POÇO
59,poço,6800,6804,B-POÇO
60,água,6829,6833,B-FLUIDODATERRA
61,poco,6854,6858,B-POÇO
62,TM-32,6859,6864,I-POÇO
63,campo,6890,6895,B-CAMPO
