,TEXT,START,END,LABEL
0,água,1029,1033,B-FLUIDODATERRA
1,poço,1038,1042,B-POÇO
2,óleo,1239,1243,B-FLUIDODATERRA
3,campo,1356,1361,B-CAMPO
4,Campo,1497,1502,B-CAMPO
5,Campo,1671,1676,B-CAMPO
6,de,1677,1679,I-CAMPO
7,Siririzinho,1680,1691,I-CAMPO
8,Campo,1787,1792,B-CAMPO
9,Campo,1926,1931,B-CAMPO
10,Campo,2035,2040,B-CAMPO
11,Campo,2177,2182,B-CAMPO
12,Campo,2316,2321,B-CAMPO
13,Campo,2425,2430,B-CAMPO
14,água,3323,3327,B-FLUIDODATERRA
15,água,3524,3528,B-FLUIDODATERRA
16,pocos,3560,3565,B-POÇO
17,Campo,3738,3743,B-CAMPO
18,poços,4098,4103,B-POÇO
19,SZ-26,4104,4109,I-POÇO
20,poços,4232,4237,B-POÇO
21,Campo,4323,4328,B-CAMPO
22,poços,4397,4402,B-POÇO
23,Campo,4488,4493,B-CAMPO
24,petróleo,4591,4599,B-FLUIDODATERRA
25,poços,4711,4716,B-POÇO
26,poços,4797,4802,B-POÇO
27,água,4892,4896,B-FLUIDODATERRA
28,Campo,4900,4905,B-CAMPO
29,Campo,5230,5235,B-CAMPO
30,Campo,5355,5360,B-CAMPO
31,Campo,5519,5524,B-CAMPO
32,Campo,5762,5767,B-CAMPO
33,campo,5849,5854,B-CAMPO
34,Campo,5946,5951,B-CAMPO
35,água,6445,6449,B-FLUIDODATERRA
36,poços,6455,6460,B-POÇO
37,gas,6708,6711,B-FLUIDODATERRA
38,Campo,6715,6720,B-CAMPO
39,gás,7938,7941,B-FLUIDODATERRA
40,membro,7955,7961,B-UNIDADE_LITO
41,Carmópolis,7962,7972,I-UNIDADE_LITO
42,formação,7977,7985,B-UNIDADE_LITO
43,Muribeca,7986,7994,I-UNIDADE_LITO
44,gás,8229,8232,B-FLUIDODATERRA
45,membro,8246,8252,B-UNIDADE_LITO
46,Carmópolis,8253,8263,I-UNIDADE_LITO
47,formação,8268,8276,B-UNIDADE_LITO
48,Muribeca,8277,8285,I-UNIDADE_LITO
49,poços,8421,8426,B-POÇO
50,gás,8509,8512,B-FLUIDODATERRA
51,poços,8586,8591,B-POÇO
52,gás,8772,8775,B-FLUIDODATERRA
53,gás,8868,8871,B-FLUIDODATERRA
54,Campo,8875,8880,B-CAMPO
55,de,8881,8883,I-CAMPO
56,Si-,8884,8887,I-CAMPO
