,TEXT,START,END,LABEL
0,Campo,218,223,B-CAMPO
1,de,224,226,I-CAMPO
2,Siririzinho,227,238,I-CAMPO
3,Poços,322,327,B-POÇO
4,produtores,328,338,B-POÇO
5,poço,343,347,B-POÇO
6,injetor,348,355,B-POÇO
7,Campo,414,419,B-CAMPO
8,Campo,540,545,B-CAMPO
9,poços,622,627,B-POÇO
10,ólco,1357,1361,B-ROCHA
11,poços,2096,2101,B-POÇO
12,agua,2139,2143,B-FLUIDODATERRA
13,poços,2158,2163,B-POÇO
14,agua,2466,2470,B-FLUIDODATERRA
15,campo,2778,2783,B-CAMPO
16,Poços,3126,3131,B-POÇO
17,poços,3245,3250,B-POÇO
18,agua,3329,3333,B-FLUIDODATERRA
19,óleo,3402,3406,B-FLUIDODATERRA
20,poços,3974,3979,B-POÇO
21,poços,4145,4150,B-POÇO
22,agua,4257,4261,B-FLUIDODATERRA
23,poços,4613,4618,B-POÇO
24,agua,4805,4809,B-FLUIDODATERRA
25,agua,4877,4881,B-FLUIDODATERRA
26,poços,4917,4922,B-POÇO
27,Poços,5153,5158,B-POÇO
28,água,5395,5399,B-FLUIDODATERRA
29,poços,5442,5447,B-POÇO
30,hidrocarbonetos,5653,5668,B-FLUIDODATERRA
31,óleo,5789,5793,B-FLUIDODATERRA
32,pocos,6016,6021,B-POÇO
33,formações,6143,6152,B-UNIDADE_LITO
34,RIA,6153,6156,I-UNIDADE_LITO
35,ANC,6158,6161,I-UNIDADE_LITO
36,poços,6184,6189,B-POÇO
37,poços,6320,6325,B-POÇO
38,2,6344,6345,B-POÇO
39,Campo,6526,6531,B-CAMPO
40,Campo,6659,6664,B-CAMPO
41,Campo,6995,7000,B-CAMPO
42,poços,7243,7248,B-POÇO
43,óleo,7263,7267,B-FLUIDODATERRA
44,poços,7273,7278,B-POÇO
45,Campo,7389,7394,B-CAMPO
46,poço,7424,7428,B-POÇO
47,élco,7448,7452,B-ROCHA
48,poço,7506,7510,B-POÇO
49,óleo,7530,7534,B-FLUIDODATERRA
50,Campo,7659,7664,B-CAMPO
51,poço,7951,7955,B-POÇO
52,agua,7967,7971,B-FLUIDODATERRA
53,Poços,8005,8010,B-POÇO
54,ólco,8233,8237,B-ROCHA
55,poços,8351,8356,B-POÇO
56,água,8743,8747,B-FLUIDODATERRA
57,poços,8793,8798,B-POÇO
58,poço,9107,9111,B-POÇO
59,52-93,9112,9117,I-POÇO
60,asfl,9188,9192,B-FLUIDODATERRA
61,água,9239,9243,B-FLUIDODATERRA
62,poços,9289,9294,B-POÇO
63,poço,9595,9599,B-POÇO
64,S493,9600,9604,I-POÇO
65,aguas,10086,10091,B-FLUIDODATERRA
66,poços,10188,10193,B-POÇO
67,produtores,10194,10204,B-POÇO
68,água,10298,10302,B-FLUIDODATERRA
69,poços,10583,10588,B-POÇO
70,poço,10749,10753,B-POÇO
71,água,10768,10772,B-FLUIDODATERRA
72,poço,10935,10939,B-POÇO
73,SZ-183,10940,10946,I-POÇO
74,água,11054,11058,B-FLUIDODATERRA
75,poço,11154,11158,B-POÇO
76,água,11234,11238,B-FLUIDODATERRA
77,água,11470,11474,B-FLUIDODATERRA
78,92-17,11565,11570,B-POÇO
79,poço,11665,11669,B-POÇO
80,52-20,11845,11850,B-POÇO
81,poços,11887,11892,B-POÇO
82,agua,11920,11924,B-FLUIDODATERRA
83,poços,12120,12125,B-POÇO
84,Poços,12186,12191,B-POÇO
85,secos,12192,12197,B-POÇO
86,52-20,12322,12327,B-POÇO
87,poços,12364,12369,B-POÇO
88,agua,12397,12401,B-FLUIDODATERRA
89,5Z-20,12516,12521,B-POÇO
90,poços,12594,12599,B-POÇO
91,poços,12656,12661,B-POÇO
92,secos,12662,12667,B-POÇO
93,poços,13075,13080,B-POÇO
94,agua,13212,13216,B-FLUIDODATERRA
95,poços,13300,13305,B-POÇO
96,SZ-20,13306,13311,I-POÇO
97,Gestes,13437,13443,B-NÃOCONSOLID
98,poços,13444,13449,B-POÇO
99,poços,13522,13527,B-POÇO
100,poços,13605,13610,B-POÇO
101,poço,14102,14106,B-POÇO
102,Poços,14400,14405,B-POÇO
103,poços,14487,14492,B-POÇO
104,Poços,14564,14569,B-POÇO
