,TEXT,START,END,LABEL
0,campo,245,250,B-CAMPO
1,campos,424,430,B-CAMPO
2,de,431,433,I-CAMPO
3,Sao,434,437,I-CAMPO
4,Miguel,438,444,I-CAMPO
5,dos,445,448,I-CAMPO
6,Campos,449,455,I-CAMPO
7,Furado,458,464,B-CAMPO
8,poco,477,481,B-POÇO
9,1-SHC-O01-AL,506,518,B-POÇO
10,campo,553,558,B-CAMPO
11,de,559,561,I-CAMPO
12,Furado,562,568,I-CAMPO
13,poco,583,587,B-POÇO
14,1-CSHC-001-AL,588,601,I-POÇO
15,campo,614,619,B-CAMPO
16,de,620,622,I-CAMPO
17,Cidade,623,629,I-CAMPO
18,de,630,632,I-CAMPO
19,Sao,633,636,I-CAMPO
20,Formacoes,683,692,B-UNIDADE_LITO
21,Serraria,693,701,I-UNIDADE_LITO
22,Barra,704,709,B-UNIDADE_LITO
23,de,710,712,I-UNIDADE_LITO
24,Itiuba,713,719,I-UNIDADE_LITO
25,bacia,829,834,B-BACIA
26,4-CSHC-001-AL,918,931,B-POÇO
27,campo,944,949,B-CAMPO
28,Formacoes,1012,1021,B-UNIDADE_LITO
29,bacia,1158,1163,B-BACIA
30,bacia,1410,1415,B-BACIA
31,hidrocarbonetos,1707,1722,B-FLUIDODATERRA
32,Formacoes,1727,1736,B-UNIDADE_LITO
33,Serraria,1737,1745,I-UNIDADE_LITO
34,Barra,1748,1753,I-UNIDADE_LITO
35,de,1754,1756,I-UNIDADE_LITO
36,Itiuba,1757,1763,I-UNIDADE_LITO
37,campo,1823,1828,B-CAMPO
38,de,1829,1831,I-CAMPO
39,hidrocarbonetos,1899,1914,B-FLUIDODATERRA
40,Formacao,1945,1953,B-UNIDADE_LITO
41,Coqueiro,1954,1962,I-UNIDADE_LITO
42,Seco,1963,1967,I-UNIDADE_LITO
43,Formacao,2014,2022,B-UNIDADE_LITO
44,Barra,2023,2028,I-UNIDADE_LITO
45,de,2029,2031,I-UNIDADE_LITO
46,Itiuba,2032,2038,I-UNIDADE_LITO
47,hidrocarbonetos,2063,2078,B-FLUIDODATERRA
48,Arenito,2233,2240,B-ROCHA
49,Catoba,2241,2247,I-ROCHA
50,Formacao,2253,2261,B-UNIDADE_LITO
51,Serraria,2262,2270,I-UNIDADE_LITO
52,Formacao,2438,2446,B-UNIDADE_LITO
53,Barra,2447,2452,I-UNIDADE_LITO
54,de,2453,2455,I-UNIDADE_LITO
55,Itiuba,2456,2462,I-UNIDADE_LITO
56,campo,2499,2504,B-CAMPO
57,de,2505,2507,I-CAMPO
58,Cidade,2508,2514,I-CAMPO
59,de,2515,2517,I-CAMPO
60,Sao,2518,2521,I-CAMPO
61,Miguel,2522,2528,I-CAMPO
62,dos,2529,2532,I-CAMPO
63,Campos,2533,2539,I-CAMPO
64,Formacao,2611,2619,B-UNIDADE_LITO
65,Formacao,2764,2772,B-UNIDADE_LITO
66,Serraria,2773,2781,I-UNIDADE_LITO
67,hidrocarbonetos,3375,3390,B-FLUIDODATERRA
68,campo,3394,3399,B-CAMPO
69,gas,3454,3457,B-FLUIDODATERRA
70,gas,4113,4116,B-FLUIDODATERRA
71,campo,4253,4258,B-CAMPO
72,hidrocarbonetos,4378,4393,B-FLUIDODATERRA
73,Formacoes,4398,4407,B-UNIDADE_LITO
74,Barra,4408,4413,I-UNIDADE_LITO
75,do,4414,4416,I-UNIDADE_LITO
76,Itiuba,4417,4423,I-UNIDADE_LITO
77,Serraria,4425,4433,B-UNIDADE_LITO
78,Coqueiro,4436,4444,B-UNIDADE_LITO
79,Seco,4445,4449,I-UNIDADE_LITO
80,campo,4497,4502,B-CAMPO
81,Formacoes,4526,4535,B-UNIDADE_LITO
82,Barra,4536,4541,I-UNIDADE_LITO
83,de,4542,4544,I-UNIDADE_LITO
84,Itiuba,4545,4551,I-UNIDADE_LITO
85,arenitos,4670,4678,B-ROCHA
86,Formacao,4691,4699,B-UNIDADE_LITO
87,',4700,4701,I-UNIDADE_LITO
88,Itiuba,4845,4851,I-UNIDADE_LITO
89,gas,4928,4931,B-FLUIDODATERRA
90,campo,4949,4954,B-CAMPO
91,Campo,5030,5035,B-CAMPO
92,de,5036,5038,I-CAMPO
93,Cidade,5039,5045,I-CAMPO
94,de,5046,5048,I-CAMPO
95,Sao,5049,5052,I-CAMPO
96,Miguel,5053,5059,I-CAMPO
97,Campo,5147,5152,B-CAMPO
98,de,5153,5155,I-CAMPO
99,Cidade,5156,5162,I-CAMPO
100,de,5163,5165,I-CAMPO
101,Sao,5166,5169,I-CAMPO
102,Miguel,5170,5176,I-CAMPO
103,Campos,5183,5189,I-CAMPO
104,poco,5242,5246,B-POÇO
105,pocos,5260,5265,B-POÇO
106,pocos,5309,5314,B-POÇO
107,pocos,5615,5620,B-POÇO
108,7-CSHC-31-AL,5656,5668,B-POÇO
109,pocos,6013,6018,B-POÇO
110,CSMC-17,6019,6026,I-POÇO
111,CSHC-08,6039,6046,B-POÇO
112,CSHC-19,6059,6066,B-POÇO
113,CSHC-09,6205,6212,B-POÇO
114,poco,6301,6305,B-POÇO
115,CSKC-10,6306,6313,I-POÇO
116,poco,6393,6397,B-POÇO
117,gas,6410,6413,B-FLUIDODATERRA
118,Formacao,6525,6533,B-UNIDADE_LITO
119,Coqueiro,6534,6542,I-UNIDADE_LITO
120,Seco,6543,6547,I-UNIDADE_LITO
121,poco,6573,6577,B-POÇO
122,agua,6802,6806,B-FLUIDODATERRA
123,Gas,6880,6883,B-BACIA
124,hidrocarbonetos,7008,7023,B-FLUIDODATERRA
125,Formacao,7047,7055,B-UNIDADE_LITO
126,Coqueiro,7056,7064,I-UNIDADE_LITO
127,Seco,7065,7069,I-UNIDADE_LITO
128,pocos,7082,7087,B-POÇO
129,campo,7093,7098,B-CAMPO
130,gas,7155,7158,B-FLUIDODATERRA
131,Formacao,7179,7187,B-UNIDADE_LITO
132,CSHC-10,7189,7196,B-POÇO
133,Formacao,7287,7295,B-UNIDADE_LITO
134,Coqueiro,7296,7304,I-UNIDADE_LITO
135,Seco,7305,7309,I-UNIDADE_LITO
136,campo,7313,7318,B-CAMPO
137,Sao,7332,7335,I-CAMPO
138,Miquel,7336,7342,I-CAMPO
139,pocos,7424,7429,B-POÇO
140,CSMC-08,7443,7450,B-POÇO
141,CSHC-10,7452,7459,B-POÇO
142,CSHC-17,7461,7468,B-POÇO
143,CSHC-19,7470,7477,B-POÇO
144,campo,7799,7804,B-CAMPO
