,TEXT,START,END,LABEL
0,rocha,147,152,B-ROCHA
1,poço,314,318,B-POÇO
2,T-FU-45-ALs,319,330,I-POÇO
3,Furado,361,367,B-CAMPO
4,Fazenda,377,384,B-CAMPO
5,Tomada,385,391,I-CAMPO
6,água,1601,1605,B-FLUIDODATERRA
7,água,1644,1648,B-FLUIDODATERRA
8,óleo,1653,1657,B-FLUIDODATERRA
9,residuzl,1658,1666,I-FLUIDODATERRA
10,agua,1706,1710,B-FLUIDODATERRA
11,óleo,1713,1717,B-FLUIDODATERRA
12,residuais,1718,1727,I-FLUIDODATERRA
13,água,1840,1844,B-FLUIDODATERRA
14,óleo,1991,1995,B-FLUIDODATERRA
15,óleo,2269,2273,B-FLUIDODATERRA
16,óleo,2340,2344,B-FLUIDODATERRA
17,óleo,2375,2379,B-FLUIDODATERRA
18,óleo,2408,2412,B-FLUIDODATERRA
19,óleo,2447,2451,B-FLUIDODATERRA
20,água,2593,2597,B-FLUIDODATERRA
21,óleo,2641,2645,B-FLUIDODATERRA
22,óleo,2710,2714,B-FLUIDODATERRA
23,Campos,2933,2939,B-BACIA
24,poco,3001,3005,B-POÇO
25,7-FU-16D-AL,3006,3017,I-POÇO
26,poços,3649,3654,B-POÇO
27,poços,5628,5633,B-POÇO
28,FU-7,5634,5638,I-POÇO
29,FU-21,5641,5646,B-POÇO
30,óleo,5781,5785,B-FLUIDODATERRA
31,óleo,5818,5822,B-FLUIDODATERRA
32,poco,6376,6380,B-POÇO
33,7~FU-45.-AL,6381,6392,I-POÇO
34,Água,6413,6417,B-FLUIDODATERRA
35,agua,6488,6492,B-FLUIDODATERRA
36,rocha,7486,7491,B-ROCHA
