,TEXT,START,END,LABEL
0,Cps-5/Bloco,2171,2182,B-POÇO
1,Campo,2188,2193,B-CAMPO
2,de,2194,2196,I-CAMPO
3,Camorim,2197,2204,I-CAMPO
4,CPS,2256,2259,B-POÇO
5,5/Bloco,2260,2267,I-POÇO
6,campo,2273,2278,B-CAMPO
7,de,2279,2281,I-CAMPO
8,Camorim,2282,2289,I-CAMPO
9,poço,2376,2380,B-POÇO
10,gás,2462,2465,B-FLUIDODATERRA
11,água,2478,2482,B-FLUIDODATERRA
12,gas,2507,2510,B-FLUIDODATERRA
13,água,2513,2517,B-FLUIDODATERRA
14,poço,2562,2566,B-POÇO
15,poço,3487,3491,B-POÇO
16,poços,3799,3804,B-POÇO
17,CM-6,3817,3821,B-POÇO
18,CM-14,3824,3829,B-POÇO
19,poço,3873,3877,B-POÇO
20,gás,3987,3990,B-FLUIDODATERRA
21,CM-7,3999,4003,B-POÇO
22,água,4032,4036,B-FLUIDODATERRA
23,poço,4040,4044,B-POÇO
24,CM-17,4045,4050,I-POÇO
25,gás,4078,4081,B-FLUIDODATERRA
26,CM-7,4096,4100,B-POÇO
27,água,4104,4108,B-FLUIDODATERRA
28,CM-17,4122,4127,B-POÇO
29,gás,4155,4158,B-FLUIDODATERRA
30,água,4165,4169,B-FLUIDODATERRA
31,poço,4213,4217,B-POÇO
32,CM-6,4241,4245,B-POÇO
33,poço,4284,4288,B-POÇO
34,gás,4508,4511,B-FLUIDODATERRA
35,água,4514,4518,B-FLUIDODATERRA
36,óleo,4665,4669,B-FLUIDODATERRA
37,campo,4687,4692,B-CAMPO
38,de,4693,4695,I-CAMPO
39,Camorim,4696,4703,I-CAMPO
40,Bacia,4723,4728,B-BACIA
41,Sergipe-Alagoas,4729,4744,I-BACIA
42,óleo,4947,4951,B-FLUIDODATERRA
43,óleo,4953,4957,B-FLUIDODATERRA
44,Bacia,4998,5003,B-BACIA
45,óleo,5060,5064,B-FLUIDODATERRA
46,campos,5206,5212,B-CAMPO
47,Bacia,5216,5221,B-BACIA
48,SE-AL,5222,5227,I-BACIA
49,CPS5,5258,5262,B-POÇO
50,campo,5308,5313,B-CAMPO
51,de,5314,5316,I-CAMPO
52,Camorim,5317,5324,I-CAMPO
53,óleo,5344,5348,B-FLUIDODATERRA
54,óleo,5593,5597,B-FLUIDODATERRA
55,poço,5624,5628,B-POÇO
56,CM-6,5629,5633,I-POÇO
57,poços,5666,5671,B-POÇO
58,CM-7,5672,5676,I-POÇO
59,gás,5771,5774,B-FLUIDODATERRA
60,poços,5898,5903,B-POÇO
61,poço,6095,6099,B-POÇO
62,poço,7022,7026,B-POÇO
63,poços,7334,7339,B-POÇO
64,CM-6,7352,7356,B-POÇO
65,CM-14,7359,7364,B-POÇO
66,poço,7408,7412,B-POÇO
67,gás,7521,7524,B-FLUIDODATERRA
68,poço,7528,7532,B-POÇO
69,CM-7,7533,7537,I-POÇO
70,água,7566,7570,B-FLUIDODATERRA
71,poço,7574,7578,B-POÇO
72,CM-17,7579,7584,I-POÇO
73,gás,7612,7615,B-FLUIDODATERRA
74,CM-7,7630,7634,B-POÇO
75,água,7638,7642,B-FLUIDODATERRA
76,CM-17,7656,7661,B-POÇO
77,gás,7689,7692,B-FLUIDODATERRA
78,água,7699,7703,B-FLUIDODATERRA
79,poço,7747,7751,B-POÇO
80,CM-6,7775,7779,B-POÇO
81,poço,7830,7834,B-POÇO
82,gás,8054,8057,B-FLUIDODATERRA
83,água,8060,8064,B-FLUIDODATERRA
84,óleo,8211,8215,B-FLUIDODATERRA
85,poço,8528,8532,B-POÇO
86,óleo,8786,8790,B-FLUIDODATERRA
87,poço,9219,9223,B-POÇO
88,poço,9381,9385,B-POÇO
89,óleo,9627,9631,B-FLUIDODATERRA
90,poço,9667,9671,B-POÇO
91,gás,9754,9757,B-FLUIDODATERRA
92,gás,9784,9787,B-FLUIDODATERRA
93,água,9790,9794,B-FLUIDODATERRA
94,gás,9823,9826,B-FLUIDODATERRA
95,água,9829,9833,B-FLUIDODATERRA
96,óleo,9929,9933,B-FLUIDODATERRA
97,poço,10007,10011,B-POÇO
98,óleo,10075,10079,B-FLUIDODATERRA
99,gás,10111,10114,B-FLUIDODATERRA
100,água,10117,10121,B-FLUIDODATERRA
101,gás,10149,10152,B-FLUIDODATERRA
102,água,10181,10185,B-FLUIDODATERRA
103,gás,10361,10364,B-FLUIDODATERRA
104,óleo,10428,10432,B-FLUIDODATERRA
105,poços,10526,10531,B-POÇO
106,CM-6,10544,10548,B-POÇO
107,CM-14,10551,10556,B-POÇO
108,óleo,10679,10683,B-FLUIDODATERRA
109,gás,10805,10808,B-FLUIDODATERRA
110,gás,10852,10855,B-FLUIDODATERRA
111,óleo,10873,10877,B-FLUIDODATERRA
112,poços,10987,10992,B-POÇO
113,poço,11179,11183,B-POÇO
114,poço,11352,11356,B-POÇO
115,óleo,11389,11393,B-FLUIDODATERRA
116,água,11511,11515,B-FLUIDODATERRA
117,gás,11695,11698,B-FLUIDODATERRA
118,óleo,11733,11737,B-FLUIDODATERRA
119,poços,11779,11784,B-POÇO
120,gás,11838,11841,B-FLUIDODATERRA
121,poço,11890,11894,B-POÇO
122,poço,11914,11918,B-POÇO
123,gás,11944,11947,B-FLUIDODATERRA
124,gás,12074,12077,B-FLUIDODATERRA
125,poço,12095,12099,B-POÇO
126,óleo,12389,12393,B-FLUIDODATERRA
127,poço,12398,12402,B-POÇO
128,Água,12581,12585,B-FLUIDODATERRA
129,água,12602,12606,B-FLUIDODATERRA
130,óleo,12654,12658,B-FLUIDODATERRA
131,poço,12682,12686,B-POÇO
132,óleo,12768,12772,B-FLUIDODATERRA
133,gás,12778,12781,B-FLUIDODATERRA
134,óleo,12908,12912,B-FLUIDODATERRA
135,poço,12971,12975,B-POÇO
136,água,13004,13008,B-FLUIDODATERRA
137,poço,13046,13050,B-POÇO
138,CM-6,13069,13073,B-POÇO
139,poço,13125,13129,B-POÇO
140,CM-6,13154,13158,B-POÇO
141,poço,13214,13218,B-POÇO
142,óleo,13291,13295,B-FLUIDODATERRA
143,CM-6,13340,13344,B-POÇO
144,gás,13406,13409,B-FLUIDODATERRA
145,Água,13474,13478,B-FLUIDODATERRA
146,gás,13506,13509,B-FLUIDODATERRA
147,CM-7,13525,13529,B-POÇO
148,água,13533,13537,B-FLUIDODATERRA
149,CM-17,13551,13556,B-POÇO
150,poço,13563,13567,B-POÇO
151,óleo,13694,13698,B-FLUIDODATERRA
152,óleo,13785,13789,B-FLUIDODATERRA
153,gás,13889,13892,B-FLUIDODATERRA
154,água,13922,13926,B-FLUIDODATERRA
155,óleo,13987,13991,B-FLUIDODATERRA
156,água,14170,14174,B-FLUIDODATERRA
157,água,14320,14324,B-FLUIDODATERRA
158,água,14509,14513,B-FLUIDODATERRA
159,água,14576,14580,I-POÇO
160,poço,14588,14592,B-POÇO
161,óleo,14665,14669,B-FLUIDODATERRA
162,CM-6,14714,14718,B-POÇO
163,gás,14780,14783,B-FLUIDODATERRA
164,Água,14848,14852,B-FLUIDODATERRA
165,gás,14880,14883,B-FLUIDODATERRA
166,CM-7,14899,14903,B-POÇO
167,água,14907,14911,B-FLUIDODATERRA
168,CM-17,14925,14930,B-POÇO
169,poço,14937,14941,B-POÇO
170,óleo,15068,15072,B-FLUIDODATERRA
171,óleo,15159,15163,B-FLUIDODATERRA
172,gás,15263,15266,B-FLUIDODATERRA
173,água,15296,15300,B-FLUIDODATERRA
174,óleo,15361,15365,B-FLUIDODATERRA
175,água,15544,15548,B-FLUIDODATERRA
176,água,15694,15698,B-FLUIDODATERRA
177,gás,16018,16021,B-FLUIDODATERRA
178,agua,16044,16048,B-FLUIDODATERRA
179,gás,16072,16075,B-FLUIDODATERRA
180,água,16078,16082,B-FLUIDODATERRA
181,óleo,16302,16306,B-FLUIDODATERRA
182,gás,16309,16312,B-FLUIDODATERRA
183,óleo,16363,16367,B-FLUIDODATERRA
184,gás,16384,16387,B-FLUIDODATERRA
185,livre,16388,16393,I-FLUIDODATERRA
186,óleo,16407,16411,B-FLUIDODATERRA
187,gás,16430,16433,B-FLUIDODATERRA
188,gás,16743,16746,B-FLUIDODATERRA
189,poços,16772,16777,B-POÇO
190,CM-13,16778,16783,I-POÇO
191,CM-14,16786,16791,B-POÇO
192,poço,16916,16920,B-POÇO
193,CM-7,16921,16925,I-POÇO
194,gás,16946,16949,B-FLUIDODATERRA
195,CM-17,16957,16962,B-POÇO
196,água,16983,16987,B-FLUIDODATERRA
197,poços,17133,17138,B-POÇO
198,CM-6,17173,17177,B-POÇO
199,CM-7,17209,17213,B-POÇO
200,CM-17,17216,17221,B-POÇO
201,gás,17380,17383,B-FLUIDODATERRA
202,CM-14,17522,17527,B-POÇO
203,gás,17588,17591,B-FLUIDODATERRA
204,poço,17763,17767,B-POÇO
205,poços,17863,17868,B-POÇO
206,CM-6,17869,17873,I-POÇO
207,poços,17937,17942,B-POÇO
208,CM-9,17943,17947,I-POÇO
209,óleo,18007,18011,B-FLUIDODATERRA
210,óleo,18048,18052,B-FLUIDODATERRA
211,CM-6,18135,18139,B-POÇO
212,CM-7,18161,18165,B-POÇO
213,CM-14,18175,18180,B-POÇO
214,poço,18225,18229,B-POÇO
215,CM-13,18230,18235,I-POÇO
216,CM-9,18250,18254,B-POÇO
217,óleo,18541,18545,B-FLUIDODATERRA
218,poços,18558,18563,B-POÇO
219,óleo,18787,18791,B-FLUIDODATERRA
220,gás,18794,18797,B-FLUIDODATERRA
221,poços,18879,18884,B-POÇO
222,poços,18981,18986,B-POÇO
223,CM-6,18995,18999,B-POÇO
224,poços,19012,19017,B-POÇO
225,CM-13,19058,19063,B-POÇO
226,poço,19118,19122,B-POÇO
227,CM-6,19152,19156,B-POÇO
228,óleo,19190,19194,B-FLUIDODATERRA
229,CM-6,19258,19262,B-POÇO
230,CM-6,19338,19342,B-POÇO
231,água,19360,19364,B-FLUIDODATERRA
232,poços,19407,19412,B-POÇO
233,óleo,19611,19615,B-FLUIDODATERRA
234,CM-9,19619,19623,B-POÇO
235,gás,19761,19764,B-FLUIDODATERRA
236,CM-14,19790,19795,B-POÇO
237,óleo,19957,19961,B-FLUIDODATERRA
238,CM-6,19995,19999,B-POÇO
239,poços,20070,20075,B-POÇO
240,óleo,20215,20219,B-FLUIDODATERRA
241,poço,20305,20309,B-POÇO
242,poço,20526,20530,B-POÇO
243,CM-6,20531,20535,I-POÇO
244,óleo,20561,20565,B-FLUIDODATERRA
245,gás,20581,20584,B-FLUIDODATERRA
246,água,20624,20628,B-FLUIDODATERRA
247,poços,20665,20670,B-POÇO
248,poços,20890,20895,B-POÇO
249,CM-9,20945,20949,B-POÇO
250,poço,21009,21013,B-POÇO
251,poço,21037,21041,B-POÇO
252,CM-6,21148,21152,B-POÇO
253,CM-7,21163,21167,B-POÇO
254,CM-14,21281,21286,B-POÇO
255,CM-14,21405,21410,B-POÇO
256,CM-14,21648,21653,B-POÇO
257,poços,21706,21711,B-POÇO
258,CM-14,21800,21805,B-POÇO
259,poço,21874,21878,B-POÇO
260,poço,21965,21969,B-POÇO
261,rocha,22554,22559,B-ROCHA
262,Campo,22662,22667,B-CAMPO
263,de,22668,22670,I-CAMPO
264,Camorim,22671,22678,I-CAMPO
265,CPS-5,23146,23151,B-POÇO
266,conglomerados,23250,23263,B-ROCHA
267,arenitos,23278,23286,B-ROCHA
268,siltitos,23310,23318,B-ROCHA
269,folhelhos,23321,23330,B-ROCHA
270,campo,23515,23520,B-CAMPO
271,CPS-5,23629,23634,B-POÇO
272,conglomerados,23733,23746,B-ROCHA
273,arenitos,23761,23769,B-ROCHA
274,siltitos,23793,23801,B-ROCHA
275,folhelhos,23804,23813,B-ROCHA
276,campo,23998,24003,B-CAMPO
277,gás,24185,24188,B-FLUIDODATERRA
278,poços,24557,24562,B-POÇO
279,água,24735,24739,B-FLUIDODATERRA
280,poços,24779,24784,B-POÇO
281,óleo,24985,24989,B-FLUIDODATERRA
282,óleo,25314,25318,B-FLUIDODATERRA
283,campo,25990,25995,B-CAMPO
284,óleo,26031,26035,B-FLUIDODATERRA
285,gás,26038,26041,B-FLUIDODATERRA
286,poço,26400,26404,B-POÇO
287,CM-6,26414,26418,B-POÇO
288,água,26483,26487,B-FLUIDODATERRA
289,gás,26498,26501,B-FLUIDODATERRA
290,óleo,26513,26517,B-FLUIDODATERRA
291,óleo,26562,26566,B-FLUIDODATERRA
292,gás,27650,27653,B-FLUIDODATERRA
293,gás,27786,27789,B-FLUIDODATERRA
294,óleo,27795,27799,B-FLUIDODATERRA
295,gás,27904,27907,B-FLUIDODATERRA
296,gás,27934,27937,B-FLUIDODATERRA
297,gás,28598,28601,B-FLUIDODATERRA
298,água,28722,28726,B-FLUIDODATERRA
299,água,28841,28845,B-FLUIDODATERRA
300,óleo,28862,28866,B-FLUIDODATERRA
301,água,28922,28926,B-FLUIDODATERRA
302,poço,29011,29015,B-POÇO
303,CM-6,29016,29020,I-POÇO
304,gás,29105,29108,B-FLUIDODATERRA
305,poço,29201,29205,B-POÇO
306,CM-7,29206,29210,I-POÇO
307,poço,29270,29274,B-POÇO
308,CM-13,29275,29280,I-POÇO
309,gás,29304,29307,B-FLUIDODATERRA
310,poço,29455,29459,B-POÇO
311,CPS5,29563,29567,B-POÇO
312,gás,29660,29663,B-FLUIDODATERRA
313,CM-14,29677,29682,B-POÇO
314,CM-13,29759,29764,B-POÇO
315,poços,29891,29896,B-POÇO
316,poços,30020,30025,B-POÇO
317,poço,30140,30144,B-POÇO
318,poço,30171,30175,B-POÇO
319,poço,30264,30268,B-POÇO
320,óleo,30338,30342,B-FLUIDODATERRA
321,óleo,30367,30371,B-FLUIDODATERRA
322,poço,30414,30418,B-POÇO
323,poço,30608,30612,B-POÇO
324,poço,30790,30794,B-POÇO
325,poços,30868,30873,B-POÇO
326,poços,31057,31062,B-POÇO
327,CM-14,31079,31084,B-POÇO
328,poço,31208,31212,B-POÇO
329,poço,31366,31370,B-POÇO
330,Cps-5/Bloco,31397,31408,B-POÇO
331,Campo,31414,31419,B-CAMPO
332,de,31420,31422,I-CAMPO
333,Camorim,31423,31430,I-CAMPO
334,água,31609,31613,B-FLUIDODATERRA
335,gás,31626,31629,B-FLUIDODATERRA
336,água,31654,31658,B-FLUIDODATERRA
337,gás,31661,31664,B-FLUIDODATERRA
338,©,31833,31834,B-UNIDADE_LITO
339,Gano,31835,31839,I-UNIDADE_LITO
340,Grupo,32436,32441,B-UNIDADE_LITO
341,6,32442,32443,I-UNIDADE_LITO
342,poço,32531,32535,B-POÇO
343,Grupo,32556,32561,B-UNIDADE_LITO
344,8,32562,32563,I-UNIDADE_LITO
345,poço,32603,32607,B-POÇO
346,gás,32697,32700,B-FLUIDODATERRA
347,água,32724,32728,B-FLUIDODATERRA
348,gás,32753,32756,B-FLUIDODATERRA
349,água,32759,32763,B-FLUIDODATERRA
350,poços,32937,32942,B-POÇO
351,poços,33050,33055,B-POÇO
352,óleo,33131,33135,B-FLUIDODATERRA
353,poços,33373,33378,B-POÇO
354,CM-6,33419,33423,B-POÇO
355,gás,33443,33446,B-FLUIDODATERRA
356,CM-7,33448,33452,B-POÇO
357,água,33467,33471,B-FLUIDODATERRA
358,CM-17,33473,33478,B-POÇO
359,poço,33489,33493,B-POÇO
360,poços,33593,33598,B-POÇO
361,poço,33628,33632,B-POÇO
362,CM-6,33675,33679,B-POÇO
363,poço,33793,33797,B-POÇO
364,óleo,34004,34008,B-FLUIDODATERRA
365,poços,34145,34150,B-POÇO
366,produtores,34151,34161,B-POÇO
367,poços,34302,34307,B-POÇO
368,CM-6,34308,34312,I-POÇO
369,CM-14,34315,34320,B-POÇO
370,poço,34426,34430,B-POÇO
371,poço,34488,34492,B-POÇO
372,poço,34522,34526,B-POÇO
373,poço,34716,34720,B-POÇO
374,óleo,34829,34833,B-FLUIDODATERRA
375,água,34839,34843,B-FLUIDODATERRA
376,óleo,34893,34897,B-FLUIDODATERRA
377,gás,34902,34905,B-FLUIDODATERRA
378,água,34910,34914,B-FLUIDODATERRA
379,poço,35131,35135,B-POÇO
380,óleo,35181,35185,B-FLUIDODATERRA
381,poço,35356,35360,B-POÇO
382,CM-14,35397,35402,B-POÇO
383,poço,35563,35567,B-POÇO
384,CM-6,35605,35609,B-POÇO
