,TEXT,START,END,LABEL
0,SES,21,24,B-POÇO
1,19,25,27,I-POÇO
2,pioneiro,58,66,B-POÇO
3,1-SES-19D,67,76,B-POÇO
4,Bacia,159,164,B-BACIA
5,SergipelAlagoas,165,180,I-BACIA
6,conglomerados,272,285,B-ROCHA
7,Formacao,298,306,B-UNIDADE_LITO
8,Rio,307,310,I-UNIDADE_LITO
9,Pitanga,311,318,I-UNIDADE_LITO
10,arenitos,376,384,B-ROCHA
11,Formacao,397,405,B-UNIDADE_LITO
12,Serraria,406,414,I-UNIDADE_LITO
13,Formacao,437,445,B-UNIDADE_LITO
14,Barra,446,451,I-UNIDADE_LITO
15,de,452,454,I-UNIDADE_LITO
16,Itiuba,455,461,I-UNIDADE_LITO
17,poco,546,550,B-POÇO
18,produtor,551,559,B-POÇO
19,1-SES-19DA,560,570,I-POÇO
20,SES,985,988,B-POÇO
21,do,1125,1127,B-POÇO
22,poco,1600,1604,B-POÇO
23,Bacia,2048,2053,B-BACIA
24,poco,2178,2182,B-POÇO
25,CM-41D,2183,2189,I-POÇO
26,Formacao,2258,2266,B-UNIDADE_LITO
27,Barra,2267,2272,I-UNIDADE_LITO
28,de,2273,2275,I-UNIDADE_LITO
29,Itiuba,2276,2282,I-UNIDADE_LITO
30,Formacao,2325,2333,B-UNIDADE_LITO
31,Rio,2334,2337,I-UNIDADE_LITO
32,Pitanga,2338,2345,I-UNIDADE_LITO
33,Bacia,2441,2446,B-BACIA
34,Sergipe-Alagoas,2447,2462,I-BACIA
35,Bacia,2792,2797,B-BACIA
36,Pre-Cambriano,2811,2824,B-UNIDADE_CRONO
37,embasamento,2839,2850,B-UNIDADE_LITO
38,bacia,2870,2875,B-BACIA
39,sedimentos,2914,2924,B-NÃOCONSOLID
40,idade,2979,2984,B-UNIDADE_CRONO
41,Neojurdssica,2985,2997,I-UNIDADE_CRONO
42,sedimentos,3019,3029,B-NÃOCONSOLID
43,Formacao,3033,3041,B-UNIDADE_LITO
44,Bananeiras,3042,3052,I-UNIDADE_LITO
45,folhelhos,3143,3152,B-ROCHA
46,argilitos,3155,3164,B-ROCHA
47,sedimentos,3276,3286,B-NÃOCONSOLID
48,Formacao,3308,3316,B-UNIDADE_LITO
49,Serraria,3317,3325,I-UNIDADE_LITO
50,arenitos,3344,3352,B-ROCHA
51,folhelhos,3437,3446,B-ROCHA
52,Formacao,3487,3495,B-UNIDADE_LITO
53,Barra,3496,3501,I-UNIDADE_LITO
54,de,3502,3504,I-UNIDADE_LITO
55,Itiuba,3505,3511,I-UNIDADE_LITO
56,idade,3516,3521,B-UNIDADE_CRONO
57,Berriasiano,3522,3533,I-UNIDADE_CRONO
58,Eocretaceo,3535,3545,B-UNIDADE_CRONO
59,folhelhos,3611,3620,B-ROCHA
60,arenitos,3642,3650,B-ROCHA
