,TEXT,START,END,LABEL
0,campo,296,301,B-CAMPO
1,de,302,304,I-CAMPO
2,Pilar,305,310,I-CAMPO
3,campo,467,472,B-CAMPO
4,de,473,475,I-CAMPO
5,Pilar,476,481,I-CAMPO
6,óleo,587,591,B-FLUIDODATERRA
7,gás,594,597,B-FLUIDODATERRA
8,campo,701,706,B-CAMPO
9,de,707,709,I-CAMPO
10,Pilar,710,715,I-CAMPO
11,arenitos,733,741,B-ROCHA
12,formação,755,763,B-UNIDADE_LITO
13,Coqueiro,764,772,I-UNIDADE_LITO
14,Seco,773,777,I-UNIDADE_LITO
15,arenito,807,814,B-ROCHA
16,Pilar,815,820,I-ROCHA
17,formação,917,925,B-UNIDADE_LITO
18,Penedo,926,932,I-UNIDADE_LITO
19,formação,948,956,B-UNIDADE_LITO
20,Coqueiro,957,965,I-UNIDADE_LITO
21,Seco,966,970,I-UNIDADE_LITO
22,arenitos,1030,1038,B-ROCHA
23,folhelhos,1041,1050,B-ROCHA
24,folhelhos,1141,1150,B-ROCHA
25,folhelhos,1167,1176,B-ROCHA
26,campo,1221,1226,B-CAMPO
27,poço,1395,1399,B-POÇO
28,PIR-91,1400,1406,I-POÇO
29,óleo,1788,1792,B-FLUIDODATERRA
30,gás,1795,1798,B-FLUIDODATERRA
31,Campo,4279,4284,B-CAMPO
32,de,4285,4287,I-CAMPO
33,Pilattisssssecssscsosvssssessseszsnavacensrvasssinpercensescecnvavre,4288,4356,I-CAMPO
34,Campo,4462,4467,B-CAMPO
35,de,4468,4470,I-CAMPO
36,Pilar,4471,4476,I-CAMPO
37,CSO-10D1............,4535,4555,B-POÇO
38,Campo,4596,4601,B-CAMPO
39,de,4602,4604,I-CAMPO
40,Pilar,4605,4610,I-CAMPO
41,Campo,5463,5468,B-CAMPO
42,de,5469,5471,I-CAMPO
43,Pilar,5472,5477,I-CAMPO
44,poço,5678,5682,B-POÇO
45,PIR-91,5683,5689,I-POÇO
46,gás,5848,5851,B-FLUIDODATERRA
47,gás,5895,5898,B-FLUIDODATERRA
48,Campo,6089,6094,B-CAMPO
49,de,6095,6097,I-CAMPO
50,Pilar,6098,6103,I-CAMPO
51,bacia,6164,6169,B-BACIA
52,óleo,6376,6380,B-FLUIDODATERRA
53,gás,6383,6386,B-FLUIDODATERRA
54,campo,6390,6395,B-CAMPO
55,campo,6586,6591,B-CAMPO
56,poços,6644,6649,B-POÇO
57,campo,6742,6747,B-CAMPO
58,Campo,6838,6843,B-CAMPO
59,de,6844,6846,I-CAMPO
60,Pilar,6847,6852,I-CAMPO
61,arenitos,6870,6878,B-ROCHA
62,Formação,6892,6900,B-UNIDADE_LITO
63,Coqueiro,6901,6909,I-UNIDADE_LITO
64,Seco,6910,6914,I-UNIDADE_LITO
65,Arenito,6944,6951,B-ROCHA
66,Pilar,6952,6957,I-ROCHA
67,Formação,7054,7062,B-UNIDADE_LITO
68,Penedo,7063,7069,I-UNIDADE_LITO
69,Formação,7085,7093,B-UNIDADE_LITO
70,Coqueiro,7094,7102,I-UNIDADE_LITO
71,Seco,7103,7107,I-UNIDADE_LITO
72,arenitos,7167,7175,B-ROCHA
73,folhelhos,7178,7187,B-ROCHA
74,folhelhos,7278,7287,B-ROCHA
75,folhelhos,7305,7314,B-ROCHA
76,campo,7359,7364,B-CAMPO
77,campo,7601,7606,B-CAMPO
78,gás,7628,7631,B-FLUIDODATERRA
79,Formação,7662,7670,B-UNIDADE_LITO
80,Coqueiro,7671,7679,I-UNIDADE_LITO
81,Seco,7680,7684,I-UNIDADE_LITO
82,Arenito,7686,7693,B-ROCHA
83,Pilar,7694,7699,I-ROCHA
84,Formação,7741,7749,B-UNIDADE_LITO
85,Penedo,7750,7756,I-UNIDADE_LITO
86,Campo,7843,7848,B-CAMPO
