,TEXT,START,END,LABEL
0,poço,255,259,B-POÇO
1,evaporitos,608,618,B-ROCHA
2,poço,923,927,B-POÇO
3,campo,1138,1143,B-CAMPO
4,poço,1924,1928,B-POÇO
5,poço,2496,2500,B-POÇO
6,campo,2504,2509,B-CAMPO
7,de,2510,2512,I-CAMPO
8,Sirizinho,2513,2522,I-CAMPO
9,poço,2534,2538,B-POÇO
10,Campo,2752,2757,B-CAMPO
11,de,2758,2760,I-CAMPO
12,Carmopólis,2761,2771,I-CAMPO
13,água,4781,4785,B-FLUIDODATERRA
14,água,4798,4802,B-FLUIDODATERRA
15,doce,4803,4807,I-FLUIDODATERRA
16,água,4900,4904,B-FLUIDODATERRA
17,água,4923,4927,B-FLUIDODATERRA
18,água,5379,5383,B-FLUIDODATERRA
19,água,5467,5471,B-FLUIDODATERRA
20,água,6332,6336,B-FLUIDODATERRA
21,poços,6928,6933,B-POÇO
22,Água,6999,7003,B-FLUIDODATERRA
23,silo,7809,7813,B-NÃOCONSOLID
24,campo,8439,8444,B-CAMPO
25,água,8897,8901,B-FLUIDODATERRA
26,poço,9046,9050,B-POÇO
27,campo,9167,9172,B-CAMPO
28,água,9361,9365,B-FLUIDODATERRA
29,poços,10209,10214,B-POÇO
30,campo,10568,10573,B-CAMPO
