,TEXT,START,END,LABEL
0,CPS-3,405,410,B-POÇO
1,poços,1199,1204,B-POÇO
2,CPS-4,2419,2424,B-POÇO
3,CPS-3,2474,2479,B-POÇO
4,CPS-4,2514,2519,B-POÇO
5,CPS-3,2542,2547,B-POÇO
6,CPS-4,2574,2579,B-POÇO
7,CPS-3,2607,2612,B-POÇO
8,água,2682,2686,B-FLUIDODATERRA
9,CPS-3,2707,2712,B-POÇO
10,água,2728,2732,B-FLUIDODATERRA
11,CPS-4,2888,2893,B-POÇO
12,poço,2920,2924,B-POÇO
13,CPS-3,3089,3094,B-POÇO
14,gás,3212,3215,B-FLUIDODATERRA
15,CPS-3,3294,3299,B-POÇO
16,CPS-3,3420,3425,B-POÇO
17,água,3441,3445,B-FLUIDODATERRA
18,CPS-3,3584,3589,B-POÇO
19,CPS-3,3657,3662,B-POÇO
20,CPS-4,3713,3718,B-POÇO
21,água,3758,3762,B-FLUIDODATERRA
22,CPS-3,3791,3796,B-POÇO
23,água,3814,3818,B-FLUIDODATERRA
24,CPS-4,3916,3921,B-POÇO
25,pocos,4096,4101,B-POÇO
26,CPS-3,4162,4167,B-POÇO
27,óleo,4201,4205,B-FLUIDODATERRA
28,CPS-3,4209,4214,B-POÇO
29,gás,4330,4333,B-FLUIDODATERRA
30,poços,4411,4416,B-POÇO
31,poço,4788,4792,B-POÇO
32,óleo,4940,4944,B-FLUIDODATERRA
33,óleo,5114,5118,B-FLUIDODATERRA
34,óleo,5382,5386,B-FLUIDODATERRA
35,CPS-3,5443,5448,B-POÇO
36,óleo,5508,5512,B-FLUIDODATERRA
37,água,5515,5519,B-FLUIDODATERRA
38,óleo,5832,5836,B-FLUIDODATERRA
39,óleo,6069,6073,B-FLUIDODATERRA
40,óleo,6207,6211,B-FLUIDODATERRA
41,CPS-3,6388,6393,B-POÇO
42,água,6449,6453,B-FLUIDODATERRA
43,CPS-3,6702,6707,B-POÇO
44,água,6723,6727,B-FLUIDODATERRA
45,água,6760,6764,B-FLUIDODATERRA
46,água,6876,6880,B-FLUIDODATERRA
47,água,7100,7104,B-FLUIDODATERRA
48,óleo,7141,7145,B-FLUIDODATERRA
49,poços,7274,7279,B-POÇO
50,óleo,7544,7548,B-FLUIDODATERRA
51,gás,7622,7625,B-FLUIDODATERRA
52,poços,8234,8239,B-POÇO
53,água,8869,8873,B-FLUIDODATERRA
54,CPS-3,8882,8887,B-POÇO
55,rocha,9332,9337,B-ROCHA
56,óleo,9380,9384,B-FLUIDODATERRA
57,água,9696,9700,B-FLUIDODATERRA
58,água,9711,9715,B-FLUIDODATERRA
59,CPS-3,9728,9733,B-POÇO
60,formação,10093,10101,B-UNIDADE_LITO
61,Barra,10102,10107,I-UNIDADE_LITO
62,de,10108,10110,I-UNIDADE_LITO
63,itiuba,10111,10117,I-UNIDADE_LITO
64,arenitos,10129,10137,B-ROCHA
65,óleo,10179,10183,B-FLUIDODATERRA
66,campo,10199,10204,B-CAMPO
67,de,10205,10207,I-CAMPO
68,Carmópolis,10208,10218,I-CAMPO
69,poços,10247,10252,B-POÇO
70,conglomerados,10455,10468,B-ROCHA
71,formação,10486,10494,B-UNIDADE_LITO
72,Muribeca,10495,10503,I-UNIDADE_LITO
73,poços,10552,10557,B-POÇO
74,poços,10700,10705,B-POÇO
75,poços,10996,11001,B-POÇO
76,CPS-4,11170,11175,B-POÇO
77,campo,11287,11292,B-CAMPO
78,poços,11332,11337,B-POÇO
79,poços,11589,11594,B-POÇO
80,poços,11775,11780,B-POÇO
81,CPS-4,12103,12108,B-POÇO
82,poços,12194,12199,B-POÇO
