,TEXT,START,END,LABEL
0,bacia,284,289,B-BACIA
1,Paleozóico,313,323,B-UNIDADE_CRONO
2,Formação,330,338,B-UNIDADE_LITO
3,Marituba,339,347,I-UNIDADE_LITO
4,bacia,654,659,B-BACIA
5,idade,678,683,B-UNIDADE_CRONO
6,Neojiquiá,684,693,I-UNIDADE_CRONO
7,Eoalagoas,697,706,B-UNIDADE_CRONO
8,Membro,753,759,B-UNIDADE_LITO
9,Morro,760,765,I-UNIDADE_LITO
10,do,766,768,I-UNIDADE_LITO
11,Chaves,769,775,I-UNIDADE_LITO
12,idade,779,784,B-UNIDADE_CRONO
13,Neojiquiá,785,794,I-UNIDADE_CRONO
14,Fm.,833,836,B-UNIDADE_LITO
15,Seco,846,850,I-UNIDADE_LITO
16,idade,854,859,B-UNIDADE_CRONO
17,Eoalagoas,860,869,I-UNIDADE_CRONO
18,campos,1025,1031,B-CAMPO
19,de,1032,1034,I-CAMPO
20,Tigre,1035,1040,I-CAMPO
21,Ponta,1043,1048,I-CAMPO
22,dos,1049,1052,I-CAMPO
23,Mangues,1053,1060,I-CAMPO
24,bacia,1149,1154,B-BACIA
25,de,1155,1157,I-BACIA
26,Sergipe-Alagoas,1158,1173,I-BACIA
27,1-BN-2-SE,1407,1416,B-POÇO
28,óleo,1459,1463,B-FLUIDODATERRA
29,Fm.,1540,1543,B-UNIDADE_LITO
30,óleo,1591,1595,B-FLUIDODATERRA
31,arenitos,1623,1631,B-ROCHA
32,Fm.,1648,1651,B-UNIDADE_LITO
33,Calumbi,1652,1659,I-UNIDADE_LITO
34,Fm.,1679,1682,B-UNIDADE_LITO
35,Seco,1692,1696,I-UNIDADE_LITO
36,óleo,1721,1725,B-FLUIDODATERRA
37,Membro,1754,1760,B-UNIDADE_LITO
38,Carmópolis,1761,1771,I-UNIDADE_LITO
39,Fm.,1775,1778,B-UNIDADE_LITO
40,Muribeca,1779,1787,I-UNIDADE_LITO
41,Fm.,1827,1830,B-UNIDADE_LITO
42,Coqueiro,1831,1839,I-UNIDADE_LITO
43,Seco,1840,1844,I-UNIDADE_LITO
44,Fm.,1863,1866,B-UNIDADE_LITO
45,óleo,1902,1906,B-FLUIDODATERRA
46,1-TG-1-SE,2007,2016,B-POÇO
47,rochas,2033,2039,B-ROCHA
48,idade,2042,2047,B-UNIDADE_CRONO
49,Neo-Albiano,2048,2059,B-UNIDADE_CRONO
50,Fm.,2114,2117,B-UNIDADE_LITO
51,Serraria,2118,2126,I-UNIDADE_LITO
52,1-BN-1-SE,2349,2358,B-POÇO
53,Fm.,2412,2415,B-UNIDADE_LITO
54,Coqueiro,2416,2424,I-UNIDADE_LITO
55,Seco,2425,2429,I-UNIDADE_LITO
56,Fm.,2708,2711,B-UNIDADE_LITO
57,Coqueiro,2712,2720,I-UNIDADE_LITO
58,Seco,2721,2725,I-UNIDADE_LITO
59,idade,2856,2861,B-UNIDADE_CRONO
60,Aratu,2862,2867,I-UNIDADE_CRONO
61,Eojiquiá,2870,2878,B-UNIDADE_CRONO
62,bacia,2938,2943,B-BACIA
63,poços,3016,3021,B-POÇO
64,bacia,3050,3055,B-BACIA
65,idade,3134,3139,B-UNIDADE_CRONO
