,TEXT,START,END,LABEL
0,CPS3,411,415,B-POÇO
1,CPS-3,1129,1134,B-POÇO
2,campo,1160,1165,B-CAMPO
3,de,1166,1168,I-CAMPO
4,Carmópolis,1169,1179,I-CAMPO
5,água,1213,1217,B-FLUIDODATERRA
6,poços,1298,1303,B-POÇO
7,poços,1411,1416,B-POÇO
8,CPS-4,1456,1461,B-POÇO
9,água,1512,1516,B-FLUIDODATERRA
10,poços,1689,1694,B-POÇO
11,poços,1782,1787,B-POÇO
12,óleo,2028,2032,B-FLUIDODATERRA
13,agua,2136,2140,B-FLUIDODATERRA
14,CPS-3,2144,2149,B-POÇO
15,poços,2194,2199,B-POÇO
16,poços,2244,2249,B-POÇO
17,poços,2286,2291,B-POÇO
18,CPS-4,2417,2422,B-POÇO
19,poços,2468,2473,B-POÇO
20,geradores,2476,2485,B-POÇO
21,poços,2575,2580,B-POÇO
22,óleo,2685,2689,B-FLUIDODATERRA
23,gás,2987,2990,B-FLUIDODATERRA
24,CPS-3,3057,3062,B-POÇO
25,poços,3153,3158,B-POÇO
26,CPS-3,3297,3302,B-POÇO
27,água,3319,3323,B-FLUIDODATERRA
28,água,3489,3493,B-FLUIDODATERRA
29,CPS-3,3502,3507,B-POÇO
30,óleo,3560,3564,B-FLUIDODATERRA
31,óleo,3646,3650,B-FLUIDODATERRA
32,poço,3673,3677,B-POÇO
33,poços,3931,3936,B-POÇO
34,óleo,3990,3994,B-FLUIDODATERRA
35,CPS-3,3998,4003,B-POÇO
36,gás,4120,4123,B-FLUIDODATERRA
37,poços,4402,4407,B-POÇO
38,óleo,4610,4614,B-FLUIDODATERRA
39,óleo,4763,4767,B-FLUIDODATERRA
40,óleo,4841,4845,B-FLUIDODATERRA
41,gás,4858,4861,B-FLUIDODATERRA
42,óleo,4883,4887,B-FLUIDODATERRA
43,óleo,5254,5258,B-FLUIDODATERRA
44,óleo,5298,5302,B-FLUIDODATERRA
45,CPS-3,5408,5413,B-POÇO
46,poços,5434,5439,B-POÇO
47,óleo,5560,5564,B-FLUIDODATERRA
48,CPS-3,5795,5800,B-POÇO
49,água,5816,5820,B-FLUIDODATERRA
50,água,5853,5857,B-FLUIDODATERRA
51,água,5988,5992,B-FLUIDODATERRA
52,folhelhos,6315,6324,B-ROCHA
53,água,7343,7347,B-FLUIDODATERRA
54,CPS-3,7356,7361,B-POÇO
55,rocha,7884,7889,B-ROCHA
56,óleo,7932,7936,B-FLUIDODATERRA
57,rocha,8081,8086,B-ROCHA
58,óleo,8129,8133,B-FLUIDODATERRA
59,formação,8890,8898,B-UNIDADE_LITO
60,Barra,8899,8904,I-UNIDADE_LITO
61,de,8905,8907,I-UNIDADE_LITO
62,Itiuba,8908,8914,I-UNIDADE_LITO
63,arenitos,8926,8934,B-ROCHA
64,óleo,8976,8980,B-FLUIDODATERRA
65,campo,8996,9001,B-CAMPO
66,de,9002,9004,I-CAMPO
67,Carmópolis,9005,9015,I-CAMPO
68,poços,9044,9049,B-POÇO
69,conglomerados,9282,9295,B-ROCHA
70,formação,9313,9321,B-UNIDADE_LITO
71,Muribeca,9322,9330,I-UNIDADE_LITO
72,/Carmopólis,9330,9341,I-UNIDADE_LITO
73,poços,9379,9384,B-POÇO
74,poços,9527,9532,B-POÇO
75,poços,9823,9828,B-POÇO
76,campo,10113,10118,B-CAMPO
77,poços,10158,10163,B-POÇO
78,poços,10415,10420,B-POÇO
79,poços,10603,10608,B-POÇO
80,campo,10812,10817,B-CAMPO
81,CPS-4,10931,10936,B-POÇO
82,poços,11022,11027,B-POÇO
83,poços,11137,11142,B-POÇO
84,poços,11559,11564,B-POÇO
85,óleo,11727,11731,B-FLUIDODATERRA
86,gás,11801,11804,B-FLUIDODATERRA
87,água,11855,11859,B-FLUIDODATERRA
88,gás,11988,11991,B-FLUIDODATERRA
89,poços,12167,12172,B-POÇO
90,água,12186,12190,B-FLUIDODATERRA
91,óleo,12207,12211,B-FLUIDODATERRA
92,Siririzinho,12215,12226,B-CAMPO
93,campo,12346,12351,B-CAMPO
94,água,12398,12402,B-FLUIDODATERRA
95,CPS-3,12646,12651,B-POÇO
96,folhelhos,12916,12925,B-ROCHA
97,formação,13088,13096,B-UNIDADE_LITO
98,Barra,13097,13102,I-UNIDADE_LITO
99,de,13103,13105,I-UNIDADE_LITO
100,Itiúba,13106,13112,I-UNIDADE_LITO
101,CPS-3,13439,13444,B-POÇO
102,CPS-3,13672,13677,B-POÇO
103,óleo,13818,13822,B-FLUIDODATERRA
104,óleo,13948,13952,B-FLUIDODATERRA
105,CPS-3,14408,14413,B-POÇO
106,água,14451,14455,B-FLUIDODATERRA
107,água,14907,14911,B-FLUIDODATERRA
108,CP-5,15022,15026,B-POÇO
109,óleo,15076,15080,B-FLUIDODATERRA
