,TEXT,START,END,LABEL
0,campos,197,203,B-CAMPO
1,petróleo,207,215,B-FLUIDODATERRA
2,bacia,267,272,B-BACIA
3,de,273,275,I-BACIA
4,Sergipe-Alagoas,276,291,I-BACIA
5,arenito,512,519,B-ROCHA
6,folhelho,535,543,B-ROCHA
7,campos,1359,1365,B-CAMPO
8,petróleo,1369,1377,B-FLUIDODATERRA
9,folhelho,1423,1431,B-ROCHA
10,Bacia,1450,1455,B-BACIA
11,de,1456,1458,I-BACIA
12,Sergipe-Alagoas,1459,1474,I-BACIA
13,argila,1817,1823,B-NÃOCONSOLID
14,Formação,2486,2494,B-UNIDADE_LITO
15,Coqueiro,2495,2503,I-UNIDADE_LITO
16,seco,2504,2508,I-UNIDADE_LITO
17,campo,2632,2637,B-CAMPO
18,Formação,2682,2690,B-UNIDADE_LITO
19,Coqueiro,2691,2699,I-UNIDADE_LITO
20,Seco,2700,2704,I-UNIDADE_LITO
21,Formação,2908,2916,B-UNIDADE_LITO
22,Penedo,2917,2923,I-UNIDADE_LITO
23,gás,3056,3059,B-FLUIDODATERRA
24,poço,3079,3083,B-POÇO
25,PIR-122D,3084,3092,I-POÇO
26,gás,3159,3162,B-FLUIDODATERRA
27,arenito/,3199,3207,B-ROCHA
28,arenito,3207,3214,B-ROCHA
29,Formação,3240,3248,B-UNIDADE_LITO
30,Penedo,3249,3255,I-UNIDADE_LITO
31,Campo,3504,3509,B-CAMPO
32,de,3510,3512,I-CAMPO
33,Pilar,3513,3518,I-CAMPO
34,campo,4116,4121,B-CAMPO
35,de,4122,4124,I-CAMPO
36,Pilar,4125,4130,I-CAMPO
37,Formação,4177,4185,B-UNIDADE_LITO
38,Maceió,4186,4192,I-UNIDADE_LITO
39,PDO-IV-8,4197,4205,B-POÇO
40,Formação,4328,4336,B-UNIDADE_LITO
41,Penedo,4337,4343,I-UNIDADE_LITO
42,Formação,4352,4360,B-UNIDADE_LITO
43,Coqueiro,4361,4369,I-UNIDADE_LITO
44,Seco,4370,4374,I-UNIDADE_LITO
45,Formação,4968,4976,B-UNIDADE_LITO
46,Penedo,4977,4983,I-UNIDADE_LITO
47,poços,5177,5182,B-POÇO
48,campos,5698,5704,B-CAMPO
49,poço,5866,5870,B-POÇO
50,PIR-75,5871,5877,I-POÇO
51,campos,6378,6384,B-CAMPO
52,Pilar,6412,6417,B-CAMPO
53,Campo,6678,6683,B-CAMPO
54,de,6684,6686,I-CAMPO
55,Pilar,6687,6692,I-CAMPO
