,TEXT,START,END,LABEL
0,FORMAÇÃO,990,998,B-UNIDADE_LITO
1,1-SES-108,1002,1011,B-POÇO
2,1-SES-107,1123,1132,B-POÇO
3,1-SES-107D,1375,1385,B-POÇO
4,1-SES-107D,1485,1495,B-POÇO
5,1-SES-108,1554,1563,B-POÇO
6,Bacia,1602,1607,B-BACIA
7,de,1608,1610,I-BACIA
8,Sergipe,1611,1618,I-BACIA
9,Formação,1664,1672,B-UNIDADE_LITO
10,Penedo,1673,1679,I-UNIDADE_LITO
11,Formação,1746,1754,B-UNIDADE_LITO
12,Penedo,1755,1761,I-UNIDADE_LITO
13,Formação,1814,1822,B-UNIDADE_LITO
14,Penedo,1823,1829,I-UNIDADE_LITO
15,poço,2111,2115,B-POÇO
16,1-SES-107D,2116,2126,I-POÇO
17,poço,2188,2192,B-POÇO
18,1-SES-108,2193,2202,I-POÇO
19,Sistema,2270,2277,B-UNIDADE_CRONO
20,Petrolifero,2278,2289,I-UNIDADE_CRONO
21,Formação,2497,2505,B-UNIDADE_LITO
22,Serraria,2506,2514,I-UNIDADE_LITO
23,1-SES-107D,2586,2596,B-POÇO
24,óleo,2759,2763,B-FLUIDODATERRA
25,água,2765,2769,B-FLUIDODATERRA
26,1-SES-107,2791,2800,B-POÇO
27,óleo,2836,2840,B-FLUIDODATERRA
28,água,2842,2846,B-FLUIDODATERRA
29,gás,2849,2852,B-FLUIDODATERRA
30,1-SES,2868,2873,B-POÇO
31,1-SES-108,2959,2968,B-POÇO
32,poço,3059,3063,B-POÇO
33,poços,3208,3213,B-POÇO
34,Formação,3299,3307,B-UNIDADE_LITO
35,Penedo,3308,3314,I-UNIDADE_LITO
36,1-SES-107D,3383,3393,B-POÇO
37,óleo,3432,3436,B-FLUIDODATERRA
38,poço,3968,3972,B-POÇO
39,poço,4146,4150,B-POÇO
40,poço,4368,4372,B-POÇO
41,1-SES-108,4373,4382,I-POÇO
42,poços,4509,4514,B-POÇO
43,1-SES-107D,4577,4587,B-POÇO
44,poço,4602,4606,B-POÇO
45,1-SES-108,4607,4616,I-POÇO
46,Campo,4637,4642,B-POÇO
47,1-SES-107D,4643,4653,I-POÇO
48,poço,4804,4808,B-POÇO
49,1-SES-107D,4809,4819,I-POÇO
50,óleo,4997,5001,B-FLUIDODATERRA
51,poço,5249,5253,B-POÇO
52,1-SES-108,5254,5263,I-POÇO
53,1-SES-107D,5293,5303,B-POÇO
54,poço,5409,5413,B-POÇO
55,poços,5586,5591,B-POÇO
56,1-SES-107D,5592,5602,I-POÇO
57,1-SES-108,5605,5614,B-POÇO
58,sedimentos,5645,5655,B-NÃOCONSOLID
59,Formações,5660,5669,B-UNIDADE_LITO
60,Marituba,5670,5678,I-UNIDADE_LITO
61,Calumbi,5680,5687,I-UNIDADE_LITO
62,Muribeca,5712,5720,I-UNIDADE_LITO
63,Coqueiro,5722,5730,B-UNIDADE_LITO
64,Seco,5731,5735,I-UNIDADE_LITO
65,Penedo,5738,5744,I-UNIDADE_LITO
66,Barra,5747,5752,B-UNIDADE_LITO
67,de,5753,5755,I-UNIDADE_LITO
68,Itiúba,5756,5762,I-UNIDADE_LITO
69,Formações,5830,5839,B-UNIDADE_LITO
70,Penedo,5840,5846,I-UNIDADE_LITO
71,Barra,5849,5854,B-UNIDADE_LITO
72,de,5855,5857,I-UNIDADE_LITO
73,Itiúba,5858,5864,I-UNIDADE_LITO
74,poços,5935,5940,B-POÇO
75,Formação,5943,5951,B-UNIDADE_LITO
76,Penedo,5952,5958,I-UNIDADE_LITO
77,Formação,6122,6130,B-UNIDADE_LITO
78,Barra,6131,6136,I-UNIDADE_LITO
79,de,6137,6139,I-UNIDADE_LITO
80,Itiúba,6140,6146,I-UNIDADE_LITO
81,Formação,6195,6203,B-UNIDADE_LITO
82,Penedo,6204,6210,I-UNIDADE_LITO
83,Formação,6214,6222,B-UNIDADE_LITO
84,Serraria,6223,6231,I-UNIDADE_LITO
85,poços,6257,6262,B-POÇO
86,1-SES-107D,6363,6373,B-POÇO
87,poços,6434,6439,B-POÇO
88,poços,6577,6582,B-POÇO
89,1-SES-107D,6583,6593,I-POÇO
90,1-SES-108,6596,6605,B-POÇO
91,idade,6957,6962,B-UNIDADE_CRONO
92,Alagoas,6963,6970,I-UNIDADE_CRONO
93,poços,6989,6994,B-POÇO
94,Formação,7140,7148,B-UNIDADE_LITO
95,Penedo,7149,7155,I-UNIDADE_LITO
96,Bacia,7227,7232,B-BACIA
97,Sergipe-Alagoas,7233,7248,I-BACIA
98,Cretáceo,7260,7268,B-UNIDADE_CRONO
99,Inferior,7269,7277,I-UNIDADE_CRONO
100,Aptiano,7438,7445,B-UNIDADE_CRONO
101,Aptiano,7515,7522,B-UNIDADE_CRONO
102,pré-Aptiana,7566,7577,B-UNIDADE_CRONO
103,Superior,7578,7586,I-UNIDADE_CRONO
104,Albiano,7740,7747,B-UNIDADE_CRONO
105,Formação,7842,7850,B-UNIDADE_LITO
106,Calumbi,7851,7858,I-UNIDADE_LITO
107,bacia,8299,8304,B-BACIA
108,óleo,8443,8447,B-FLUIDODATERRA
109,gás,8450,8453,B-FLUIDODATERRA
110,poços,8472,8477,B-POÇO
111,óleo,8673,8677,B-FLUIDODATERRA
112,gás,8680,8683,B-FLUIDODATERRA
113,Formação,8765,8773,B-UNIDADE_LITO
114,Calumbi,8774,8781,I-UNIDADE_LITO
115,arenitos,8784,8792,B-ROCHA
116,Formação,8817,8825,B-UNIDADE_LITO
117,Muribeca,8826,8834,I-UNIDADE_LITO
118,arenitos,8837,8845,B-ROCHA
119,conglomerados,8848,8861,B-ROCHA
120,Membro,8898,8904,B-UNIDADE_LITO
121,Carmópolis,8905,8915,I-UNIDADE_LITO
122,arenitos,8942,8950,B-ROCHA
123,Membros,9062,9069,B-UNIDADE_LITO
124,Ibura,9070,9075,I-UNIDADE_LITO
125,Oiterinhos,9078,9088,I-UNIDADE_LITO
126,Formação,9095,9103,B-UNIDADE_LITO
127,Coqueiro,9104,9112,I-UNIDADE_LITO
128,Seco,9113,9117,I-UNIDADE_LITO
129,arenitos,9120,9128,B-ROCHA
130,Membro,9203,9209,B-UNIDADE_LITO
131,Morro,9210,9215,I-UNIDADE_LITO
132,do,9216,9218,I-UNIDADE_LITO
133,Chaves,9219,9225,I-UNIDADE_LITO
134,Formação,9231,9239,B-UNIDADE_LITO
135,Penedo,9240,9246,I-UNIDADE_LITO
136,/,9246,9247,I-UNIDADE_LITO
137,Barra,9247,9252,I-UNIDADE_LITO
138,de,9253,9255,I-UNIDADE_LITO
139,Itiúba,9256,9262,I-UNIDADE_LITO
140,arenitos,9265,9273,B-ROCHA
141,Formação,9296,9304,B-UNIDADE_LITO
142,Serraria,9305,9313,I-UNIDADE_LITO
143,arenitos,9316,9324,B-ROCHA
144,Formações,9442,9451,B-UNIDADE_LITO
145,Penedo/Barra,9452,9464,I-UNIDADE_LITO
146,de,9465,9467,I-UNIDADE_LITO
147,Itiúba,9468,9474,I-UNIDADE_LITO
148,sedimentos,9496,9506,B-NÃOCONSOLID
149,arenitos,9561,9569,B-ROCHA
150,arenitos,9618,9626,B-ROCHA
151,siltitos,9628,9636,B-ROCHA
152,folhelhos,9639,9648,B-ROCHA
153,poço,9706,9710,B-POÇO
154,1-SES-107D,9711,9721,I-POÇO
155,Formação,9755,9763,B-UNIDADE_LITO
156,Barra,9764,9769,I-UNIDADE_LITO
157,de,9770,9772,I-UNIDADE_LITO
158,Itiúba,9773,9779,I-UNIDADE_LITO
159,arenitos,9821,9829,B-ROCHA
160,óleo,10091,10095,B-FLUIDODATERRA
161,folhelho,10375,10383,B-ROCHA
162,poço,10622,10626,B-POÇO
163,1-SES-108,10627,10636,I-POÇO
164,arenitos,10642,10650,B-ROCHA
165,arenitos,10690,10698,B-ROCHA
166,argilas,10920,10927,B-NÃOCONSOLID
167,poços,11276,11281,B-POÇO
168,1-SES-107D,11282,11292,I-POÇO
169,1-SES-108,11295,11304,B-POÇO
170,Formações,11364,11373,B-UNIDADE_LITO
171,Calumbi,11374,11381,I-UNIDADE_LITO
172,Morro,11383,11388,B-UNIDADE_LITO
173,do,11389,11391,I-UNIDADE_LITO
174,Chaves,11392,11398,I-UNIDADE_LITO
175,Penedo,11401,11407,I-UNIDADE_LITO
176,de,11414,11416,I-UNIDADE_LITO
177,Itiúba,11417,11423,I-UNIDADE_LITO
178,óleo,11525,11529,B-FLUIDODATERRA
179,1-SES-107D,11653,11663,B-POÇO
180,óleo,11718,11722,B-FLUIDODATERRA
181,poço,11925,11929,B-POÇO
182,óleo,11948,11952,B-FLUIDODATERRA
183,óleo,12072,12076,B-FLUIDODATERRA
184,poço,12198,12202,B-POÇO
185,óleo,12230,12234,B-FLUIDODATERRA
186,poço,12280,12284,B-POÇO
187,poço,12332,12336,B-POÇO
188,1-SES-108,12337,12346,I-POÇO
189,Formação,12399,12407,B-UNIDADE_LITO
190,Penedo,12408,12414,I-UNIDADE_LITO
191,/,12414,12415,I-UNIDADE_LITO
192,Barra,12415,12420,I-UNIDADE_LITO
193,de,12421,12423,I-UNIDADE_LITO
194,Itiúba,12424,12430,I-UNIDADE_LITO
195,arenitos,12528,12536,B-ROCHA
196,1-SES-107,12590,12599,B-POÇO
197,poço,12625,12629,B-POÇO
198,poço,12810,12814,B-POÇO
199,poço,12926,12930,B-POÇO
200,1-SES-107D,12931,12941,I-POÇO
201,poço,13022,13026,B-POÇO
202,1-SES-107D,13027,13037,I-POÇO
203,água,13095,13099,B-FLUIDODATERRA
204,poço,13122,13126,B-POÇO
205,1-SES-108,13127,13136,I-POÇO
206,Formação,13182,13190,B-UNIDADE_LITO
207,Penedo,13191,13197,I-UNIDADE_LITO
208,óleo,13331,13335,B-FLUIDODATERRA
209,Bacia,13418,13423,B-BACIA
210,Sergipe-Alagoas,13424,13439,I-BACIA
211,campos,13453,13459,B-CAMPO
212,poço,13688,13692,B-POÇO
213,1-SES-107D,13693,13703,I-POÇO
214,Formação,13792,13800,B-UNIDADE_LITO
215,Penedo,13801,13807,I-UNIDADE_LITO
216,poço,13821,13825,B-POÇO
217,1-SES-108,13826,13835,I-POÇO
218,Formação,13865,13873,B-UNIDADE_LITO
219,Penedo,13874,13880,I-UNIDADE_LITO
220,/Barra,13880,13886,I-UNIDADE_LITO
221,de,13887,13889,I-UNIDADE_LITO
222,Itiúba,13890,13896,I-UNIDADE_LITO
223,petróleo,14331,14339,B-FLUIDODATERRA
224,óleo,14352,14356,B-FLUIDODATERRA
225,poço,14371,14375,B-POÇO
226,1-SES-107D,14376,14386,I-POÇO
227,Formação,14420,14428,B-UNIDADE_LITO
228,Penedo,14429,14435,I-UNIDADE_LITO
229,óleo,14541,14545,B-FLUIDODATERRA
230,óleo,14645,14649,B-FLUIDODATERRA
231,rocha,14677,14682,B-ROCHA
232,óleo,14821,14825,B-FLUIDODATERRA
233,folhelhos,14850,14859,B-ROCHA
234,Formação,14863,14871,B-UNIDADE_LITO
235,Barra,14872,14877,I-UNIDADE_LITO
236,de,14878,14880,I-UNIDADE_LITO
237,Itiúba,14881,14887,I-UNIDADE_LITO
238,poços,15099,15104,B-POÇO
239,1-SES-107D,15105,15115,I-POÇO
240,1-SES-108,15118,15127,B-POÇO
241,Formação,15145,15153,B-UNIDADE_LITO
242,Serraria,15154,15162,I-UNIDADE_LITO
243,Formação,15232,15240,B-UNIDADE_LITO
244,Serraria,15241,15249,I-UNIDADE_LITO
245,arenitos,15268,15276,B-ROCHA
246,Campo,15472,15477,B-CAMPO
247,de,15478,15480,I-CAMPO
248,Furado,15481,15487,I-CAMPO
249,poço,15502,15506,B-POÇO
250,6-RB-18-SE,15507,15517,I-POÇO
251,1-SES-107D,15544,15554,B-POÇO
252,água,15663,15667,B-FLUIDODATERRA
