,TEXT,START,END,LABEL
0,poço,3580,3584,B-POÇO
1,CSF-1,3585,3590,I-POÇO
2,Campo,4279,4284,B-CAMPO
3,de,4285,4287,I-CAMPO
4,Cidade,4288,4294,I-CAMPO
5,Sebastião,4295,4304,I-CAMPO
6,Ferreira,4305,4313,I-CAMPO
7,gás,4354,4357,B-FLUIDODATERRA
8,formação,4388,4396,B-UNIDADE_LITO
9,Barra,4397,4402,I-UNIDADE_LITO
10,de,4403,4405,I-UNIDADE_LITO
11,Itiúba,4406,4412,I-UNIDADE_LITO
12,poço,4427,4431,B-POÇO
13,CSF-01,4432,4438,I-POÇO
14,Campo,4519,4524,B-CAMPO
15,de,4525,4527,I-CAMPO
16,Cidade,4528,4534,I-CAMPO
17,Sebastião,4535,4544,I-CAMPO
18,Ferreira,4545,4553,I-CAMPO
19,gás,4618,4621,B-FLUIDODATERRA
20,gás,4683,4686,B-FLUIDODATERRA
21,poço,4823,4827,B-POÇO
22,gás,5252,5255,B-FLUIDODATERRA
23,gás,5427,5430,B-FLUIDODATERRA
24,gás,5456,5459,B-FLUIDODATERRA
25,poço,5535,5539,B-POÇO
26,CSF-1,5540,5545,I-POÇO
27,CSF-1,5944,5949,B-POÇO
28,óleo,7343,7347,B-FLUIDODATERRA
29,gás,7350,7353,B-FLUIDODATERRA
30,poço,7390,7394,B-POÇO
31,gás,7769,7772,B-FLUIDODATERRA
32,gás,7828,7831,B-FLUIDODATERRA
33,gás,7933,7936,B-FLUIDODATERRA
34,Natural,8050,8057,I-FLUIDODATERRA
35,gás,8071,8074,B-FLUIDODATERRA
36,campos,8583,8589,B-CAMPO
37,óleo,8616,8620,B-FLUIDODATERRA
38,gás,8653,8656,B-FLUIDODATERRA
39,gás,8702,8705,B-FLUIDODATERRA
40,poço,8814,8818,B-POÇO
41,gás,8861,8864,B-FLUIDODATERRA
42,gás,8961,8964,B-FLUIDODATERRA
43,gás,9072,9075,B-FLUIDODATERRA
44,gás,9210,9213,B-FLUIDODATERRA
45,CSF-1,10052,10057,B-POÇO
46,campo,10692,10697,B-CAMPO
47,de,10698,10700,I-CAMPO
48,Cidade,10701,10707,I-CAMPO
49,Sebastião,10708,10717,I-CAMPO
50,Ferreira,10718,10726,I-CAMPO
51,Furado,10756,10762,B-CAMPO
52,gás,10800,10803,B-FLUIDODATERRA
53,poço,10821,10825,B-POÇO
54,CSF-001,10826,10833,I-POÇO
55,poço,10862,10866,B-POÇO
56,CSF-001,10867,10874,I-POÇO
57,poço,11016,11020,B-POÇO
58,FPB-003,11021,11028,I-POÇO
59,gás,11278,11281,B-FLUIDODATERRA
60,poço,11339,11343,B-POÇO
61,poço,11386,11390,B-POÇO
62,CSF,11391,11394,I-POÇO
63,gás,11489,11492,B-FLUIDODATERRA
64,poço,11516,11520,B-POÇO
65,CSF-001,11521,11528,I-POÇO
66,poço,11543,11547,B-POÇO
67,poço,11654,11658,B-POÇO
68,CSF-001,11659,11666,I-POÇO
69,poço,11695,11699,B-POÇO
70,poço,11846,11850,B-POÇO
71,poço,11937,11941,B-POÇO
72,poço,12123,12127,B-POÇO
