,TEXT,START,END,LABEL
0,agua,603,607,B-FLUIDODATERRA
1,poços,613,618,B-POÇO
2,ôleo,683,687,B-FLUIDODATERRA
3,poco,935,939,B-POÇO
4,campo,1226,1231,B-CAMPO
5,Riachuelo,1235,1244,I-CAMPO
6,gados,1848,1853,B-NÃOCONSOLID
7,campo,2085,2090,B-CAMPO
8,campo,2447,2452,B-CAMPO
9,de,2453,2455,I-CAMPO
10,Riachuelo,2456,2465,I-CAMPO
11,campo,2536,2541,B-CAMPO
12,de,2542,2544,I-CAMPO
13,Riachuelo,2545,2554,I-CAMPO
14,campo,2665,2670,B-CAMPO
15,poços,2769,2774,B-POÇO
16,ME-02,2775,2780,I-POÇO
17,RO-32,2782,2787,B-POÇO
18,Treme,3493,3498,B-CAMPO
19,poços,3620,3625,B-POÇO
20,RO-11,3626,3631,I-POÇO
21,RO-13,3633,3638,B-POÇO
22,RO-14,3641,3646,B-POÇO
23,campo,4364,4369,B-CAMPO
24,de,4370,4372,I-CAMPO
25,Riachuelo,4373,4382,I-CAMPO
26,ME-01,4472,4477,B-POÇO
27,UC-1,4507,4511,B-POÇO
28,RO-14,4521,4526,B-POÇO
29,campo,4606,4611,B-CAMPO
30,poços,4674,4679,B-POÇO
31,poços,4713,4718,B-POÇO
32,poços,4909,4914,B-POÇO
33,campo,5197,5202,B-CAMPO
34,de,5203,5205,I-CAMPO
35,Riachuelo,5206,5215,I-CAMPO
