,TEXT,START,END,LABEL
0,hidrocarbonetos,2706,2721,B-FLUIDODATERRA
1,campo,2725,2730,B-CAMPO
2,de,2731,2733,I-CAMPO
3,Cidade,2734,2740,I-CAMPO
4,de,2741,2743,I-CAMPO
5,São,2744,2747,I-CAMPO
6,Miguel,2748,2754,I-CAMPO
7,dos,2755,2758,I-CAMPO
8,Campos,2759,2765,I-CAMPO
9,óleo,2860,2864,B-FLUIDODATERRA
10,gás,2867,2870,B-FLUIDODATERRA
11,campo,2877,2882,B-CAMPO
12,gás,2957,2960,B-FLUIDODATERRA
13,hidrocarbonetos,3076,3091,B-FLUIDODATERRA
14,campo,3340,3345,B-CAMPO
15,Poço,3500,3504,B-POÇO
16,descobridor,3505,3516,I-POÇO
17,1-CSMC-1-AL,3519,3530,B-POÇO
18,campo,3596,3601,B-CAMPO
19,gás,3678,3681,B-FLUIDODATERRA
20,Formação,3864,3872,B-UNIDADE_LITO
21,Barra,3873,3878,I-UNIDADE_LITO
22,de,3879,3881,I-UNIDADE_LITO
23,Itiúba,3882,3888,I-UNIDADE_LITO
24,Arenito,3916,3923,B-ROCHA
25,Caioba,3924,3930,I-ROCHA
26,Formação,3946,3954,B-UNIDADE_LITO
27,Serraria,3955,3963,I-UNIDADE_LITO
28,hidrocarbonetos,4000,4015,B-FLUIDODATERRA
29,gás,4035,4038,B-FLUIDODATERRA
30,livre,4039,4044,I-FLUIDODATERRA
31,gás,4297,4300,B-FLUIDODATERRA
32,Formação,4376,4384,B-UNIDADE_LITO
33,Barra,4385,4390,I-UNIDADE_LITO
34,de,4391,4393,I-UNIDADE_LITO
35,Itiúba,4394,4400,I-UNIDADE_LITO
36,Arenito,4428,4435,B-ROCHA
37,Caioba,4436,4442,I-ROCHA
38,Formação,4458,4466,B-UNIDADE_LITO
39,Serraria,4467,4475,I-UNIDADE_LITO
40,hidrocarbonetos,4512,4527,B-FLUIDODATERRA
41,gás,4547,4550,B-FLUIDODATERRA
42,Rochas,4969,4975,B-ROCHA
43,arenitos,4991,4999,B-ROCHA
44,Formação,5014,5022,B-UNIDADE_LITO
45,Barra,5023,5028,I-UNIDADE_LITO
46,de,5029,5031,I-UNIDADE_LITO
47,Itiúba,5032,5038,I-UNIDADE_LITO
48,Formação,5060,5068,B-UNIDADE_LITO
49,Serraria,5069,5077,I-UNIDADE_LITO
50,Formação,5120,5128,B-UNIDADE_LITO
51,Barra,5129,5134,I-UNIDADE_LITO
52,de,5135,5137,I-UNIDADE_LITO
53,Itiúba,5138,5144,I-UNIDADE_LITO
54,Formação,5157,5165,B-UNIDADE_LITO
55,Serraria,5166,5174,I-UNIDADE_LITO
56,Formação,5251,5259,B-UNIDADE_LITO
57,Barra,5260,5265,I-UNIDADE_LITO
58,de,5266,5268,I-UNIDADE_LITO
59,Itiúba,5269,5275,I-UNIDADE_LITO
60,Cretáceo,5278,5286,B-UNIDADE_CRONO
61,Inferior,5287,5295,I-UNIDADE_CRONO
62,andares,5297,5304,B-UNIDADE_CRONO
63,Buracica,5305,5313,I-UNIDADE_CRONO
64,Aratu,5315,5320,B-UNIDADE_CRONO
65,Rio,5323,5326,I-UNIDADE_CRONO
66,da,5327,5329,I-UNIDADE_CRONO
67,Serra,5330,5335,I-UNIDADE_CRONO
68,Formação,5338,5346,B-UNIDADE_LITO
69,Serraria,5347,5355,I-UNIDADE_LITO
70,andar,5367,5372,B-UNIDADE_CRONO
71,Dom,5373,5376,I-UNIDADE_CRONO
72,João,5377,5381,I-UNIDADE_CRONO
73,rocha,5407,5412,B-ROCHA
74,óleo,5510,5514,B-FLUIDODATERRA
75,água,5628,5632,B-FLUIDODATERRA
76,de,5633,5635,I-FLUIDODATERRA
77,formação,5636,5644,I-FLUIDODATERRA
78,óleo,5770,5774,B-FLUIDODATERRA
79,gás,5784,5787,B-FLUIDODATERRA
80,poços,5805,5810,B-POÇO
81,seco,5837,5841,B-POÇO
82,óleo,5937,5941,B-FLUIDODATERRA
83,gás,6005,6008,B-FLUIDODATERRA
84,gás,6011,6014,B-FLUIDODATERRA
85,gás,6050,6053,B-FLUIDODATERRA
86,Campo,6350,6355,B-CAMPO
87,de,6356,6358,I-CAMPO
88,Cidade,6359,6365,I-CAMPO
89,de,6366,6368,I-CAMPO
90,São,6369,6372,I-CAMPO
91,Miguel,6373,6379,I-CAMPO
92,dos,6380,6383,I-CAMPO
93,Campos,6384,6390,I-CAMPO
94,campo,6584,6589,B-CAMPO
95,óleo,6700,6704,B-FLUIDODATERRA
96,gás,6711,6714,B-FLUIDODATERRA
97,poço,7135,7139,B-POÇO
98,rocha,7214,7219,B-ROCHA
99,poço,7274,7278,B-POÇO
100,campos,7390,7396,B-CAMPO
101,óleo,7400,7404,B-FLUIDODATERRA
102,Campo,7465,7470,B-CAMPO
103,óleo,7516,7520,B-FLUIDODATERRA
104,gás,7546,7549,B-FLUIDODATERRA
105,poço,7644,7648,B-POÇO
106,campo,7717,7722,B-CAMPO
107,poço,7890,7894,B-POÇO
108,Poços,8126,8131,B-POÇO
109,poço-a-poço,8493,8504,B-POÇO
110,campo,9228,9233,B-CAMPO
111,arenitos,9296,9304,B-ROCHA
112,rochas,9353,9359,B-ROCHA
113,folhelhos,9391,9400,B-ROCHA
114,água,10279,10283,B-FLUIDODATERRA
115,poço,10376,10380,B-POÇO
116,FU-45,10381,10386,I-POÇO
117,campos,10539,10545,B-CAMPO
118,água,10610,10614,B-FLUIDODATERRA
119,de,10615,10617,I-FLUIDODATERRA
120,formação,10618,10626,I-FLUIDODATERRA
121,água,10687,10691,B-FLUIDODATERRA
122,de,10692,10694,I-FLUIDODATERRA
123,formação,10695,10703,I-FLUIDODATERRA
124,Campo,10831,10836,B-CAMPO
125,de,10837,10839,I-CAMPO
126,Cidade,10840,10846,I-CAMPO
127,de,10847,10849,I-CAMPO
128,São,10850,10853,I-CAMPO
129,Miguel,10854,10860,I-CAMPO
130,dos,10861,10864,I-CAMPO
131,Campos,10865,10871,I-CAMPO
132,Formação,11090,11098,B-UNIDADE_LITO
133,Barra,11099,11104,I-UNIDADE_LITO
134,de,11105,11107,I-UNIDADE_LITO
135,Itiuba,11108,11114,I-UNIDADE_LITO
136,Formação,11192,11200,B-UNIDADE_LITO
137,Barra,11201,11206,I-UNIDADE_LITO
138,de,11207,11209,I-UNIDADE_LITO
