,TEXT,START,END,LABEL
0,óleo,500,504,B-FLUIDODATERRA
1,agua,506,510,B-FLUIDODATERRA
2,campos,754,760,B-CAMPO
3,Campos,1270,1276,B-BACIA
4,campo,1377,1382,B-CAMPO
5,de,1383,1385,I-CAMPO
6,Carmópolis,1386,1396,I-CAMPO
7,campos,1437,1443,B-CAMPO
8,de,1444,1446,I-CAMPO
9,Carmopolis,1447,1457,I-CAMPO
10,Dourado,1471,1478,B-CAMPO
11,Guaricema,1481,1490,B-CAMPO
12,poços,1514,1519,B-POÇO
13,campos,1524,1530,B-CAMPO
14,de,1531,1533,I-CAMPO
15,Furado,1534,1540,I-CAMPO
16,Riachuelo,1542,1551,B-CAMPO
17,Atalaia,1553,1560,B-CAMPO
18,Sul,1561,1564,I-CAMPO
19,Brejo,1566,1571,B-CAMPO
20,Grande,1572,1578,I-CAMPO
21,embasamento,1581,1592,B-UNIDADE_LITO
22,Carmopolis,1596,1606,B-CAMPO
23,gas,1649,1652,B-FLUIDODATERRA
24,gas,1689,1692,B-NÃOCONSOLID
25,Campos,1761,1767,B-BACIA
26,campos,1993,1999,B-CAMPO
27,Campos,2109,2115,B-BACIA
28,agua,2149,2153,B-FLUIDODATERRA
29,CP-321,2539,2545,B-POÇO
30,poços,2623,2628,B-POÇO
31,poços,3124,3129,B-POÇO
32,embasamento,3149,3160,B-UNIDADE_LITO
33,água,3342,3346,B-FLUIDODATERRA
34,água,3529,3533,B-FLUIDODATERRA
35,água,3579,3583,B-FLUIDODATERRA
36,gas,3717,3720,B-FLUIDODATERRA
37,Campo,3724,3729,B-CAMPO
38,de,3730,3732,I-CAMPO
39,Carmopolis,3733,3743,I-CAMPO
40,poços,4068,4073,B-POÇO
41,agua,4108,4112,B-FLUIDODATERRA
42,agua,4181,4185,B-FLUIDODATERRA
43,agua,4219,4223,B-FLUIDODATERRA
44,!,4692,4693,B-FLUIDODATERRA
45,poços,4722,4727,B-POÇO
46,campo,4749,4754,B-CAMPO
47,agua,4833,4837,B-FLUIDODATERRA
48,agua,4980,4984,B-FLUIDODATERRA
49,agua,5072,5076,B-FLUIDODATERRA
50,agua,5161,5165,B-FLUIDODATERRA
51,Campo,5169,5174,B-CAMPO
52,Campo,5272,5277,B-CAMPO
53,gas,5374,5377,B-FLUIDODATERRA
54,poço,5574,5578,B-POÇO
55,agua,5659,5663,B-FLUIDODATERRA
56,gas,5831,5834,B-FLUIDODATERRA
57,agua,6351,6355,B-FLUIDODATERRA
58,Campo,6560,6565,B-CAMPO
59,poços,6758,6763,B-POÇO
60,agua,6926,6930,B-FLUIDODATERRA
61,ATS-8,7160,7165,B-POÇO
62,ATS-7,7178,7183,B-POÇO
63,poço,7346,7350,B-POÇO
64,produtor,7351,7359,B-POÇO
65,PDi-5,7363,7368,B-POÇO
66,água,7485,7489,B-FLUIDODATERRA
67,poço,8031,8035,B-POÇO
68,campo,8051,8056,B-CAMPO
69,agua,8196,8200,B-FLUIDODATERRA
70,Campo,8399,8404,B-CAMPO
71,água,8491,8495,B-FLUIDODATERRA
72,agua,8613,8617,B-FLUIDODATERRA
73,poços,8628,8633,B-POÇO
74,Campo,8702,8707,B-CAMPO
75,gas,9017,9020,B-FLUIDODATERRA
76,Campo,9048,9053,B-CAMPO
77,de,9054,9056,I-CAMPO
78,Furado,9057,9063,I-CAMPO
79,poços,9405,9410,B-POÇO
80,produtores,9411,9421,B-POÇO
81,agua,9497,9501,B-FLUIDODATERRA
82,agua,9830,9834,B-FLUIDODATERRA
83,Campo,9839,9844,B-CAMPO
84,1979,9932,9936,B-FLUIDODATERRA
85,campo,10030,10035,B-CAMPO
86,óleo,10181,10185,B-FLUIDODATERRA
87,água,10520,10524,B-FLUIDODATERRA
88,Campo,10773,10778,B-CAMPO
89,poços,10935,10940,B-POÇO
90,DO-11-SES,10941,10950,I-POÇO
91,DO-08-SES,10952,10961,B-POÇO
92,DO_O9-SES,10964,10973,B-POÇO
