,TEXT,START,END,LABEL
0,agua,158,162,B-FLUIDODATERRA
1,agua,223,227,B-FLUIDODATERRA
2,agua,334,338,B-FLUIDODATERRA
3,campo,905,910,B-CAMPO
4,de,911,913,I-CAMPO
5,Kern,914,918,I-CAMPO
6,River,919,924,I-CAMPO
7,campos,1014,1020,B-CAMPO
8,de,1021,1023,I-CAMPO
9,McElroy,1024,1031,I-CAMPO
10,agua,1089,1093,B-FLUIDODATERRA
11,agua,1236,1240,B-FLUIDODATERRA
12,campo,1449,1454,B-CAMPO
13,campo,1457,1462,B-CAMPO
14,de,1463,1465,I-CAMPO
15,Kern,1466,1470,I-CAMPO
16,River,1471,1476,I-CAMPO
17,campos,1499,1505,B-CAMPO
18,campos,1599,1605,B-CAMPO
19,Prudhoe,1626,1633,B-CAMPO
20,Kuparuk,1640,1647,B-CAMPO
21,River,1648,1653,I-CAMPO
22,poco,1802,1806,B-POÇO
23,pas,1825,1828,B-ROCHA
24,campo,1935,1940,B-CAMPO
25,campo,2074,2079,B-CAMPO
26,campo,2488,2493,B-CAMPO
27,campo,2836,2841,B-CAMPO
28,agua,3248,3252,B-FLUIDODATERRA
29,agua,3496,3500,B-FLUIDODATERRA
30,campo,5656,5661,B-CAMPO
31,gas,6340,6343,B-FLUIDODATERRA
32,campo,6714,6719,B-CAMPO
33,areia,6840,6845,B-NÃOCONSOLID
34,campo,6869,6874,B-CAMPO
35,agua,7364,7368,B-FLUIDODATERRA
36,poco,7410,7414,B-POÇO
37,agua,7447,7451,B-FLUIDODATERRA
38,agua,7533,7537,B-FLUIDODATERRA
39,agua,7591,7595,B-FLUIDODATERRA
40,agua,7626,7630,B-FLUIDODATERRA
41,agua,7756,7760,B-FLUIDODATERRA
42,pocos,7843,7848,B-POÇO
43,poco,7986,7990,B-POÇO
44,campo,8697,8702,B-CAMPO
45,campo,9895,9900,B-CAMPO
46,campo,10142,10147,B-CAMPO
47,agua,10226,10230,B-FLUIDODATERRA
