,TEXT,START,END,LABEL
0,gás,4121,4124,B-FLUIDODATERRA
1,formação,4142,4150,B-UNIDADE_LITO
2,Sequência,4151,4160,I-UNIDADE_LITO
3,campo,4167,4172,B-CAMPO
4,de,4173,4175,I-CAMPO
5,Caioba,4176,4182,I-CAMPO
6,poços,4295,4300,B-POÇO
7,3-CB-3D-SES,4302,4313,B-POÇO
8,7-CB-6-SES,4315,4325,B-POÇO
9,7-CB-7D-SES,4327,4338,B-POÇO
10,7-CB-8D-SES,4340,4351,B-POÇO
11,7-CB-15D-SES,4353,4365,B-POÇO
12,7-CB-21D-SES,4367,4379,B-POÇO
13,7-CB-26D-SES,4381,4393,B-POÇO
14,7-CB-27-SES,4395,4406,B-POÇO
15,7-CB-29-SES,4409,4420,B-POÇO
16,Campo,5017,5022,B-CAMPO
17,de,5023,5025,I-CAMPO
18,Caioba,5026,5032,I-CAMPO
19,formações,5107,5116,B-UNIDADE_LITO
20,Riachuelo,5117,5126,I-UNIDADE_LITO
21,Muribeca,5128,5136,I-UNIDADE_LITO
22,Coqueiro,5139,5147,B-UNIDADE_LITO
23,Seco,5148,5152,I-UNIDADE_LITO
24,poços,5258,5263,B-POÇO
25,poços,5398,5403,B-POÇO
26,Campo,5534,5539,B-CAMPO
27,de,5540,5542,I-CAMPO
28,Caioba,5543,5549,I-CAMPO
29,gás,5603,5606,B-FLUIDODATERRA
30,campo,5716,5721,B-CAMPO
31,Formação,5796,5804,B-UNIDADE_LITO
32,Riachuelo,5805,5814,I-UNIDADE_LITO
33,arenitos,5833,5841,B-ROCHA
34,folhelhos,5863,5872,B-ROCHA
35,calcários,5892,5901,B-ROCHA
36,Formação,5932,5940,B-UNIDADE_LITO
37,Muribeca,5941,5949,I-UNIDADE_LITO
38,calcários,5987,5996,B-ROCHA
39,folhelhos,6011,6020,B-ROCHA
40,conglomerados,6034,6047,B-ROCHA
41,arenitos,6062,6070,B-ROCHA
42,siltitos,6094,6102,B-ROCHA
43,folhelhos,6105,6114,B-ROCHA
44,Formação,6133,6141,B-UNIDADE_LITO
45,Coqueiro,6142,6150,I-UNIDADE_LITO
46,Seco/,6151,6156,I-UNIDADE_LITO
47,Membro,6157,6163,B-UNIDADE_LITO
48,Morro,6164,6169,I-UNIDADE_LITO
49,do,6170,6172,I-UNIDADE_LITO
50,Chaves,6173,6179,I-UNIDADE_LITO
51,campo,6209,6214,B-CAMPO
52,calcários,6231,6240,B-ROCHA
53,folhelhos,6255,6264,B-ROCHA
54,arenitos,6283,6291,B-ROCHA
55,poços,6395,6400,B-POÇO
56,Campo,6527,6532,B-CAMPO
57,de,6533,6535,I-CAMPO
58,Caioba,6536,6542,I-CAMPO
59,gás,6596,6599,B-FLUIDODATERRA
60,campo,6709,6714,B-CAMPO
61,Campo,6749,6754,B-CAMPO
62,de,6755,6757,I-CAMPO
63,Caioba,6758,6764,I-CAMPO
64,gás,6830,6833,B-FLUIDODATERRA
65,gás,6895,6898,B-FLUIDODATERRA
66,poço,7015,7019,B-POÇO
67,CB-7,7020,7024,I-POÇO
68,poços,7051,7056,B-POÇO
69,poços,7105,7110,B-POÇO
70,CB-03,7140,7145,B-POÇO
71,CB-06,7155,7160,B-POÇO
72,CB-15,7185,7190,B-POÇO
73,CB-21,7192,7197,B-POÇO
74,poços,7297,7302,B-POÇO
75,poços,7387,7392,B-POÇO
76,POÇO,7736,7740,B-POÇO
77,poco,7913,7917,B-POÇO
78,POÇO,7947,7951,B-POÇO
79,POÇO,7977,7981,B-POÇO
80,óleo,8117,8121,B-FLUIDODATERRA
81,gás,8129,8132,B-FLUIDODATERRA
82,óleo,8203,8207,B-FLUIDODATERRA
83,gás,8212,8215,B-FLUIDODATERRA
84,poço,8228,8232,B-POÇO
85,poço,8722,8726,B-POÇO
86,POÇO,8756,8760,B-POÇO
87,Campo,9070,9075,B-CAMPO
88,de,9076,9078,I-CAMPO
89,Caioba,9079,9085,I-CAMPO
90,gás,9110,9113,B-FLUIDODATERRA
91,formação,9131,9139,B-UNIDADE_LITO
92,Sequência,9140,9149,I-UNIDADE_LITO
93,Poços,9277,9282,B-POÇO
94,poços,9303,9308,B-POÇO
95,3-CB-3D-SES,9309,9320,I-POÇO
96,7-CB-6-SES,9322,9332,B-POÇO
97,7-CB-7D-SES,9334,9345,B-POÇO
98,7-CB-8D-SES,9347,9358,B-POÇO
99,7-CB-15D-SES,9360,9372,B-POÇO
100,7-CB-21D-SES,9374,9386,B-POÇO
101,7-CB-26D-SES,9388,9400,B-POÇO
