,TEXT,START,END,LABEL
0,óleo,218,222,B-FLUIDODATERRA
1,gás,225,228,B-FLUIDODATERRA
2,gás,247,250,B-FLUIDODATERRA
3,natural,251,258,I-FLUIDODATERRA
4,petróleo,305,313,B-FLUIDODATERRA
5,água,5758,5762,B-FLUIDODATERRA
6,óleo,5826,5830,B-FLUIDODATERRA
7,poços,5846,5851,B-POÇO
8,petróleo,5855,5863,B-FLUIDODATERRA
9,gás.,5870,5874,B-FLUIDODATERRA
10,gás,6168,6171,B-FLUIDODATERRA
11,gás.,6305,6309,B-FLUIDODATERRA
12,óleo,6326,6330,B-FLUIDODATERRA
13,petróleo,6357,6365,B-FLUIDODATERRA
14,petróleo,6542,6550,B-FLUIDODATERRA
15,Bacia,16037,16042,B-BACIA
16,Potiguar,16043,16051,I-BACIA
17,Camaçari/Salgema,17000,17016,B-CAMPO
