,TEXT,START,END,LABEL
0,Seixos,78,84,B-NÃOCONSOLID
1,Conglomerados,98,111,B-ROCHA
2,Membro,115,121,B-UNIDADE_LITO
3,Carmópolis,122,132,I-UNIDADE_LITO
4,Campo,135,140,B-CAMPO
5,de,141,143,I-CAMPO
6,Carmópolis,144,154,I-CAMPO
7,Bloco,157,162,B-UNIDADE_CRONO
8,Folhelhos,229,238,B-ROCHA
9,Poços,373,378,B-POÇO
10,Campo,469,474,B-CAMPO
11,de,475,477,I-CAMPO
12,Carmópolis,478,488,I-CAMPO
13,Poços,573,578,B-POÇO
14,Campo,582,587,B-CAMPO
15,Campo,1507,1512,B-CAMPO
16,de,1513,1515,I-CAMPO
17,Carmópolis,1516,1526,I-CAMPO
18,9-CP-911-SE....................,1652,1683,B-POÇO
19,Campo,1966,1971,B-CAMPO
20,de,1972,1974,I-CAMPO
21,Carmópolis,1975,1985,I-CAMPO
22,Poços,2068,2073,B-POÇO
23,óleo,2274,2278,B-FLUIDODATERRA
24,petróleo,2596,2604,B-FLUIDODATERRA
25,petróleo,2908,2916,B-FLUIDODATERRA
26,petróleo,3214,3222,B-FLUIDODATERRA
27,bacias,3227,3233,B-BACIA
28,água,3385,3389,B-FLUIDODATERRA
29,campo,3420,3425,B-CAMPO
30,de,3426,3428,I-CAMPO
31,Carmópolis,3429,3439,I-CAMPO
32,campo,3463,3468,B-CAMPO
33,de,3469,3471,I-CAMPO
34,Carmópolis,3472,3482,I-CAMPO
35,água,3511,3515,B-FLUIDODATERRA
36,óleo,3566,3570,B-FLUIDODATERRA
37,poços,3634,3639,B-POÇO
38,água,3678,3682,B-FLUIDODATERRA
39,óleo,4047,4051,B-FLUIDODATERRA
40,água,4082,4086,B-FLUIDODATERRA
41,campo,4142,4147,B-CAMPO
42,de,4148,4150,I-CAMPO
43,Carmópolis,4151,4161,I-CAMPO
44,campos,4299,4305,B-CAMPO
45,água,4433,4437,B-FLUIDODATERRA
46,poço,4531,4535,B-POÇO
47,Poços,5045,5050,B-POÇO
48,Poços,6276,6281,B-POÇO
49,poços,6439,6444,B-POÇO
50,campo,6448,6453,B-CAMPO
51,de,6454,6456,I-CAMPO
52,Carmópolis,6457,6467,I-CAMPO
53,água,6543,6547,B-FLUIDODATERRA
54,campo,6704,6709,B-CAMPO
55,de,6710,6712,I-CAMPO
56,Carmópolis,6713,6723,I-CAMPO
57,poços,6968,6973,B-POÇO
58,poços,7119,7124,B-POÇO
59,campo,7560,7565,B-CAMPO
60,de,7566,7568,I-CAMPO
61,Carmópolis,7569,7579,I-CAMPO
62,campo,8341,8346,B-CAMPO
63,de,8347,8349,I-CAMPO
64,Carmópolis,8350,8360,I-CAMPO
65,poços,8387,8392,B-POÇO
66,injetores,8393,8402,B-POÇO
67,poços,8468,8473,B-POÇO
68,campo,8477,8482,B-CAMPO
69,de,8483,8485,I-CAMPO
70,Carmópolis,8486,8496,I-CAMPO
71,poços,8603,8608,B-POÇO
72,campo,8612,8617,B-CAMPO
73,conglomerados,9136,9149,B-ROCHA
74,Membro,9153,9159,B-UNIDADE_LITO
75,Carmópolis,9160,9170,I-UNIDADE_LITO
76,rocha,9388,9393,B-ROCHA
77,seixos,9496,9502,B-NÃOCONSOLID
78,conglomerados,9531,9544,B-ROCHA
79,seixos,9589,9595,B-NÃOCONSOLID
80,rocha,9622,9627,B-ROCHA
81,rocha,9720,9725,B-ROCHA
82,poços,9842,9847,B-POÇO
83,seixos,9971,9977,B-NÃOCONSOLID
84,seixos,10089,10095,B-NÃOCONSOLID
85,seixos,10229,10235,B-NÃOCONSOLID
86,conglomerado,10358,10370,B-ROCHA
87,conglomerado,10407,10419,B-ROCHA
88,arenito,10457,10464,B-ROCHA
89,seixos,10759,10765,B-NÃOCONSOLID
90,campo,11292,11297,B-CAMPO
91,folhelhos,11327,11336,B-ROCHA
92,Membro,11377,11383,B-UNIDADE_LITO
93,Carmópolis,11384,11394,I-UNIDADE_LITO
94,campo,11576,11581,B-CAMPO
95,folhelhos,11921,11930,B-ROCHA
96,campo,12045,12050,B-CAMPO
97,folhelhos,12271,12280,B-ROCHA
98,CPS-2,12302,12307,B-POÇO
99,CPS-3A,12310,12316,B-POÇO
100,campo,12472,12477,B-CAMPO
101,folhelho,12533,12541,B-ROCHA
102,folhelho,12616,12624,B-ROCHA
103,folhelho,12845,12853,B-ROCHA
104,CPS-2,12909,12914,B-POÇO
105,folhelho,12970,12978,B-ROCHA
106,poços,13093,13098,B-POÇO
107,folhelhos,13144,13153,B-ROCHA
108,poços,13309,13314,B-POÇO
109,campo,13318,13323,B-CAMPO
110,poços,13398,13403,B-POÇO
111,folhelhos,13638,13647,B-ROCHA
112,poços,13743,13748,B-POÇO
113,campo,13752,13757,B-CAMPO
114,arenitos,14546,14554,B-ROCHA
115,poços,14627,14632,B-POÇO
116,campo,14636,14641,B-CAMPO
117,rocha,14701,14706,B-ROCHA
118,sedimentos,14774,14784,B-NÃOCONSOLID
119,Membro,14816,14822,B-UNIDADE_LITO
120,Carmópolis,14823,14833,I-UNIDADE_LITO
121,poços,14874,14879,B-POÇO
122,campo,14955,14960,B-CAMPO
123,sedimentos,15161,15171,B-NÃOCONSOLID
124,CPS-4,15191,15196,B-POÇO
125,campo,15245,15250,B-CAMPO
126,campo,15748,15753,B-CAMPO
127,CPS-3A,15785,15791,B-POÇO
128,campo,15885,15890,B-CAMPO
129,CPS-2,15967,15972,B-POÇO
130,campo,16035,16040,B-CAMPO
131,conglomerados,16149,16162,B-ROCHA
132,Membro,16259,16265,B-UNIDADE_LITO
133,Carmópolis,16266,16276,I-UNIDADE_LITO
134,sedimentos,16289,16299,B-NÃOCONSOLID
135,CPS-1B,16331,16337,B-POÇO
136,campo,16433,16438,B-CAMPO
137,CPS-1B,16489,16495,B-POÇO
138,CPS-1A,16738,16744,B-POÇO
139,CPS-1B,16878,16884,B-POÇO
140,arenitos,17644,17652,B-ROCHA
141,poços,17725,17730,B-POÇO
142,campo,17734,17739,B-CAMPO
143,rocha,17799,17804,B-ROCHA
144,sedimentos,17872,17882,B-NÃOCONSOLID
145,Membro,17914,17920,B-UNIDADE_LITO
146,Carmópolis,17921,17931,I-UNIDADE_LITO
147,poços,17972,17977,B-POÇO
148,campo,18053,18058,B-CAMPO
149,sedimentos,18259,18269,B-NÃOCONSOLID
150,CPS-4,18289,18294,B-POÇO
151,campo,18343,18348,B-CAMPO
152,campo,18846,18851,B-CAMPO
153,CPS-3A,18883,18889,B-POÇO
154,campo,18983,18988,B-CAMPO
155,CPS-2,19065,19070,B-POÇO
156,campo,19133,19138,B-CAMPO
157,conglomerados,19247,19260,B-ROCHA
158,Membro,19357,19363,B-UNIDADE_LITO
159,Carmópolis,19364,19374,I-UNIDADE_LITO
160,sedimentos,19387,19397,B-NÃOCONSOLID
161,CPS-1B,19429,19435,B-POÇO
162,campo,19531,19536,B-CAMPO
163,CPS-1B,19587,19593,B-POÇO
164,CPS-1A,19836,19842,B-POÇO
165,CPS-1B,19976,19982,B-POÇO
166,Água,20154,20158,B-FLUIDODATERRA
167,poços,20234,20239,B-POÇO
168,campo,20256,20261,B-CAMPO
169,de,20262,20264,I-CAMPO
170,Carmópolis,20265,20275,I-CAMPO
171,campo,20353,20358,B-CAMPO
172,água,20392,20396,B-FLUIDODATERRA
173,poços,20483,20488,B-POÇO
174,poços,20620,20625,B-POÇO
175,poço,20663,20667,B-POÇO
176,poços,20747,20752,B-POÇO
177,poços,20801,20806,B-POÇO
178,injetores,20807,20816,B-POÇO
179,poços,20836,20841,B-POÇO
180,injetores,20842,20851,B-POÇO
181,poços,20856,20861,B-POÇO
182,água,20901,20905,B-FLUIDODATERRA
183,poços,21032,21037,B-POÇO
184,campo,21086,21091,B-CAMPO
185,poços,21175,21180,B-POÇO
186,poços,21220,21225,B-POÇO
187,campo,21260,21265,B-CAMPO
188,poços,21329,21334,B-POÇO
189,CP-1394,21335,21342,I-POÇO
190,CP-1395D,21344,21352,B-POÇO
191,CP-1396D,21355,21363,B-POÇO
192,poços,21438,21443,B-POÇO
193,água,21486,21490,B-FLUIDODATERRA
194,campo,21674,21679,B-CAMPO
195,de,21680,21682,I-CAMPO
196,Carmópolis,21683,21693,I-CAMPO
197,poços,22035,22040,B-POÇO
198,poços,22074,22079,B-POÇO
199,poços,22271,22276,B-POÇO
200,poços,22393,22398,B-POÇO
201,poços,22626,22631,B-POÇO
202,óleo,22724,22728,B-FLUIDODATERRA
203,poços,22767,22772,B-POÇO
204,água,22858,22862,B-FLUIDODATERRA
205,óleo,22881,22885,B-FLUIDODATERRA
206,campo,23397,23402,B-CAMPO
207,campo,23491,23496,B-CAMPO
208,campo,23759,23764,B-CAMPO
209,poços,23898,23903,B-POÇO
210,óleo,24312,24316,B-FLUIDODATERRA
211,poços,24477,24482,B-POÇO
212,poços,24628,24633,B-POÇO
213,poços-chave,24835,24846,B-POÇO
214,campo,24850,24855,B-CAMPO
215,poços,24920,24925,B-POÇO
216,campo,24944,24949,B-CAMPO
217,de,24950,24952,I-CAMPO
218,Carmópolis,24953,24963,I-CAMPO
219,poços,25009,25014,B-POÇO
220,poços,25102,25107,B-POÇO
221,poço,25869,25873,B-POÇO
222,rocha,25975,25980,B-ROCHA
223,hidrocarbonetos,26178,26193,B-FLUIDODATERRA
224,campo,27929,27934,B-CAMPO
225,de,27935,27937,I-CAMPO
226,Carmópolis,27938,27948,I-CAMPO
227,folhelhos,28364,28373,B-ROCHA
228,folhelhos,28565,28574,B-ROCHA
229,poços,30443,30448,B-POÇO
230,campo,30923,30928,B-CAMPO
231,de,30929,30931,I-CAMPO
232,Carmópolis,30932,30942,I-CAMPO
233,folhelhos,31358,31367,B-ROCHA
234,poços,32061,32066,B-POÇO
