,TEXT,START,END,LABEL
0,campos,118,124,B-CAMPO
1,de,125,127,I-CAMPO
2,Ca,128,130,I-CAMPO
3,mor,131,134,I-CAMPO
4,Saigo,155,160,B-CAMPO
5,campo,294,299,B-CAMPO
6,de,300,302,I-CAMPO
7,Car,303,306,I-CAMPO
8,mapolis,307,314,I-CAMPO
9,agua,381,385,B-FLUIDODATERRA
10,campo,389,394,B-CAMPO
11,campos,475,481,B-CAMPO
12,de,482,484,I-CAMPO
13,Pilar,485,490,I-CAMPO
14,Furado,502,508,B-CAMPO
15,campo,635,640,B-CAMPO
16,de,641,643,I-CAMPO
17,Furado,644,650,I-CAMPO
18,poços,1198,1203,B-POÇO
19,poços,1309,1314,B-POÇO
20,produtores,1315,1325,B-POÇO
21,poços,1723,1728,B-POÇO
22,poços,2961,2966,B-POÇO
23,poços,3124,3129,B-POÇO
24,poços,3282,3287,B-POÇO
25,poços,3482,3487,B-POÇO
26,CP-1161D,3488,3496,I-POÇO
27,CP-ii6aD,3499,3507,B-POÇO
28,poços,3575,3580,B-POÇO
29,poços,3695,3700,B-POÇO
30,141451,3701,3707,I-POÇO
31,CP-412@4,3780,3788,B-POÇO
32,campo,3928,3933,B-CAMPO
33,poços,3973,3978,B-POÇO
34,poços,4030,4035,B-POÇO
35,ados,4044,4048,B-POÇO
36,poço,4073,4077,B-POÇO
37,água,4168,4172,B-FLUIDODATERRA
38,poços,4304,4309,B-POÇO
39,água,4738,4742,B-FLUIDODATERRA
40,poços,4964,4969,B-POÇO
41,poço,5288,5292,B-POÇO
42,poço,5435,5439,B-POÇO
43,água,5489,5493,B-FLUIDODATERRA
44,poço,5784,5788,B-POÇO
45,poço,5876,5880,B-POÇO
46,água,6075,6079,B-FLUIDODATERRA
47,CPS,6301,6304,B-POÇO
48,3,6305,6306,I-POÇO
49,poços,6343,6348,B-POÇO
50,CP-241,6349,6355,I-POÇO
51,CP-687,6358,6364,B-POÇO
52,poços,6558,6563,B-POÇO
53,margs,6743,6748,B-ROCHA
54,campo,6892,6897,B-CAMPO
55,de,6898,6900,I-CAMPO
56,Siririzinho,6901,6912,I-CAMPO
57,areia,7254,7259,B-NÃOCONSOLID
58,poço,7347,7351,B-POÇO
59,poços,7511,7516,B-POÇO
60,SZ-i9,7517,7522,I-POÇO
61,bombas,7673,7679,B-NÃOCONSOLID
62,¢-BP-44,7680,7687,I-POÇO
63,poços,7736,7741,B-POÇO
64,SP-45,7742,7747,I-POÇO
65,poços,7937,7942,B-POÇO
66,poços,8178,8183,B-POÇO
67,agua,8259,8263,B-FLUIDODATERRA
68,campo,8527,8532,B-CAMPO
69,bombas,9344,9350,B-NÃOCONSOLID
70,PcP,9351,9354,B-POÇO
71,poços,9627,9632,B-POÇO
72,água,9646,9650,B-FLUIDODATERRA
73,agua,9669,9673,B-FLUIDODATERRA
74,campo,9738,9743,B-CAMPO
75,poço,10198,10202,B-POÇO
76,campo,10255,10260,B-CAMPO
77,óleo,10713,10717,B-FLUIDODATERRA
78,poços,10897,10902,B-POÇO
79,campo,11172,11177,B-CAMPO
80,PIR-494,11306,11313,B-POÇO
81,PIR-LGS,11441,11448,B-POÇO
82,poços,11493,11498,B-POÇO
83,PIR-33,11499,11505,I-POÇO
84,PIR-DO,11507,11513,B-POÇO
85,campo,11572,11577,B-CAMPO
86,poço,11645,11649,B-POÇO
87,poço,11742,11746,B-POÇO
88,poços,12014,12019,B-POÇO
89,poços,12085,12090,B-POÇO
90,poços,12218,12223,B-POÇO
91,campo,12227,12232,B-CAMPO
92,agus,12248,12252,B-FLUIDODATERRA
93,poços,12321,12326,B-POÇO
94,campo,12589,12594,B-CAMPO
95,campo,12785,12790,B-CAMPO
96,poços,12913,12918,B-POÇO
97,CM’s-22,12919,12926,I-POÇO
98,8S,12941,12943,B-POÇO
99,poços,13070,13075,B-POÇO
100,poco,13366,13370,B-POÇO
101,produtor,13371,13379,B-POÇO
102,Robalo,13383,13389,B-CAMPO
