,TEXT,START,END,LABEL
0,poço,76,80,B-POÇO
1,1-RD-2-AL,81,90,I-POÇO
2,poço,187,191,B-POÇO
3,gás,323,326,B-FLUIDODATERRA
4,poço,409,413,B-POÇO
5,Arenitos,816,824,B-ROCHA
6,rochas,1058,1064,B-ROCHA
7,graníticas,1065,1075,I-ROCHA
8,arcóseos,1170,1178,B-ROCHA
9,rocha,1763,1768,B-ROCHA
10,Anatásio,1770,1778,B-UNIDADE_CRONO
11,Arenitos,1874,1882,B-ROCHA
12,Arenitos,2072,2080,B-ROCHA
13,arenitos,2165,2173,B-ROCHA
14,arenitos,2283,2291,B-ROCHA
15,rochas,2325,2331,B-ROCHA
16,graníticas,2332,2342,I-ROCHA
17,ortoclásio,2344,2354,B-ROCHA
18,rocha,3527,3532,B-ROCHA
19,Arcóseos,3640,3648,B-ROCHA
20,rocha,4541,4546,B-ROCHA
21,rocha,5221,5226,B-ROCHA
22,Calcilutito,5283,5294,B-ROCHA
23,silte,5425,5430,B-NÃOCONSOLID
24,arenitos,5626,5634,B-ROCHA
25,arcóseos,6189,6197,B-ROCHA
26,folhelhos,6236,6245,B-ROCHA
27,calcilutitos,6248,6260,B-ROCHA
28,argilas,6823,6830,B-NÃOCONSOLID
29,siltes,6982,6988,B-NÃOCONSOLID
30,óleo,7570,7574,B-FLUIDODATERRA
31,água,7577,7581,B-FLUIDODATERRA
32,arcóseos,8648,8656,B-ROCHA
33,arenito,9007,9014,B-ROCHA
34,biotitas,9700,9708,B-ROCHA
35,Calcilutito,9956,9967,B-ROCHA
