,TEXT,START,END,LABEL
0,CPS-1....,737,746,B-POÇO
1,CPS-1,845,850,B-POÇO
2,CPS-1,1758,1763,B-POÇO
3,poços,1768,1773,B-POÇO
4,óleo,1788,1792,B-FLUIDODATERRA
5,água,1808,1812,B-FLUIDODATERRA
6,campo,1816,1821,B-CAMPO
7,de,1822,1824,I-CAMPO
8,Siririzinho,1825,1836,I-CAMPO
9,água,1887,1891,B-FLUIDODATERRA
10,CPS-1,1900,1905,B-POÇO
11,CPS-1,2033,2038,B-POÇO
12,óleo,2066,2070,B-FLUIDODATERRA
13,óleo,2128,2132,B-FLUIDODATERRA
14,agua,2164,2168,B-FLUIDODATERRA
15,CPS-1,2177,2182,B-POÇO
16,arenito,2193,2200,B-ROCHA
17,campo,2256,2261,B-CAMPO
18,CPS-1,2378,2383,B-POÇO
19,água,2416,2420,B-FLUIDODATERRA
20,CPS-1,2429,2434,B-POÇO
21,água,2496,2500,B-FLUIDODATERRA
22,óleo,2548,2552,B-FLUIDODATERRA
23,água,2736,2740,B-FLUIDODATERRA
24,CPS-1,2852,2857,B-POÇO
25,óleo,2889,2893,B-FLUIDODATERRA
26,óleo,3013,3017,B-FLUIDODATERRA
27,CPS-1,3060,3065,B-POÇO
28,água,3174,3178,B-FLUIDODATERRA
29,CPS-1,3187,3192,B-POÇO
30,campo,3196,3201,B-CAMPO
31,de,3202,3204,I-CAMPO
32,Sirizinho,3205,3214,I-CAMPO
33,CPS-1,3339,3344,B-POÇO
34,água,3352,3356,B-FLUIDODATERRA
35,CPS-1,3481,3486,B-POÇO
36,CPS-1,3668,3673,B-POÇO
37,óleo,3717,3721,B-FLUIDODATERRA
38,água,3776,3780,B-FLUIDODATERRA
39,óleo,3812,3816,B-FLUIDODATERRA
40,poços,3958,3963,B-POÇO
41,produtores,3964,3974,B-POÇO
42,óleo,4042,4046,B-FLUIDODATERRA
43,CPS-1,4093,4098,B-POÇO
44,óleo,4147,4151,B-FLUIDODATERRA
45,poços,4194,4199,B-POÇO
46,produtores,4200,4210,B-POÇO
47,CPS-1,4244,4249,B-POÇO
48,poços,4290,4295,B-POÇO
49,injetores,4296,4305,B-POÇO
50,CPS-1,4464,4469,B-POÇO
51,óleo,4911,4915,B-FLUIDODATERRA
52,gás,4918,4921,B-FLUIDODATERRA
53,gás,5057,5060,B-FLUIDODATERRA
54,poço,5093,5097,B-POÇO
55,injetor,5098,5105,B-POÇO
56,água,5145,5149,B-FLUIDODATERRA
57,CPS-1,5190,5195,B-POÇO
58,poço,5258,5262,B-POÇO
59,injetor,5263,5270,B-POÇO
60,água,5326,5330,B-FLUIDODATERRA
61,poço,5365,5369,B-POÇO
62,CPS-1,5453,5458,B-POÇO
63,campo,5496,5501,B-CAMPO
64,de,5502,5504,I-CAMPO
65,Siririzinho,5505,5516,I-CAMPO
66,óleo,5538,5542,B-FLUIDODATERRA
67,CPS-1,5644,5649,B-POÇO
68,poços,5700,5705,B-POÇO
69,óleo,5720,5724,B-FLUIDODATERRA
70,CPS-1,5786,5791,B-POÇO
71,CPS-1,5899,5904,B-POÇO
72,Campo,6006,6011,B-CAMPO
73,de,6012,6014,I-CAMPO
74,Siririzinho,6015,6026,I-CAMPO
75,Membro,6042,6048,B-UNIDADE_LITO
76,Carmópolis,6049,6059,I-UNIDADE_LITO
77,filitos,6086,6093,B-ROCHA
78,embasamento,6121,6132,B-UNIDADE_LITO
79,campo,6241,6246,B-CAMPO
80,Andar,6324,6329,B-UNIDADE_CRONO
81,Dom,6330,6333,I-UNIDADE_CRONO
82,João,6334,6338,I-UNIDADE_CRONO
83,Membro,6342,6348,B-UNIDADE_LITO
84,Carmópolis,6349,6359,I-UNIDADE_LITO
85,sedimentos,6371,6381,B-NÃOCONSOLID
86,formações,6386,6395,B-UNIDADE_LITO
87,Bananeiras,6396,6406,I-UNIDADE_LITO
88,Candeeiro,6409,6418,I-UNIDADE_LITO
89,Membro,6449,6455,B-UNIDADE_LITO
90,Carmópolis,6456,6466,I-UNIDADE_LITO
91,membros,6484,6491,B-UNIDADE_LITO
92,Ibura,6492,6497,I-UNIDADE_LITO
93,Oiteirinhos,6500,6511,I-UNIDADE_LITO
94,Formação,6523,6531,B-UNIDADE_LITO
95,Muribeca,6532,6540,I-UNIDADE_LITO
96,Membro,6544,6550,B-UNIDADE_LITO
97,Ibura,6551,6556,I-UNIDADE_LITO
98,halitas,6600,6607,B-ROCHA
99,folhelhos,6631,6640,B-ROCHA
100,gipsitas,6666,6674,B-ROCHA
101,anidritas,6676,6685,B-ROCHA
102,carnalitas,6699,6709,B-ROCHA
103,taquidritas,6711,6722,B-ROCHA
104,arenitos,6738,6746,B-ROCHA
105,Membro,6750,6756,B-UNIDADE_LITO
106,Oiteirinhos,6757,6768,I-UNIDADE_LITO
107,calcários,6782,6791,B-ROCHA
108,folhelhos,6794,6803,B-ROCHA
109,anidritas,6856,6865,B-ROCHA
110,arenitos,6868,6876,B-ROCHA
111,Formação,6930,6938,B-UNIDADE_LITO
112,Muribeca,6939,6947,I-UNIDADE_LITO
113,sedimentos,6966,6976,B-NÃOCONSOLID
114,Formação,6980,6988,B-UNIDADE_LITO
115,Riachuelo,6989,6998,I-UNIDADE_LITO
116,membros,7019,7026,B-UNIDADE_LITO
117,Angico,7027,7033,I-UNIDADE_LITO
118,conglomerados,7036,7049,B-ROCHA
119,arenitos,7052,7060,B-ROCHA
120,Maruim,7063,7069,I-UNIDADE_LITO
121,calcarenitos,7071,7083,B-ROCHA
122,Taquari,7087,7094,I-UNIDADE_LITO
123,calcilutitos,7096,7108,B-ROCHA
124,folhelhos,7111,7120,B-ROCHA
125,Formação,7137,7145,B-UNIDADE_LITO
126,Barreiras,7146,7155,I-UNIDADE_LITO
127,Formação,7219,7227,B-UNIDADE_LITO
128,Riachuelo,7228,7237,I-UNIDADE_LITO
129,Campo,7265,7270,B-CAMPO
130,de,7271,7273,I-CAMPO
131,Siririzinho,7274,7285,I-CAMPO
132,Campo,7444,7449,B-CAMPO
133,de,7450,7452,I-CAMPO
134,Castanhal,7453,7462,I-CAMPO
135,Campo,7481,7486,B-CAMPO
136,de,7487,7489,I-CAMPO
137,Siririzinho,7490,7501,I-CAMPO
138,Campo,7731,7736,B-CAMPO
139,de,7737,7739,I-CAMPO
140,Siririzinho,7740,7751,I-CAMPO
141,óleo,7925,7929,B-FLUIDODATERRA
142,gás,7935,7938,B-FLUIDODATERRA
143,folhelhos,8047,8056,B-ROCHA
144,Membro,8080,8086,B-UNIDADE_LITO
145,Ibura,8087,8092,I-UNIDADE_LITO
146,campo,8210,8215,B-CAMPO
147,CPS-1,8222,8227,B-POÇO
148,poços,8280,8285,B-POÇO
149,produtores,8286,8296,B-POÇO
150,injetores,8299,8308,B-POÇO
151,Membro,8366,8372,B-UNIDADE_LITO
152,Carmópolis,8373,8383,I-UNIDADE_LITO
153,CPS-1,8429,8434,B-POÇO
154,CPS-2,8436,8441,B-POÇO
155,CPS-3,8443,8448,B-POÇO
156,CPS-4,8451,8456,B-POÇO
157,folhelhos,8515,8524,B-ROCHA
158,CPS-4,8603,8608,B-POÇO
159,conglomerados,8635,8648,B-ROCHA
160,seixos,8667,8673,B-NÃOCONSOLID
161,rochas,8688,8694,B-ROCHA
162,metamórficas,8695,8707,I-ROCHA
163,folhelhos,8730,8739,B-ROCHA
164,siltitos,8742,8750,B-ROCHA
165,CPS-4,8900,8905,B-POÇO
166,conglomerados,8932,8945,B-ROCHA
167,seixos,8964,8970,B-NÃOCONSOLID
168,rochas,8985,8991,B-ROCHA
169,metamórficas,8992,9004,I-ROCHA
170,folhelhos,9026,9035,B-ROCHA
171,siltitos,9038,9046,B-ROCHA
172,CPS-3,9141,9146,B-POÇO
173,CPS-2,9149,9154,B-POÇO
174,arenitos,9176,9184,B-ROCHA
175,CPS-1,9328,9333,B-POÇO
176,arenitos,9359,9367,B-ROCHA
177,siltitos,9406,9414,B-ROCHA
178,folhelhos,9416,9425,B-ROCHA
179,campo,9504,9509,B-CAMPO
