,TEXT,START,END,LABEL
0,Embasamento,180,191,B-UNIDADE_LITO
1,poços,277,282,B-POÇO
2,bacia,494,499,B-BACIA
3,rochas,670,676,B-ROCHA
4,ígneas,677,683,I-ROCHA
5,Embasamento,761,772,B-UNIDADE_LITO
6,Bacia,794,799,B-BACIA
7,de,800,802,I-BACIA
8,Sergipe-Alagoas,803,818,I-BACIA
9,poços,1328,1333,B-POÇO
10,Embasamento,1507,1518,B-UNIDADE_LITO
11,Bacia,1522,1527,B-BACIA
12,de,1528,1530,I-BACIA
13,Sergipe,1531,1538,I-BACIA
14,bacia,1624,1629,B-BACIA
15,Grupos,1836,1842,B-UNIDADE_LITO
16,Estância,1843,1851,I-UNIDADE_LITO
17,Macururé,1873,1881,B-UNIDADE_LITO
18,poços,1978,1983,B-POÇO
19,Bacia,2138,2143,B-BACIA
20,de,2144,2146,I-BACIA
21,.,2146,2147,I-BACIA
22,Sergipe/Alagoas,2148,2163,I-BACIA
23,poços,2516,2521,B-POÇO
24,poços,2557,2562,B-POÇO
25,Embasamento,2580,2591,B-UNIDADE_LITO
26,bacia,2859,2864,B-BACIA
27,poço,2970,2974,B-POÇO
28,Embasamento,3017,3028,B-UNIDADE_LITO
29,poços,3121,3126,B-POÇO
30,desenvolvimento,3130,3145,B-POÇO
31,Campo,3175,3180,B-CAMPO
32,de,3181,3183,I-CAMPO
33,Carmópolis,3184,3194,I-CAMPO
34,poços,3210,3215,B-POÇO
35,pioneiro,3232,3240,B-POÇO
36,poço,3314,3318,B-POÇO
37,Campo,3647,3652,B-CAMPO
38,de,3653,3655,I-CAMPO
39,Carmópolis,3656,3666,I-CAMPO
40,ígnea,3876,3881,B-ROCHA
41,Embasamento,3958,3969,B-UNIDADE_LITO
42,Bacia,3983,3988,B-BACIA
43,Embasamento,4321,4332,B-UNIDADE_LITO
44,Areia,4627,4632,B-CAMPO
45,Metasubarcóseo,4649,4663,B-ROCHA
46,filito,4776,4782,B-ROCHA
47,agulhas,4878,4885,B-FLUIDODATERRA
48,quartzito,4958,4967,B-ROCHA
49,Grupo,5096,5101,B-UNIDADE_LITO
50,Estância,5102,5110,I-UNIDADE_LITO
51,Rocha,5199,5204,B-ROCHA
52,metamórfica,5205,5216,I-ROCHA
53,rocha,5501,5506,B-ROCHA
54,rocha,6148,6153,B-ROCHA
55,rocha,6288,6293,B-ROCHA
56,Grupo,6550,6555,B-UNIDADE_LITO
57,Macururé,6556,6564,I-UNIDADE_LITO
58,Filito,6573,6579,B-ROCHA
59,Rocha,6779,6784,B-ROCHA
60,Grupo,7076,7081,B-UNIDADE_LITO
61,Vaza-Barris,7082,7093,I-UNIDADE_LITO
62,poço,7432,7436,B-POÇO
63,1-LM-1-SE,7437,7446,I-POÇO
64,Rocha,7500,7505,B-ROCHA
65,rocha,7810,7815,B-ROCHA
66,Grupo,7986,7991,B-UNIDADE_LITO
67,Miaba-Vaza,7992,8002,I-UNIDADE_LITO
68,Barris,8003,8009,I-UNIDADE_LITO
69,Rocha,8162,8167,B-ROCHA
