,TEXT,START,END,LABEL
0,Poço,22,26,B-POÇO
1,7-ANB-1,27,34,I-POÇO
2,Sub-Bacia,43,52,B-BACIA
3,de,53,55,I-BACIA
4,Alagoas,56,63,I-BACIA
5,formação,198,206,B-UNIDADE_LITO
6,Coqueiro,207,215,I-UNIDADE_LITO
7,Seco,216,220,I-UNIDADE_LITO
8,poço,224,228,B-POÇO
9,7-ANB-001D-AL,229,242,I-POÇO
10,poço,495,499,B-POÇO
11,7-ANB-001D-AL,500,513,I-POÇO
12,Campo,548,553,B-CAMPO
13,de,554,556,I-CAMPO
14,Anambé,557,563,I-CAMPO
15,poço,881,885,B-POÇO
16,formações,900,909,B-UNIDADE_LITO
17,Barreiras,910,919,I-UNIDADE_LITO
18,Coqueiro,922,930,B-UNIDADE_LITO
19,Seco,931,935,I-UNIDADE_LITO
20,Formação,1254,1262,B-UNIDADE_LITO
21,Coqueiro,1263,1271,I-UNIDADE_LITO
22,Seco,1272,1276,I-UNIDADE_LITO
23,rocha,1511,1516,B-ROCHA
24,poço,1563,1567,B-POÇO
25,hidrocarbonetos,2074,2089,B-FLUIDODATERRA
26,argila,2693,2699,B-NÃOCONSOLID
27,sedimentos,3920,3930,B-NÃOCONSOLID
28,arenitos,4024,4032,B-ROCHA
29,arenitos,4134,4142,B-ROCHA
30,arenitos,4237,4245,B-ROCHA
31,rocha,4550,4555,B-ROCHA
32,arenitos,4741,4749,B-ROCHA
33,rochas,5034,5040,B-ROCHA
34,siltitos,5155,5163,B-ROCHA
35,rochas,5308,5314,B-ROCHA
36,sedimentos,5408,5418,B-NÃOCONSOLID
37,folhelhos,5486,5495,B-ROCHA
38,rochas,5713,5719,B-ROCHA
39,siltitos,5886,5894,B-ROCHA
40,folhelhos,5897,5906,B-ROCHA
41,rochas,6010,6016,B-ROCHA
42,Formação,6299,6307,B-UNIDADE_LITO
43,Coqueiro,6308,6316,I-UNIDADE_LITO
44,Seco,6317,6321,I-UNIDADE_LITO
45,7-ANB-1D-ID-AL,6336,6350,B-POÇO
46,Formação,6645,6653,B-UNIDADE_LITO
47,Coqueiro,6654,6662,I-UNIDADE_LITO
48,Seco,6663,6667,I-UNIDADE_LITO
49,pelitos,6814,6821,B-ROCHA
50,siltitos,6823,6831,B-ROCHA
51,folhelhos,6837,6846,B-ROCHA
52,argilas,6978,6985,B-NÃOCONSOLID
53,argila,7106,7112,B-NÃOCONSOLID
54,Formação,7590,7598,B-UNIDADE_LITO
55,Coqueiro,7599,7607,I-UNIDADE_LITO
56,Seco,7608,7612,I-UNIDADE_LITO
57,folhelho,7751,7759,B-ROCHA
58,siltito,7762,7769,B-ROCHA
59,arenito,7782,7789,B-ROCHA
60,arenito,7818,7825,B-ROCHA
61,argilas,9091,9098,B-NÃOCONSOLID
62,siltito-folhelho,10110,10126,B-ROCHA
63,arenito,10147,10154,B-ROCHA
64,arenito,10184,10191,B-ROCHA
65,Sistema,10696,10703,B-UNIDADE_CRONO
66,Deposicional,10704,10716,I-UNIDADE_CRONO
67,Formação,10720,10728,B-UNIDADE_LITO
68,Coqueiro,10729,10737,I-UNIDADE_LITO
69,Seco,10738,10742,I-UNIDADE_LITO
70,Membro,10883,10889,B-UNIDADE_LITO
71,Morro,10890,10895,I-UNIDADE_LITO
72,do,10896,10898,I-UNIDADE_LITO
73,Chaves,10899,10905,I-UNIDADE_LITO
74,Formação,11045,11053,B-UNIDADE_LITO
75,Coqueiro,11054,11062,I-UNIDADE_LITO
76,Seco,11063,11067,I-UNIDADE_LITO
77,arenitos,11182,11190,B-ROCHA
78,siltito,11470,11477,B-ROCHA
79,folhelhos,11483,11492,B-ROCHA
80,arenitos,11535,11543,B-ROCHA
81,arenitos,11716,11724,B-ROCHA
82,siltitos,11879,11887,B-ROCHA
83,folhelho,11893,11901,B-ROCHA
84,rocha,12301,12306,B-ROCHA
85,arenitos,12735,12743,B-ROCHA
86,Formação,12747,12755,B-UNIDADE_LITO
87,Coqueiro,12756,12764,I-UNIDADE_LITO
88,Seco,12765,12769,I-UNIDADE_LITO
89,poço,12787,12791,B-POÇO
90,7-ANB-ID-AL,12792,12803,I-POÇO
91,arenitos,12828,12836,B-ROCHA
92,arenitos,12942,12950,B-ROCHA
93,rocha,13029,13034,B-ROCHA
94,plutônica,13035,13044,I-ROCHA
95,rochas,13073,13079,B-ROCHA
96,sedimentares,13080,13092,I-ROCHA
97,ortoclásio,13212,13222,B-ROCHA
98,rocha,13832,13837,B-ROCHA
99,arenitos,16314,16322,B-ROCHA
100,arenitos,17461,17469,B-ROCHA
101,Formação,17473,17481,B-UNIDADE_LITO
102,Coqueiro,17482,17490,I-UNIDADE_LITO
103,Seco,17491,17495,I-UNIDADE_LITO
104,poço,17499,17503,B-POÇO
105,7-ANB-|D-AL,17504,17515,I-POÇO
106,poço,18721,18725,B-POÇO
107,7-ANB-ID-AL,18726,18737,I-POÇO
108,rocha,19274,19279,B-ROCHA
109,anatásio,19317,19325,B-UNIDADE_CRONO
110,rocha,20226,20231,B-ROCHA
111,anatásio,20269,20277,B-UNIDADE_CRONO
112,arenito,21441,21448,B-ROCHA
113,arenito,21596,21603,B-ROCHA
114,rochas,23954,23960,B-ROCHA
115,arenitos,25880,25888,B-ROCHA
116,siltitos,25923,25931,B-ROCHA
117,folhelhos,25934,25943,B-ROCHA
118,arenitos,25959,25967,B-ROCHA
119,arenitos,26020,26028,B-ROCHA
120,argilas,26141,26148,B-NÃOCONSOLID
121,siltito,26589,26596,B-ROCHA
122,folhelho,26599,26607,B-ROCHA
123,arenito,26630,26637,B-ROCHA
124,arenito,26667,26674,B-ROCHA
125,argila,27641,27647,B-NÃOCONSOLID
126,areia,27709,27714,B-NÃOCONSOLID
127,arenito,28140,28147,B-ROCHA
128,arenito,28182,28189,B-ROCHA
129,arenito,28224,28231,B-ROCHA
