,TEXT,START,END,LABEL
0,Campo,72,77,B-CAMPO
1,Sistema,142,149,B-UNIDADE_CRONO
2,Deposicional,150,162,I-UNIDADE_CRONO
3,rocha,203,208,B-ROCHA
4,Campo,330,335,B-CAMPO
5,Campo,502,507,B-CAMPO
6,Sistema,575,582,B-UNIDADE_CRONO
7,Deposicional,583,595,I-UNIDADE_CRONO
8,rocha,675,680,B-ROCHA
9,Campo,797,802,B-CAMPO
10,Campo,990,995,B-CAMPO
11,Brejo,1088,1093,B-CAMPO
12,Grande,1094,1100,I-CAMPO
13,Formacao,1136,1144,B-UNIDADE_LITO
14,Calumbi,1145,1152,I-UNIDADE_LITO
15,hidrocarbonetos,1196,1211,B-FLUIDODATERRA
16,arenitos,1254,1262,B-ROCHA
17,Formacao,1266,1274,B-UNIDADE_LITO
18,Calumbi,1275,1282,I-UNIDADE_LITO
19,poco,1347,1351,B-POÇO
20,hidrocarbonetos,1811,1826,B-FLUIDODATERRA
21,campo,2028,2033,B-CAMPO
22,campo,2038,2043,B-CAMPO
23,de,2044,2046,I-CAMPO
24,Brejo,2047,2052,I-CAMPO
25,Grande,2053,2059,I-CAMPO
26,Campo,2243,2248,B-CAMPO
27,Formacao,3071,3079,B-UNIDADE_LITO
28,Calumbi,3080,3087,I-UNIDADE_LITO
29,arenitos,3130,3138,B-ROCHA
30,campo,3338,3343,B-CAMPO
31,Campo,3618,3623,B-CAMPO
32,Campo,3733,3738,B-CAMPO
33,Campo,3819,3824,B-CAMPO
34,campo,4282,4287,B-CAMPO
35,Campo,4481,4486,B-CAMPO
36,campo,4537,4542,B-CAMPO
37,Arenitos,4709,4717,B-ROCHA
38,Campo,5261,5266,B-CAMPO
39,Sistema,5325,5332,B-UNIDADE_CRONO
40,Deposicional,5333,5345,I-UNIDADE_CRONO
41,pioneiro,5386,5394,B-POÇO
42,1-BRG-1,5395,5402,B-POÇO
43,Campo,5825,5830,B-CAMPO
44,de,5831,5833,I-CAMPO
45,Brejo,5834,5839,I-CAMPO
46,Grande,5840,5846,I-CAMPO
47,Formacao,5910,5918,B-UNIDADE_LITO
48,Calumbi,5919,5926,I-UNIDADE_LITO
49,Calumbi,6140,6147,I-UNIDADE_LITO
50,Campo,6197,6202,B-CAMPO
51,de,6203,6205,I-CAMPO
52,Brejo,6206,6211,I-CAMPO
53,Grande,6212,6218,I-CAMPO
54,poco,6295,6299,B-POÇO
55,Neocretaceo,6529,6540,B-UNIDADE_CRONO
56,sedimentos,6556,6566,B-NÃOCONSOLID
57,Formacao,6570,6578,B-UNIDADE_LITO
58,Calumbi,6579,6586,I-UNIDADE_LITO
59,Idade,6590,6595,B-UNIDADE_CRONO
60,Campaniana,6596,6606,I-UNIDADE_CRONO
61,Campaniano,6741,6751,B-UNIDADE_CRONO
62,Maastrichtiano,6764,6778,B-UNIDADE_CRONO
63,Brejo,6906,6911,B-CAMPO
64,Grande,6912,6918,I-CAMPO
65,pre-Maastrichtiana,6948,6966,B-UNIDADE_CRONO
66,rocha,7303,7308,B-ROCHA
67,rochas,7312,7318,B-ROCHA
68,arenitos,7348,7356,B-ROCHA
69,Campo,7669,7674,B-CAMPO
70,campo,7750,7755,B-CAMPO
71,BRG-17,7785,7791,B-POÇO
72,poco,8029,8033,B-POÇO
73,poco,8203,8207,B-POÇO
74,4-BRG-32-SE,8208,8219,I-POÇO
75,rocha,8529,8534,B-ROCHA
76,idade,8547,8552,B-UNIDADE_CRONO
77,aptiana,8553,8560,I-UNIDADE_CRONO
78,poco,8708,8712,B-POÇO
79,7-BRG-8D-SE,8713,8724,I-POÇO
80,Campo,8906,8911,B-CAMPO
81,de,8912,8914,I-CAMPO
82,Brejo,8915,8920,I-CAMPO
83,Grande,8921,8927,I-CAMPO
84,campo,9207,9212,B-CAMPO
85,areia,9252,9257,B-NÃOCONSOLID
86,campo,9306,9311,B-CAMPO
87,campo,9627,9632,B-CAMPO
88,poco,9680,9684,B-POÇO
89,Campo,9855,9860,B-CAMPO
90,gas,9910,9913,B-FLUIDODATERRA
91,poco,10058,10062,B-POÇO
92,gas,10136,10139,B-FLUIDODATERRA
93,Campo,10338,10343,B-CAMPO
94,de,10344,10346,I-CAMPO
95,Brejo,10347,10352,I-CAMPO
96,Grande,10353,10359,I-CAMPO
97,poco,10376,10380,B-POÇO
98,areia,10722,10727,B-NÃOCONSOLID
99,poco,10734,10738,B-POÇO
100,poco,10759,10763,B-POÇO
101,poco,10785,10789,B-POÇO
102,BRG-8D,10790,10796,I-POÇO
103,poco,10937,10941,B-POÇO
104,gas,10973,10976,B-FLUIDODATERRA
105,gas,11017,11020,B-FLUIDODATERRA
106,poco,11100,11104,B-POÇO
107,poco,11156,11160,B-POÇO
108,BRG-28,11161,11167,I-POÇO
109,areia,11902,11907,B-NÃOCONSOLID
110,poco,15098,15102,B-POÇO
111,poco,17014,17018,B-POÇO
112,campo,18791,18796,B-CAMPO
113,pocos,18923,18928,B-POÇO
114,gas,19196,19199,B-FLUIDODATERRA
115,poco,19268,19272,B-POÇO
116,poco,19386,19390,B-POÇO
117,poco,19592,19596,B-POÇO
118,poco,19832,19836,B-POÇO
119,gas,19868,19871,B-FLUIDODATERRA
120,gas,19905,19908,B-FLUIDODATERRA
121,poco,20838,20842,B-POÇO
122,BRG-32,20843,20849,I-POÇO
123,campo,21059,21064,B-CAMPO
124,campo,21705,21710,B-CAMPO
125,de,21711,21713,I-CAMPO
126,Brejo,21714,21719,I-CAMPO
127,Grande,21720,21726,I-CAMPO
128,Campo,22079,22084,B-CAMPO
129,passu,22085,22090,I-CAMPO
130,Formacao,22169,22177,B-UNIDADE_LITO
131,Calumbi,22178,22185,I-UNIDADE_LITO
132,pioneiro,22242,22250,B-POÇO
133,1-1,22251,22254,B-POÇO
134,P-02-SE,22255,22262,B-POÇO
135,Fm.,22307,22310,B-UNIDADE_LITO
136,Serraria,22311,22319,I-UNIDADE_LITO
137,arenitos,22355,22363,B-ROCHA
138,Formacao,22367,22375,B-UNIDADE_LITO
139,Calumbi,22376,22383,I-UNIDADE_LITO
140,p090S,22428,22433,B-POÇO
141,hidrocarbonetos,22534,22549,B-FLUIDODATERRA
142,poço,22614,22618,B-POÇO
143,poço,22621,22625,B-POÇO
144,campo,22630,22635,B-CAMPO
145,de,22636,22638,I-CAMPO
146,Ilha,22639,22643,I-CAMPO
147,Pequena,22644,22651,I-CAMPO
148,óleo,22704,22708,B-FLUIDODATERRA
149,gás,22710,22713,B-FLUIDODATERRA
150,Campo,22851,22856,B-CAMPO
151,Sao,22885,22888,B-CAMPO
152,campo,22925,22930,B-CAMPO
153,Arenitos,23092,23100,B-ROCHA
154,Campo,23638,23643,B-CAMPO
155,Sistema,23706,23713,B-UNIDADE_CRONO
156,Deposicional,23714,23726,I-UNIDADE_CRONO
157,Formacao,23763,23771,B-UNIDADE_LITO
158,Calumbi,23772,23779,I-UNIDADE_LITO
159,campan,24031,24037,B-UNIDADE_CRONO
160,arenitos,24047,24055,B-ROCHA
161,campo,24113,24118,B-CAMPO
162,de,24119,24121,I-CAMPO
163,IIha,24122,24126,I-CAMPO
164,Pequena,24127,24134,I-CAMPO
165,folhelhos,24154,24163,B-ROCHA
166,Formacao,24167,24175,B-UNIDADE_LITO
167,hidrocarbonetos,24419,24434,B-FLUIDODATERRA
168,Formacao,24584,24592,B-UNIDADE_LITO
169,Calumbi,24593,24600,I-UNIDADE_LITO
170,Formacao,24634,24642,B-UNIDADE_LITO
171,Calumbi,24643,24650,I-UNIDADE_LITO
172,folhelhos,24668,24677,B-ROCHA
173,hidrocarboneto,24901,24915,B-FLUIDODATERRA
174,rocha,25227,25232,B-ROCHA
175,arenitos,25370,25378,B-ROCHA
176,Campo,25703,25708,B-CAMPO
177,de,25709,25711,I-CAMPO
178,IIha,25712,25716,I-CAMPO
179,Pequena,25717,25724,I-CAMPO
180,Campo,25844,25849,B-CAMPO
181,de,25850,25852,I-CAMPO
182,Ilha,25853,25857,I-CAMPO
183,Pequena,25858,25865,I-CAMPO
184,campo,26075,26080,B-CAMPO
185,Campo,26124,26129,B-CAMPO
186,campo,26164,26169,B-CAMPO
187,poco,26216,26220,B-POÇO
188,IP-2,26221,26225,I-POÇO
189,poco,26258,26262,B-POÇO
190,IP-8,26263,26267,I-POÇO
191,IP-13,26373,26378,B-POÇO
192,IV-2,26381,26385,B-POÇO
193,campo,26423,26428,B-CAMPO
194,gas,26499,26502,B-FLUIDODATERRA
195,IP-12,26506,26511,B-POÇO
196,poco,26697,26701,B-POÇO
197,3-IP-06-SE,26702,26712,I-POÇO
198,poco,27300,27304,B-POÇO
199,IP-12,27305,27310,I-POÇO
200,poco,27747,27751,B-POÇO
201,poco,28046,28050,B-POÇO
202,campo,29230,29235,B-CAMPO
203,poco,30530,30534,B-POÇO
204,IP-04,30644,30649,B-POÇO
205,gas,30684,30687,B-FLUIDODATERRA
206,IP-09,30864,30869,B-POÇO
