,TEXT,START,END,LABEL
0,Campo,9,14,B-CAMPO
1,de,15,17,I-CAMPO
2,Pilar,18,23,I-CAMPO
3,Formação,100,108,B-UNIDADE_LITO
4,Coqueiro,109,117,I-UNIDADE_LITO
5,Seco,118,122,I-UNIDADE_LITO
6,campo,179,184,B-CAMPO
7,óleo,262,266,B-FLUIDODATERRA
8,óleo,354,358,B-FLUIDODATERRA
9,poços,445,450,B-POÇO
10,óleo,497,501,B-FLUIDODATERRA
11,gás,505,508,B-FLUIDODATERRA
12,água,581,585,B-FLUIDODATERRA
13,gás,591,594,B-FLUIDODATERRA
14,óleo,932,936,B-FLUIDODATERRA
15,óleo,1013,1017,B-FLUIDODATERRA
16,poços,1227,1232,B-POÇO
17,poços,1255,1260,B-POÇO
18,poços,1412,1417,B-POÇO
19,poços,1789,1794,B-POÇO
20,poços,1844,1849,B-POÇO
21,óleo,1931,1935,B-FLUIDODATERRA
22,Pilar,1970,1975,B-CAMPO
23,poços,2013,2018,B-POÇO
24,poços,2131,2136,B-POÇO
25,poços,2291,2296,B-POÇO
26,poços,2435,2440,B-POÇO
27,poços,2592,2597,B-POÇO
28,poço,2644,2648,B-POÇO
29,poços,2821,2826,B-POÇO
30,gás,2957,2960,B-FLUIDODATERRA
31,água,2963,2967,B-FLUIDODATERRA
32,gás,3081,3084,B-FLUIDODATERRA
33,gás,3099,3102,B-FLUIDODATERRA
34,óleo,3229,3233,B-FLUIDODATERRA
35,poços,3540,3545,B-POÇO
36,poços,3565,3570,B-POÇO
37,poços,3637,3642,B-POÇO
38,Poço,3785,3789,B-POÇO
39,7-PIR-10-AL,3791,3802,B-POÇO
40,Poço,3806,3810,B-POÇO
41,7-PIR-17-AL,3812,3823,B-POÇO
42,poços,4031,4036,B-POÇO
43,poços,4273,4278,B-POÇO
44,poços,4340,4345,B-POÇO
45,óleo,4424,4428,B-FLUIDODATERRA
46,poços,4720,4725,B-POÇO
47,poços,4932,4937,B-POÇO
48,poços,5012,5017,B-POÇO
49,óleo,5095,5099,B-FLUIDODATERRA
50,óleo,5113,5117,B-FLUIDODATERRA
51,poços,5252,5257,B-POÇO
52,poços,5380,5385,B-POÇO
53,poços,5550,5555,B-POÇO
54,Poço,5565,5569,B-POÇO
55,7-PIR-23-AL,5571,5582,B-POÇO
56,poço,5786,5790,B-POÇO
57,Poço,5962,5966,B-POÇO
58,7-PIR-32-AL,5968,5979,B-POÇO
59,CSO-9F,6039,6045,B-POÇO
60,campo,6117,6122,B-CAMPO
61,de,6123,6125,I-CAMPO
62,Pilar,6126,6131,I-CAMPO
63,PIR-32,6155,6161,B-POÇO
64,poço,6242,6246,B-POÇO
65,Poço,6430,6434,B-POÇO
66,7-PIR-65-AL,6436,6447,B-POÇO
67,Poço,6485,6489,B-POÇO
68,7-PIR-76-AL,6491,6502,B-POÇO
69,Poço,6511,6515,B-POÇO
70,7-PIR-83-AL,6517,6528,B-POÇO
71,poço,6983,6987,B-POÇO
72,óleo,7040,7044,B-FLUIDODATERRA
73,Poço,7075,7079,B-POÇO
74,7-PIR-92-AL,7081,7092,B-POÇO
75,Poço,7101,7105,B-POÇO
76,7-PIR-112-AL,7107,7119,B-POÇO
77,7-PIR-13-AL,7162,7173,B-POÇO
78,7-PIR-17-AL,7216,7227,B-POÇO
79,7-PIR-24-AL,7270,7281,B-POÇO
80,7-PIR-33-AL,7295,7306,B-POÇO
81,campo,7470,7475,B-CAMPO
82,de,7476,7478,I-CAMPO
