,TEXT,START,END,LABEL
0,FORMAÇÃO,143,151,B-UNIDADE_LITO
1,FORMAÇÃO,180,188,B-UNIDADE_LITO
2,Campo,796,801,B-CAMPO
3,de,802,804,I-CAMPO
4,Pilar,805,810,I-CAMPO
5,campo,828,833,B-CAMPO
6,de,834,836,I-CAMPO
7,Pilar,837,842,I-CAMPO
8,poço,886,890,B-POÇO
9,1-PIR-1-AL,891,901,I-POÇO
10,gás,918,921,B-FLUIDODATERRA
11,Arenito,925,932,B-ROCHA
12,Pilar,933,938,I-ROCHA
13,Formação,944,952,B-UNIDADE_LITO
14,Penedo,953,959,I-UNIDADE_LITO
15,3-PIR-2-AL,966,976,B-POÇO
16,óleo,993,997,B-FLUIDODATERRA
17,formação,1001,1009,B-UNIDADE_LITO
18,Coqueiro,1010,1018,I-UNIDADE_LITO
19,Seco,1019,1023,I-UNIDADE_LITO
20,campo,1129,1134,B-CAMPO
21,Rio,1145,1148,B-CAMPO
22,Remédio,1149,1156,I-CAMPO
23,1-RSA-1-AL,1193,1203,B-POÇO
24,1-RV-1D-AL,1232,1242,B-POÇO
25,campo,1273,1278,B-CAMPO
26,poços,1305,1310,B-POÇO
27,poços,1327,1332,B-POÇO
28,poços,1360,1365,B-POÇO
29,poços,1399,1404,B-POÇO
30,água,1502,1506,B-FLUIDODATERRA
31,gás,1512,1515,B-FLUIDODATERRA
32,água,1592,1596,B-FLUIDODATERRA
33,água,1618,1622,B-FLUIDODATERRA
34,campo,1737,1742,B-CAMPO
35,campo,1889,1894,B-CAMPO
36,campo,1950,1955,B-CAMPO
37,de,1956,1958,I-CAMPO
38,Pilar,1959,1964,I-CAMPO
39,óleo,2111,2115,B-FLUIDODATERRA
40,gás,2140,2143,B-FLUIDODATERRA
41,gás,2147,2150,B-FLUIDODATERRA
42,água,2224,2228,B-FLUIDODATERRA
43,óleo,2538,2542,B-FLUIDODATERRA
44,poços,2547,2552,B-POÇO
45,produtores,2553,2563,B-POÇO
46,gás,2586,2589,B-FLUIDODATERRA
47,gás,2615,2618,B-FLUIDODATERRA
48,associado,2619,2628,I-FLUIDODATERRA
49,poços,2660,2665,B-POÇO
50,água,2683,2687,B-FLUIDODATERRA
51,água,2715,2719,B-FLUIDODATERRA
52,poços,2741,2746,B-POÇO
53,injetores,2747,2756,B-POÇO
54,gás,2773,2776,B-FLUIDODATERRA
55,poços,2807,2812,B-POÇO
56,campo,2852,2857,B-CAMPO
57,poços,3127,3132,B-POÇO
58,óleo,3207,3211,B-FLUIDODATERRA
59,gás,3433,3436,B-FLUIDODATERRA
60,natural,3437,3444,I-FLUIDODATERRA
