,TEXT,START,END,LABEL
0,poços,394,399,B-POÇO
1,RO-39,400,405,I-POÇO
2,óleo,502,506,B-FLUIDODATERRA
3,água,727,731,B-FLUIDODATERRA
4,campo,986,991,B-CAMPO
5,poços,1077,1082,B-POÇO
6,poços,1126,1131,B-POÇO
7,campo,1230,1235,B-CAMPO
8,poço,1279,1283,B-POÇO
9,RO-15,1284,1289,I-POÇO
10,hidrocarbonetos,1316,1331,B-FLUIDODATERRA
11,Formação,1335,1343,B-UNIDADE_LITO
12,Angico,1344,1350,I-UNIDADE_LITO
13,poço,1354,1358,B-POÇO
14,gás,1368,1371,B-FLUIDODATERRA
15,água,1374,1378,B-FLUIDODATERRA
16,Poços,1435,1440,B-POÇO
17,Poços,1522,1527,B-POÇO
18,óleo,1542,1546,B-FLUIDODATERRA
19,Poço,1747,1751,B-POÇO
20,RO-197,1752,1758,I-POÇO
21,água,1802,1806,B-FLUIDODATERRA
22,óleo,1870,1874,B-FLUIDODATERRA
23,Poço,2092,2096,B-POÇO
24,RO-197,2097,2103,I-POÇO
25,água,2147,2151,B-FLUIDODATERRA
26,água,2206,2210,B-FLUIDODATERRA
27,óleo,2215,2219,B-FLUIDODATERRA
28,Poço,2398,2402,B-POÇO
29,RO-34,2403,2408,I-POÇO
30,óleo,2422,2426,B-FLUIDODATERRA
31,Poço,2776,2780,B-POÇO
32,RO-19,2781,2786,I-POÇO
33,óleo,2800,2804,B-FLUIDODATERRA
34,Poço,2905,2909,B-POÇO
35,RO-39,2910,2915,I-POÇO
36,óleo,2968,2972,B-FLUIDODATERRA
37,Poço,3074,3078,B-POÇO
38,RO-164,3079,3085,I-POÇO
39,óleo,3413,3417,B-FLUIDODATERRA
40,água,3631,3635,B-FLUIDODATERRA
41,Poço,3637,3641,B-POÇO
42,RO-400,3642,3648,I-POÇO
43,óleo,3663,3667,B-FLUIDODATERRA
44,óleo,3706,3710,B-FLUIDODATERRA
45,águas,4218,4223,B-FLUIDODATERRA
46,poço,4682,4686,B-POÇO
47,óleo,4726,4730,B-FLUIDODATERRA
48,óleo,4822,4826,B-FLUIDODATERRA
49,gás,4832,4835,B-FLUIDODATERRA
50,areia,4884,4889,B-NÃOCONSOLID
51,areia,4900,4905,B-NÃOCONSOLID
52,folhelho,4952,4960,B-ROCHA
53,poços,5245,5250,B-POÇO
54,poços,5301,5306,B-POÇO
55,folhelho,5357,5365,B-ROCHA
56,areia,5490,5495,B-NÃOCONSOLID
57,rochas,5512,5518,B-ROCHA
58,rochas,5526,5532,B-ROCHA
59,Membro,5551,5557,B-UNIDADE_LITO
60,Maruim,5558,5564,I-UNIDADE_LITO
61,óleo,5737,5741,B-FLUIDODATERRA
62,poço,5874,5878,B-POÇO
63,produtor,5879,5887,B-POÇO
64,RO-52,5888,5893,I-POÇO
65,óleo,5917,5921,B-FLUIDODATERRA
66,poços,5936,5941,B-POÇO
67,águas,6141,6146,B-FLUIDODATERRA
68,águas,6582,6587,B-FLUIDODATERRA
69,óleo,6635,6639,B-FLUIDODATERRA
70,óleo,6768,6772,B-FLUIDODATERRA
71,poços,7064,7069,B-POÇO
72,poço,7221,7225,B-POÇO
73,rocha,7359,7364,B-ROCHA
74,óleo,7430,7434,B-FLUIDODATERRA
75,óleo,7585,7589,B-FLUIDODATERRA
76,água,7705,7709,B-FLUIDODATERRA
77,óleo,7735,7739,B-FLUIDODATERRA
78,óleo,7762,7766,B-FLUIDODATERRA
79,água,7770,7774,B-FLUIDODATERRA
80,poços,7968,7973,B-POÇO
81,poços,8000,8005,B-POÇO
82,óleo,8068,8072,B-FLUIDODATERRA
83,poço,8084,8088,B-POÇO
84,folhelho,8157,8165,B-ROCHA
85,óleo,8251,8255,B-FLUIDODATERRA
86,poços,8272,8277,B-POÇO
87,poços,8436,8441,B-POÇO
88,poços,8518,8523,B-POÇO
89,poço,8568,8572,B-POÇO
90,rocha,8598,8603,B-ROCHA
