,TEXT,START,END,LABEL
0,Campo,56,61,B-CAMPO
1,de,62,64,I-CAMPO
2,Salgo,65,70,I-CAMPO
3,poço,119,123,B-POÇO
4,1-SES-83,124,132,I-POÇO
5,Robalo,174,180,B-CAMPO
6,arenitos,249,257,B-ROCHA
7,formação,274,282,B-UNIDADE_LITO
8,Calumbi,283,290,I-UNIDADE_LITO
9,poços,351,356,B-POÇO
10,descobridor,366,377,B-POÇO
11,SES-83,379,385,B-POÇO
12,seco,442,446,B-POÇO
13,óleo,480,484,B-FLUIDODATERRA
14,poços,523,528,B-POÇO
15,óleo,564,568,B-FLUIDODATERRA
16,poço,754,758,B-POÇO
17,SG-02,759,764,I-POÇO
18,SES-83,877,883,B-POÇO
19,campo,927,932,B-CAMPO
20,Campo,1074,1079,B-CAMPO
21,de,1080,1082,I-CAMPO
22,Salgo,1083,1088,I-CAMPO
23,cretácio,1235,1243,B-UNIDADE_CRONO
24,superior,1244,1252,I-UNIDADE_CRONO
25,cretácico,1292,1301,B-UNIDADE_CRONO
26,arenitos,1421,1429,B-ROCHA
27,Formação,1433,1441,B-UNIDADE_LITO
28,Calumbi,1442,1449,I-UNIDADE_LITO
29,arenitos,1695,1703,B-ROCHA
30,rocha,1824,1829,B-ROCHA
31,óleo,1959,1963,B-FLUIDODATERRA
32,Formação,2145,2153,B-UNIDADE_LITO
33,Calumbi,2154,2161,I-UNIDADE_LITO
34,óleo,2269,2273,B-FLUIDODATERRA
35,Formação,2299,2307,B-UNIDADE_LITO
36,Calumbi,2308,2315,I-UNIDADE_LITO
37,folhelhos,2586,2595,B-ROCHA
38,siltitos,2598,2606,B-ROCHA
39,Formação,2690,2698,B-UNIDADE_LITO
40,Calumbi,2699,2706,I-UNIDADE_LITO
41,óleo,2831,2835,B-FLUIDODATERRA
42,poço,3006,3010,B-POÇO
43,SG-02-SES,3011,3020,I-POÇO
44,Rocha,3041,3046,B-ROCHA
45,poços,3085,3090,B-POÇO
46,campo,3094,3099,B-CAMPO
47,de,3100,3102,I-CAMPO
48,Salgo,3103,3108,I-CAMPO
49,poço,3206,3210,B-POÇO
50,pioneiro,3211,3219,B-POÇO
51,rocha,3329,3334,B-ROCHA
52,poços,3389,3394,B-POÇO
53,campo,3419,3424,B-CAMPO
54,de,3425,3427,I-CAMPO
55,Salgo,3428,3433,I-CAMPO
56,campos,3506,3512,B-CAMPO
57,Bacia,3516,3521,B-BACIA
58,Sergipe-Alagoas,3522,3537,I-BACIA
59,óleo,3552,3556,B-FLUIDODATERRA
60,Formação,3560,3568,B-UNIDADE_LITO
61,Calumbi,3569,3576,I-UNIDADE_LITO
62,rocha,3691,3696,B-ROCHA
63,água,3785,3789,B-FLUIDODATERRA
64,água,4085,4089,B-FLUIDODATERRA
65,campo,4203,4208,B-CAMPO
66,poço,4232,4236,B-POÇO
67,SES-83,4237,4243,I-POÇO
68,Campo,4327,4332,B-CAMPO
69,de,4333,4335,I-CAMPO
70,Salgo,4336,4341,I-CAMPO
71,poço,4394,4398,B-POÇO
72,SG-02-SES,4399,4408,I-POÇO
73,campo,4644,4649,B-CAMPO
74,óleo,4781,4785,B-FLUIDODATERRA
75,poços,4903,4908,B-POÇO
76,poços,5023,5028,B-POÇO
77,poços,5174,5179,B-POÇO
78,campo,5443,5448,B-CAMPO
79,campo,5731,5736,B-CAMPO
80,campo,5805,5810,B-CAMPO
81,poços,5853,5858,B-POÇO
82,água,5983,5987,B-FLUIDODATERRA
83,campo,6116,6121,B-CAMPO
84,campo,6260,6265,B-CAMPO
85,poço,6388,6392,B-POÇO
86,SG-02,6393,6398,I-POÇO
87,campo,6476,6481,B-CAMPO
88,poço,6796,6800,B-POÇO
89,poço,6879,6883,B-POÇO
90,água,7103,7107,I-POÇO
91,poço,7212,7216,B-POÇO
92,campo,7254,7259,B-CAMPO
93,poço,7329,7333,B-POÇO
94,poço,7613,7617,B-POÇO
95,gás,7760,7763,B-FLUIDODATERRA
96,poço,7882,7886,B-POÇO
97,Campo,8580,8585,B-CAMPO
98,de,8586,8588,I-CAMPO
99,Salgo,8589,8594,I-CAMPO
100,poço,8645,8649,B-POÇO
101,pioneiro,8650,8658,B-POÇO
102,SES-83,8660,8666,B-POÇO
103,poços,8679,8684,B-POÇO
104,poços,8900,8905,B-POÇO
105,Campo,8935,8940,B-CAMPO
106,de,8941,8943,I-CAMPO
107,Salgo,8944,8949,I-CAMPO
108,poços,9108,9113,B-POÇO
109,pioneiros,9114,9123,B-POÇO
110,SES-83,9124,9130,B-POÇO
111,SES-92,9133,9139,B-POÇO
112,poços,9341,9346,B-POÇO
113,SG-01,9347,9352,I-POÇO
114,SG-02,9355,9360,B-POÇO
115,poço,9470,9474,B-POÇO
116,SES-83,9475,9481,I-POÇO
117,SG-02,9520,9525,B-POÇO
118,campo,9583,9588,B-CAMPO
119,poços,9606,9611,B-POÇO
120,poço,9646,9650,B-POÇO
121,SG-03A,9651,9657,I-POÇO
122,SES-83,9668,9674,B-POÇO
123,poco,9732,9736,B-POÇO
124,campo,9861,9866,B-CAMPO
125,poços,10092,10097,B-POÇO
126,SES-83/SG-03A,10098,10111,I-POÇO
127,água,10175,10179,B-FLUIDODATERRA
128,óleo,10328,10332,B-FLUIDODATERRA
129,poços,10490,10495,B-POÇO
130,água,10596,10600,B-FLUIDODATERRA
131,poço,10604,10608,B-POÇO
132,SG-02,10609,10614,I-POÇO
133,óleo,10779,10783,B-FLUIDODATERRA
134,Campo,11155,11160,B-CAMPO
135,de,11161,11163,I-CAMPO
136,Salgo,11164,11169,I-CAMPO
137,água,11355,11359,B-FLUIDODATERRA
138,poço,11363,11367,B-POÇO
139,SG-02,11368,11373,I-POÇO
140,poço,11439,11443,B-POÇO
141,poços,11539,11544,B-POÇO
142,óleo,11609,11613,B-FLUIDODATERRA
143,poço,11678,11682,B-POÇO
144,SG-03A,11683,11689,I-POÇO
145,gás,11730,11733,B-FLUIDODATERRA
146,óleo,11770,11774,B-FLUIDODATERRA
147,água,11815,11819,B-FLUIDODATERRA
148,poco,11927,11931,B-POÇO
149,Campo,11993,11998,B-CAMPO
150,de,11999,12001,I-CAMPO
151,Salgo,12002,12007,I-CAMPO
152,Campo,12119,12124,B-CAMPO
153,de,12125,12127,I-CAMPO
154,Robalo,12128,12134,I-CAMPO
155,óleo,12375,12379,B-FLUIDODATERRA
156,gás,12382,12385,B-FLUIDODATERRA
157,óleo,12704,12708,B-FLUIDODATERRA
158,campo,12712,12717,B-CAMPO
159,poço,13085,13089,B-POÇO
