,TEXT,START,END,LABEL
0,Campos,116,122,B-BACIA
1,de,168,170,I-CAMPO
2,Carmópolis,171,181,I-CAMPO
3,Caioba,183,189,B-CAMPO
4,Campo,288,293,B-CAMPO
5,Campo,379,384,B-CAMPO
6,óleo,576,580,B-FLUIDODATERRA
7,Campos,679,685,B-CAMPO
8,gas,854,857,B-FLUIDODATERRA
9,natural,858,865,I-FLUIDODATERRA
10,Carmopolis,1001,1011,B-CAMPO
11,bombas,1309,1315,B-NÃOCONSOLID
12,Carmopolis,1482,1492,B-CAMPO
13,bombas,1790,1796,B-NÃOCONSOLID
14,Campo,1942,1947,B-CAMPO
15,de,1948,1950,I-CAMPO
16,Siririzinho,1951,1962,I-CAMPO
17,bombas,2176,2182,B-NÃOCONSOLID
18,Campo,2296,2301,B-CAMPO
19,de,2302,2304,I-CAMPO
20,Riachuelo,2305,2314,I-CAMPO
21,poços,2539,2544,B-POÇO
22,Campo,2634,2639,B-CAMPO
23,do,2640,2642,I-CAMPO
24,Furado,2643,2649,I-CAMPO
25,poço,2726,2730,B-POÇO
26,FU-29,2731,2736,I-POÇO
27,poços,2796,2801,B-POÇO
28,Siririzinho,3055,3066,B-CAMPO
29,poços,3071,3076,B-POÇO
30,Brejo,3152,3157,B-CAMPO
31,Grande,3158,3164,I-CAMPO
32,Furado,3177,3183,B-CAMPO
33,Tabuleiro,3185,3194,B-CAMPO
34,poços,3230,3235,B-POÇO
35,Guaricema,3302,3311,B-BACIA
36,poços,3467,3472,B-POÇO
37,Campo,3611,3616,B-CAMPO
38,do,3617,3619,I-CAMPO
39,Furado,3620,3626,I-CAMPO
40,poço,3703,3707,B-POÇO
41,FU-29,3708,3713,I-POÇO
42,poços,3773,3778,B-POÇO
43,poços,4049,4054,B-POÇO
44,de,4116,4118,I-CAMPO
45,Brejo,4131,4136,B-CAMPO
46,Grande,4137,4143,I-CAMPO
47,Furado,4156,4162,B-CAMPO
48,Tabuleiro,4164,4173,B-CAMPO
49,-,4178,4179,I-CAMPO
50,Martins,4180,4187,I-CAMPO
51,poços,4209,4214,B-POÇO
52,Guaricema,4281,4290,B-BACIA
53,poços,4446,4451,B-POÇO
54,Campo,4509,4514,B-CAMPO
55,de,4515,4517,I-CAMPO
56,Caioba,4518,4524,I-CAMPO
57,poço,4645,4649,B-POÇO
58,Caioba,4707,4713,B-NÃOCONSOLID
59,poco,4809,4813,B-POÇO
60,CB-15,4814,4819,I-POÇO
61,poço,4966,4970,B-POÇO
62,Caioba,5026,5032,B-CAMPO
63,poço,5128,5132,B-POÇO
64,CB-15,5133,5138,I-POÇO
65,Campo,5253,5258,B-CAMPO
66,de,5259,5261,I-CAMPO
67,Camorim,5262,5269,I-CAMPO
68,Siririzinho,5379,5390,B-CAMPO
69,Brejo,5415,5420,B-CAMPO
70,Grande,5421,5427,I-CAMPO
71,Tabuleiro,5486,5495,B-CAMPO
72,Sao,5523,5526,B-CAMPO
73,Miguel,5527,5533,I-CAMPO
74,dos,5534,5537,I-CAMPO
75,Guaricema,5551,5560,B-CAMPO
76,Camorim,5581,5588,B-CAMPO
77,bomba,5752,5757,B-NÃOCONSOLID
78,bomba,5910,5915,B-NÃOCONSOLID
79,bomba,6839,6844,B-NÃOCONSOLID
80,bombas,6888,6894,B-NÃOCONSOLID
81,poços,7034,7039,B-POÇO
82,CP-11,7041,7046,B-POÇO
83,CP-113,7074,7080,B-POÇO
84,CP-116,7096,7102,B-POÇO
85,CP-144,7118,7124,B-POÇO
86,CP-212,7152,7158,B-POÇO
87,CPB-IA,7186,7192,B-POÇO
88,poços,7212,7217,B-POÇO
89,CP-247,7280,7286,B-POÇO
90,CP-248,7288,7294,B-POÇO
91,CP-250,7296,7302,B-POÇO
92,CP-265,7304,7310,B-POÇO
93,CP-280,7344,7350,B-POÇO
94,bomba,7492,7497,B-NÃOCONSOLID
95,poços,7545,7550,B-POÇO
96,CP-257,7552,7558,B-POÇO
97,CP-259,7560,7566,B-POÇO
98,CP-263,7568,7574,B-POÇO
99,CP-264,7576,7582,B-POÇO
100,CP-266,7584,7590,B-POÇO
101,CP-267,7592,7598,B-POÇO
102,CP-268,7600,7606,B-POÇO
103,CP-269,7608,7614,B-POÇO
104,CP-271,7617,7623,B-POÇO
105,CP-165,7642,7648,B-POÇO
106,poços,7667,7672,B-POÇO
107,CP-27,7673,7678,I-POÇO
108,CP-125,7680,7686,B-POÇO
109,CP-143,7688,7694,B-POÇO
110,CP-167,7697,7703,B-POÇO
111,poços,7721,7726,B-POÇO
112,CP-73,7727,7732,I-POÇO
113,CP-78,7734,7739,B-POÇO
114,CP-122,7742,7748,B-POÇO
115,poços,7775,7780,B-POÇO
116,CP-1,7781,7785,I-POÇO
117,CP-2,7787,7791,B-POÇO
118,CP-38,7793,7798,B-POÇO
119,CP-58,7800,7805,B-POÇO
120,CP-70,7807,7812,B-POÇO
121,CP-82,7814,7819,B-POÇO
122,CP-84,7821,7826,B-POÇO
123,CP-85,7828,7833,B-POÇO
124,CP-109,7835,7841,B-POÇO
125,CP-175,7843,7849,B-POÇO
126,CP-204,7851,7857,B-POÇO
127,CP-224,7875,7881,B-POÇO
128,CP-232,7883,7889,B-POÇO
129,CP-233,7892,7898,B-POÇO
130,poços,7938,7943,B-POÇO
131,Poções,8036,8042,B-POÇO
132,Campo,8331,8336,B-CAMPO
133,poços,8390,8395,B-POÇO
134,Car,8399,8402,B-CAMPO
135,mopolis,8403,8410,I-CAMPO
136,poços,8607,8612,B-POÇO
137,CP-10,8614,8619,B-POÇO
138,CP-1l,8621,8626,B-POÇO
139,CP-13,8628,8633,B-POÇO
140,CP-23,8635,8640,B-POÇO
141,CP-96,8642,8647,B-POÇO
142,CP-101,8649,8655,B-POÇO
143,CP-111,8657,8663,B-POÇO
144,CP-144,8665,8671,B-POÇO
145,CP-147,8673,8679,B-POÇO
146,CP-154,8681,8687,B-POÇO
147,CP-181,8689,8695,B-POÇO
148,CP-212,8697,8703,B-POÇO
149,CP-252,8705,8711,B-POÇO
150,poços,8778,8783,B-POÇO
151,CP-90,8784,8789,I-POÇO
152,CP-169,8791,8797,B-POÇO
153,CP-176,8799,8805,B-POÇO
154,CP-224,8808,8814,B-POÇO
155,CP-234,8816,8822,B-POÇO
156,CP-241,8824,8830,B-POÇO
157,CP-251,8832,8838,B-POÇO
158,CP-253,8840,8846,B-POÇO
159,CP-254,8848,8854,B-POÇO
160,CP-255,8856,8862,B-POÇO
161,CP-260,8864,8870,B-POÇO
162,bombas,8906,8912,B-NÃOCONSOLID
163,poços,9179,9184,B-POÇO
164,bombas,9298,9304,B-NÃOCONSOLID
165,Campo,9419,9424,B-CAMPO
166,de,9425,9427,I-CAMPO
167,Siririzinho,9428,9439,I-CAMPO
168,bombas,9777,9783,B-NÃOCONSOLID
169,poços,10098,10103,B-POÇO
170,poços,10195,10200,B-POÇO
171,Campo,10204,10209,B-CAMPO
172,bomba,10271,10276,B-NÃOCONSOLID
173,poços,10324,10329,B-POÇO
174,SZ-141,10330,10336,I-POÇO
175,poços,10418,10423,B-POÇO
176,SZ-17,10424,10429,I-POÇO
177,óleo,10546,10550,B-FLUIDODATERRA
178,Campo,10692,10697,B-CAMPO
179,po,11490,11492,B-POÇO
180,ços,11493,11496,B-POÇO
181,RO-92,11497,11502,I-POÇO
182,poços,11586,11591,B-POÇO
183,ROX-1,11592,11597,I-POÇO
184,Brejo,11714,11719,B-CAMPO
185,poco,11880,11884,B-POÇO
186,PDM-5-SE,11885,11893,I-POÇO
187,Brejo,12028,12033,B-CAMPO
188,Grande,12034,12040,I-CAMPO
189,poços,12082,12087,B-POÇO
190,areia,12136,12141,B-NÃOCONSOLID
191,gas,12251,12254,B-FLUIDODATERRA
192,natural,12255,12262,I-FLUIDODATERRA
193,óleo,12410,12414,B-FLUIDODATERRA
194,poço,12784,12788,B-POÇO
195,7-FU-29-A1,12789,12799,I-POÇO
196,poços,12868,12873,B-POÇO
197,Campos,13034,13040,B-BACIA
198,Sao,13137,13140,B-CAMPO
199,Miguel,13141,13147,I-CAMPO
200,dos,13148,13151,I-CAMPO
201,Campos,13152,13158,I-CAMPO
202,SMC-7,13265,13270,B-POÇO
203,poços,13355,13360,B-POÇO
204,Campo,13413,13418,B-CAMPO
205,Tabuleiro,13454,13463,B-CAMPO
206,do,13464,13466,I-CAMPO
207,Martins,13467,13474,I-CAMPO
208,po,13530,13532,B-POÇO
209,Campo,13633,13638,B-CAMPO
210,óleo,13683,13687,B-FLUIDODATERRA
211,óleo,13734,13738,B-FLUIDODATERRA
212,Campo,13999,14004,B-CAMPO
213,poços,14025,14030,B-POÇO
214,GA-31,14031,14036,I-POÇO
215,GA-34,14039,14044,B-POÇO
216,poços,14540,14545,B-POÇO
217,CB-3,14616,14620,B-POÇO
218,CB-4,14682,14686,B-POÇO
219,poços,14885,14890,B-POÇO
220,poços,15001,15006,B-POÇO
221,CB-3,15007,15011,I-POÇO
222,CB-4,15014,15018,B-POÇO
