,TEXT,START,END,LABEL
0,Campo,1327,1332,B-CAMPO
1,de,1333,1335,I-CAMPO
2,CSMC,1336,1340,I-CAMPO
3,poço,1630,1634,B-POÇO
4,Gas,1767,1770,B-FLUIDODATERRA
5,poço,1859,1863,B-POÇO
6,poço,1874,1878,B-POÇO
7,Campos,1989,1995,B-BACIA
8,Campo,2116,2121,B-CAMPO
9,de,2122,2124,I-CAMPO
10,CSMC,2125,2129,I-CAMPO
11,Gas,2314,2317,B-FLUIDODATERRA
12,Gas,2532,2535,B-FLUIDODATERRA
13,Pilar,2644,2649,B-CAMPO
14,Itiúba,3343,3349,I-UNIDADE_LITO
15,poços,3656,3661,B-POÇO
16,poços,4287,4292,B-POÇO
17,óleo,4325,4329,B-FLUIDODATERRA
18,formação,4666,4674,B-UNIDADE_LITO
19,Barra,4675,4680,I-UNIDADE_LITO
20,de,4681,4683,I-UNIDADE_LITO
21,Itiúba,4684,4690,I-UNIDADE_LITO
22,poços,5038,5043,B-POÇO
23,poços,5406,5411,B-POÇO
24,SHO's,5412,5417,I-POÇO
25,poços,5644,5649,B-POÇO
26,formação,6009,6017,B-UNIDADE_LITO
27,Barra,6018,6023,I-UNIDADE_LITO
28,de,6024,6026,I-UNIDADE_LITO
29,Itiúba,6027,6033,I-UNIDADE_LITO
30,formação,6043,6051,B-UNIDADE_LITO
31,Penedo,6052,6058,I-UNIDADE_LITO
32,formação,6197,6205,B-UNIDADE_LITO
33,Penedo,6206,6212,I-UNIDADE_LITO
34,gás,6264,6267,B-FLUIDODATERRA
35,poços,6324,6329,B-POÇO
36,óleo,6361,6365,B-FLUIDODATERRA
37,gás,6368,6371,B-FLUIDODATERRA
38,campo,6469,6474,B-CAMPO
39,de,6475,6477,I-CAMPO
40,CSMC,6478,6482,I-CAMPO
41,poço,6539,6543,B-POÇO
42,p,6567,6568,B-POÇO
43,Pilar,7321,7326,B-CAMPO
44,poços,7701,7706,B-POÇO
45,poços,8073,8078,B-POÇO
46,3,8088,8089,I-POÇO
47,poços,8371,8376,B-POÇO
48,Campo,8647,8652,B-CAMPO
49,de,8653,8655,I-CAMPO
50,CSIC,8656,8660,I-CAMPO
51,poços,8785,8790,B-POÇO
52,campos,9040,9046,B-CAMPO
53,de,9047,9049,I-CAMPO
54,CSMC,9050,9054,I-CAMPO
55,Furado,9061,9067,B-CAMPO
56,Pilar,9070,9075,B-CAMPO
57,campo,9519,9524,B-CAMPO
