,TEXT,START,END,LABEL
0,Campo,511,516,B-CAMPO
1,de,517,519,I-CAMPO
2,Carmópolis,520,530,I-CAMPO
3,poços,567,572,B-POÇO
4,Campo,599,604,B-CAMPO
5,de,605,607,I-CAMPO
6,Caioba,608,614,I-CAMPO
7,gas,666,669,B-FLUIDODATERRA
8,Guaricema,985,994,B-CAMPO
9,Guaricema,1218,1227,B-CAMPO
10,Campo,1284,1289,B-CAMPO
11,de,1290,1292,I-CAMPO
12,Caioba,1293,1299,I-CAMPO
13,Guaricema,1367,1376,B-CAMPO
14,Siririzinho,1413,1424,I-CAMPO
15,Tabuleiro,1427,1436,B-CAMPO
16,Campo,1470,1475,B-CAMPO
17,de,1476,1478,I-CAMPO
18,Carmôpolis,1479,1489,I-CAMPO
19,Campos,1687,1693,B-BACIA
20,Campos,1894,1900,B-BACIA
21,Campos,1929,1935,B-BACIA
22,gas,2038,2041,B-FLUIDODATERRA
23,natural,2042,2049,I-FLUIDODATERRA
24,Campos,2225,2231,B-FLUIDODATERRA
25,bomba,2466,2471,B-NÃOCONSOLID
26,bomba,3296,3301,B-NÃOCONSOLID
27,bomba,3567,3572,B-NÃOCONSOLID
28,bombas,3630,3636,B-NÃOCONSOLID
29,poços,3751,3756,B-POÇO
30,CP-11,3758,3763,B-POÇO
31,CP-46,3765,3770,B-POÇO
32,CP-116,3772,3778,B-POÇO
33,CP-165,3780,3786,B-POÇO
34,CP-222,3788,3794,B-POÇO
35,CP-228,3797,3803,B-POÇO
36,poços,3940,3945,B-POÇO
37,CP-232,3946,3952,I-POÇO
38,CP-240,3954,3960,B-POÇO
39,CP-242,3963,3969,B-POÇO
40,poços,4001,4006,B-POÇO
41,CP-25,4007,4012,I-POÇO
42,CP-135,4014,4020,B-POÇO
43,CP-225,4023,4029,B-POÇO
44,poços,4181,4186,B-POÇO
45,CP-238,4193,4199,B-POÇO
46,CP-239,4201,4207,B-POÇO
47,CP-241,4209,4215,B-POÇO
48,CP-243,4217,4223,B-POÇO
49,CP-245,4225,4231,B-POÇO
50,CP-246,4234,4240,B-POÇO
51,óleo,4309,4313,B-FLUIDODATERRA
52,poços,4784,4789,B-POÇO
53,SZ-13,4791,4796,B-POÇO
54,SZ2-51,4798,4804,B-POÇO
55,Sz-123,4836,4842,B-POÇO
56,poço,4877,4881,B-POÇO
57,óleo,5076,5080,B-FLUIDODATERRA
58,bomba,5329,5334,B-NÃOCONSOLID
59,P0O-26,5625,5631,B-POÇO
60,bomba,5746,5751,B-NÃOCONSOLID
61,poços,5765,5770,B-POÇO
62,RO-28,5771,5776,I-POÇO
63,poços,5880,5885,B-POÇO
64,RO-91,5886,5891,I-POÇO
65,areia,6129,6134,B-NÃOCONSOLID
66,pocos,6285,6290,B-POÇO
67,PDM-1,6291,6296,I-POÇO
68,PDM-3,6299,6304,B-POÇO
69,poços,6349,6354,B-POÇO
70,TM-4,6355,6359,I-POÇO
71,TM-17,6362,6367,B-POÇO
72,poços,6422,6427,B-POÇO
73,TM-18,6428,6433,I-POÇO
74,TM-6,6435,6439,B-POÇO
75,TM-4,6442,6446,B-POÇO
76,poços,6533,6538,B-POÇO
77,FU-1,6539,6543,I-POÇO
78,FTD-1,6546,6551,B-POÇO
79,poço,6593,6597,B-POÇO
80,FU-17,6598,6603,I-POÇO
81,bomba,6708,6713,B-NÃOCONSOLID
82,FU-11,6766,6771,B-POÇO
83,poços,6798,6803,B-POÇO
84,FU-20,6804,6809,I-POÇO
85,FU-22,6812,6817,B-POÇO
86,óleo,6931,6935,B-FLUIDODATERRA
87,óleo,7117,7121,B-FLUIDODATERRA
88,gas,7138,7141,B-FLUIDODATERRA
89,ôleo,7365,7369,B-FLUIDODATERRA
90,poco,7624,7628,B-POÇO
91,CB-3,7629,7633,I-POÇO
92,poço,7637,7641,B-POÇO
93,CB-7,7642,7646,I-POÇO
94,poços,7699,7704,B-POÇO
95,CB-6,7705,7709,I-POÇO
96,CB-10,7712,7717,B-POÇO
97,poço,7790,7794,B-POÇO
98,CB-11,7795,7800,I-POÇO
99,poços,8201,8206,B-POÇO
100,gas,8235,8238,B-FLUIDODATERRA
101,Campo,8329,8334,B-CAMPO
102,poços,8589,8594,B-POÇO
