,TEXT,START,END,LABEL
0,água,637,641,B-FLUIDODATERRA
1,Formação,673,681,B-UNIDADE_LITO
2,Muribeca,682,690,I-UNIDADE_LITO
3,Membro,691,697,B-UNIDADE_LITO
4,Carmópolis,698,708,I-UNIDADE_LITO
5,óleo,1491,1495,B-FLUIDODATERRA
6,água,1845,1849,B-FLUIDODATERRA
7,Emhasamento,1868,1879,B-UNIDADE_LITO
8,Formação,1881,1889,B-UNIDADE_LITO
9,MUR/CPS,1890,1897,I-UNIDADE_LITO
10,campo,2014,2019,B-CAMPO
11,de,2020,2022,I-CAMPO
12,Carmópolis,2023,2033,I-CAMPO
13,membro,2158,2164,B-UNIDADE_LITO
14,Carmópolis,2165,2175,I-UNIDADE_LITO
15,embasamento,2216,2227,B-UNIDADE_LITO
16,conglomerados,2416,2429,B-ROCHA
17,Formação,2433,2441,B-UNIDADE_LITO
18,Muribeca,2442,2450,I-UNIDADE_LITO
19,Membro,2451,2457,B-UNIDADE_LITO
20,Carmópolis,2458,2468,I-UNIDADE_LITO
21,hidrocarbonetos,2501,2516,B-FLUIDODATERRA
22,campo,2627,2632,B-CAMPO
23,de,2633,2635,I-CAMPO
24,Siririzinho,2636,2647,I-CAMPO
25,calcários,2722,2731,B-ROCHA
26,Formação,2735,2743,B-UNIDADE_LITO
27,Riachuelo,2744,2753,I-UNIDADE_LITO
28,embasamento,2900,2911,B-UNIDADE_LITO
29,conglomerados,3013,3026,B-ROCHA
30,poços,3163,3168,B-POÇO
31,hidrocarbonetos,3212,3227,B-FLUIDODATERRA
32,poços,3600,3605,B-POÇO
33,poços,3721,3726,B-POÇO
34,produtores,3727,3737,B-POÇO
35,água,3917,3921,B-FLUIDODATERRA
36,conglomerados,4094,4107,B-ROCHA
37,óleo,4638,4642,B-FLUIDODATERRA
38,óleo,4731,4735,B-FLUIDODATERRA
39,óleo,4954,4958,B-FLUIDODATERRA
40,óleo,5129,5133,B-FLUIDODATERRA
41,óleo,5291,5295,B-FLUIDODATERRA
42,água,5298,5302,B-FLUIDODATERRA
43,óleo,5615,5619,B-FLUIDODATERRA
44,água,5854,5858,B-FLUIDODATERRA
45,campo,6143,6148,B-CAMPO
46,poços,6289,6294,B-POÇO
47,poços,6332,6337,B-POÇO
48,água,6421,6425,B-FLUIDODATERRA
49,poços,6501,6506,B-POÇO
50,poços,6753,6758,B-POÇO
51,poços,6857,6862,B-POÇO
52,poços,7058,7063,B-POÇO
53,poços,7140,7145,B-POÇO
54,injetores,7146,7155,B-POÇO
55,poço,7203,7207,B-POÇO
56,CP-5,7208,7212,I-POÇO
57,poços,7242,7247,B-POÇO
58,poços,7348,7353,B-POÇO
59,injetores,7354,7363,B-POÇO
60,água,7564,7568,B-FLUIDODATERRA
61,poço,7702,7706,B-POÇO
62,poços,7816,7821,B-POÇO
63,injetores,7822,7831,B-POÇO
64,poços,7915,7920,B-POÇO
65,CP-507,7921,7927,I-POÇO
66,CP-Si&,7930,7936,B-POÇO
67,óleo,8402,8406,B-FLUIDODATERRA
68,água,8499,8503,B-FLUIDODATERRA
69,poços,8582,8587,B-POÇO
70,água,8647,8651,B-FLUIDODATERRA
71,poços,8734,8739,B-POÇO
72,injetores,8740,8749,B-POÇO
73,água,8879,8883,B-FLUIDODATERRA
74,água,8937,8941,B-FLUIDODATERRA
75,água,9159,9163,B-FLUIDODATERRA
76,poços,9279,9284,B-POÇO
77,agua,9345,9349,B-FLUIDODATERRA
78,água,9358,9362,B-FLUIDODATERRA
79,campo,9376,9381,B-CAMPO
80,de,9382,9384,I-CAMPO
81,Siririzinha,9385,9396,I-CAMPO
82,água,9455,9459,B-FLUIDODATERRA
83,doce,9460,9464,I-FLUIDODATERRA
84,óleo,9550,9554,B-FLUIDODATERRA
85,aguas,9601,9606,B-FLUIDODATERRA
86,campo,9674,9679,B-CAMPO
87,de,9680,9682,I-CAMPO
88,Siririzinho,9683,9694,I-CAMPO
89,águas,9707,9712,B-FLUIDODATERRA
90,água,9904,9908,B-FLUIDODATERRA
91,águas,9945,9950,B-FLUIDODATERRA
92,campo,10465,10470,B-CAMPO
93,de,10471,10473,I-CAMPO
94,Carmópolis,10474,10484,I-CAMPO
95,água,10677,10681,B-FLUIDODATERRA
96,poços,11050,11055,B-POÇO
97,PKC-14,11211,11217,B-POÇO
98,óleo,11559,11563,B-FLUIDODATERRA
99,água,11566,11570,B-FLUIDODATERRA
100,poços,11703,11708,B-POÇO
101,produtores,11709,11719,B-POÇO
102,gás,11764,11767,B-FLUIDODATERRA
103,poços,12762,12767,B-POÇO
104,produtores,12768,12778,B-POÇO
105,poços,12838,12843,B-POÇO
106,gás,13118,13121,B-FLUIDODATERRA
107,poços,13134,13139,B-POÇO
108,produtores,13140,13150,B-POÇO
109,gás,13390,13393,B-FLUIDODATERRA
110,poços,13423,13428,B-POÇO
111,produtores,13429,13439,B-POÇO
