,TEXT,START,END,LABEL
0,gás,493,496,B-FLUIDODATERRA
1,água,499,503,B-FLUIDODATERRA
2,gás,648,651,B-FLUIDODATERRA
3,água,702,706,B-FLUIDODATERRA
4,gás,729,732,B-FLUIDODATERRA
5,óleo,771,775,B-FLUIDODATERRA
6,campo,816,821,B-CAMPO
7,campo,928,933,B-CAMPO
8,de,934,936,I-CAMPO
9,Guaricema,937,946,I-CAMPO
10,água,1105,1109,B-FLUIDODATERRA
11,campo,1113,1118,B-CAMPO
12,arenito,1171,1178,B-ROCHA
13,gás,1225,1228,B-FLUIDODATERRA
14,arenito,1252,1259,B-ROCHA
15,arenito,1306,1313,B-ROCHA
16,Guaricema,1314,1323,B-UNIDADE_CRONO
17,campo,1360,1365,B-CAMPO
18,arenito,1369,1376,B-ROCHA
19,gás,1545,1548,B-FLUIDODATERRA
20,água,1669,1673,B-FLUIDODATERRA
21,gás,1750,1753,B-FLUIDODATERRA
22,óleo,1797,1801,B-FLUIDODATERRA
23,campo,1950,1955,B-CAMPO
24,óleo,1969,1973,B-FLUIDODATERRA
25,óleo,2159,2163,B-FLUIDODATERRA
26,gás,2199,2202,B-FLUIDODATERRA
27,campo,2206,2211,B-CAMPO
28,óleo,2253,2257,B-FLUIDODATERRA
29,arenito,2359,2366,B-ROCHA
30,óleo,2420,2424,B-FLUIDODATERRA
31,arenito,2458,2465,B-ROCHA
32,campo,2579,2584,B-CAMPO
33,arenito,2641,2648,B-ROCHA
34,Guaricema,2649,2658,B-CAMPO
35,óleo,2721,2725,B-FLUIDODATERRA
36,GA-4,3039,3043,B-POÇO
37,gás,3245,3248,B-FLUIDODATERRA
38,areias,3316,3322,B-NÃOCONSOLID
39,areias,3503,3509,B-NÃOCONSOLID
40,água,3564,3568,B-FLUIDODATERRA
41,gás,3666,3669,B-FLUIDODATERRA
42,poços,3674,3679,B-POÇO
43,GA-33D,3680,3686,I-POÇO
44,GA-34D,3689,3695,B-POÇO
45,água,4119,4123,B-FLUIDODATERRA
46,gás,4221,4224,B-FLUIDODATERRA
47,poços,4242,4247,B-POÇO
48,GA-18D,4255,4261,B-POÇO
49,GA-23D,4264,4270,B-POÇO
50,gás,4426,4429,B-FLUIDODATERRA
51,GA-6D,4518,4523,B-POÇO
52,gás,4594,4597,B-FLUIDODATERRA
53,poços,4685,4690,B-POÇO
54,GA-19,4691,4696,I-POÇO
55,GA-c2,4698,4703,B-POÇO
56,GA-48,4705,4710,B-POÇO
57,GA-49,4720,4725,B-POÇO
58,água,4745,4749,B-FLUIDODATERRA
59,óleo,4795,4799,B-FLUIDODATERRA
60,campo,4958,4963,B-CAMPO
61,água,5040,5044,B-FLUIDODATERRA
62,água,5124,5128,B-FLUIDODATERRA
63,óleo,5266,5270,B-FLUIDODATERRA
64,campo,5293,5298,B-CAMPO
65,óleo,5432,5436,B-FLUIDODATERRA
66,gás,5562,5565,B-FLUIDODATERRA
67,poços,5570,5575,B-POÇO
68,GA-2i,5576,5581,I-POÇO
69,GA-33D,5583,5589,B-POÇO
70,GA-34D,5592,5598,B-POÇO
71,gás,5642,5645,B-FLUIDODATERRA
72,poços,5661,5666,B-POÇO
73,poços,5875,5880,B-POÇO
74,GA-33D,5881,5887,I-POÇO
75,poços,5953,5958,B-POÇO
76,GA-23D,5959,5965,I-POÇO
77,GA-24D,5967,5973,B-POÇO
78,GA-25D,5976,5982,B-POÇO
79,gás,6140,6143,B-FLUIDODATERRA
80,gás,6256,6259,B-FLUIDODATERRA
81,poços,6275,6280,B-POÇO
82,poços,6356,6361,B-POÇO
83,gás,6518,6521,B-FLUIDODATERRA
84,Guaricema,6527,6536,B-CAMPO
85,poço,6803,6807,B-POÇO
86,campo,6857,6862,B-CAMPO
87,areias,6910,6916,B-NÃOCONSOLID
88,campo,7021,7026,B-CAMPO
89,de,7027,7029,I-CAMPO
90,Guaricema,7030,7039,I-CAMPO
91,óleo,7179,7183,B-FLUIDODATERRA
92,campo,7217,7222,B-CAMPO
93,Bacia,7226,7231,B-BACIA
94,é,7257,7258,B-FLUIDODATERRA
95,óleo,7341,7345,B-FLUIDODATERRA
96,campo,7393,7398,B-CAMPO
97,campo,7402,7407,B-CAMPO
98,poços,7455,7460,B-POÇO
99,gás,7516,7519,B-FLUIDODATERRA
100,óleo,7544,7548,B-FLUIDODATERRA
101,campo,7609,7614,B-CAMPO
102,arenito,7657,7664,B-ROCHA
103,arenito,7702,7709,B-ROCHA
104,poço,7767,7771,B-POÇO
105,GA-02,7775,7780,B-POÇO
106,poços,7872,7877,B-POÇO
107,membros,7889,7896,B-UNIDADE_LITO
108,Marituba,7897,7905,I-UNIDADE_LITO
109,Calumbi,7908,7915,I-UNIDADE_LITO
110,formação,7919,7927,B-UNIDADE_LITO
111,Piaçabuçu,7928,7937,I-UNIDADE_LITO
112,membro,7952,7958,B-UNIDADE_LITO
113,Calumbi,7959,7966,I-UNIDADE_LITO
114,argilitos,7993,8002,B-ROCHA
115,folhelhos,8005,8014,B-ROCHA
116,arenitos,8068,8076,B-ROCHA
117,Guaricema,8114,8123,I-ROCHA
118,campo,8147,8152,B-CAMPO
119,Guaricema,8208,8217,B-CAMPO
120,campo,8391,8396,B-CAMPO
121,folhelhos,8441,8450,B-ROCHA
122,membro,8454,8460,B-UNIDADE_LITO
123,Calumbi,8461,8468,I-UNIDADE_LITO
124,rochas,8544,8550,B-ROCHA
125,folhelhos,8573,8582,B-ROCHA
126,rochas,8725,8731,B-ROCHA
127,formação,8745,8753,B-UNIDADE_LITO
128,Muribeca,8754,8762,I-UNIDADE_LITO
129,Arenito,8811,8818,B-ROCHA
130,Guaricema,8819,8828,I-ROCHA
131,arenitos,8850,8858,B-ROCHA
132,folhelhos,8899,8908,B-ROCHA
133,arenitos,9084,9092,B-ROCHA
134,areias,9172,9178,B-NÃOCONSOLID
135,gás,9372,9375,B-FLUIDODATERRA
136,campo,9379,9384,B-CAMPO
137,Guaricema,9422,9431,B-CAMPO
138,gás,9663,9666,B-FLUIDODATERRA
139,óleo,10098,10102,B-FLUIDODATERRA
140,poços,10108,10113,B-POÇO
141,GA~3,10114,10118,I-POÇO
142,GA-7,10120,10124,B-POÇO
143,GA-15,10126,10131,B-POÇO
144,GA-1B,10133,10138,B-POÇO
145,GA-28,10141,10146,B-POÇO
146,Arenito,10322,10329,B-ROCHA
147,Guaricema,10330,10339,I-ROCHA
148,arenito,10681,10688,B-ROCHA
149,óleo,10901,10905,B-FLUIDODATERRA
150,gás,10908,10911,B-FLUIDODATERRA
151,água,11011,11015,B-FLUIDODATERRA
152,água,11059,11063,I-POÇO
153,rocha,11244,11249,B-ROCHA
154,rochas,11346,11352,B-ROCHA
155,Guaricema,11500,11509,B-CAMPO
156,arenito,11536,11543,B-ROCHA
157,arenito,11665,11672,B-ROCHA
158,água,11775,11779,B-FLUIDODATERRA
159,gás,11782,11785,B-FLUIDODATERRA
160,gás,11821,11824,B-FLUIDODATERRA
161,poços,11828,11833,B-POÇO
162,GA-48D,11917,11923,B-POÇO
163,óleo,12015,12019,B-FLUIDODATERRA
164,gás,12069,12072,B-FLUIDODATERRA
165,GA-44D,12077,12083,B-POÇO
166,poços,12156,12161,B-POÇO
167,2,12171,12172,I-POÇO
168,gás,12219,12222,B-FLUIDODATERRA
169,água,12282,12286,B-FLUIDODATERRA
170,água,12473,12477,B-FLUIDODATERRA
171,poços,12488,12493,B-POÇO
172,GA-21,12514,12519,B-POÇO
173,poços,12549,12554,B-POÇO
174,poços,12578,12583,B-POÇO
175,óleo,12603,12607,B-FLUIDODATERRA
176,óleo,12669,12673,B-FLUIDODATERRA
177,GA-24,12693,12698,B-POÇO
178,gás,12796,12799,B-FLUIDODATERRA
179,poços,12803,12808,B-POÇO
180,GA-26D,12809,12815,I-POÇO
181,GA-30,12817,12822,B-POÇO
182,GA-31D,12824,12830,B-POÇO
183,GA-32D,12832,12838,B-POÇO
184,arenito,12865,12872,B-ROCHA
185,GA-41D,12880,12886,B-POÇO
186,água,12904,12908,B-FLUIDODATERRA
187,Guaricema,13012,13021,B-CAMPO
188,gás,13074,13077,B-FLUIDODATERRA
189,água,13128,13132,B-FLUIDODATERRA
190,poços,13228,13233,B-POÇO
191,GA-6D,13234,13239,I-POÇO
192,GA-44D,13241,13247,B-POÇO
193,GA-48D,13250,13256,B-POÇO
194,campo,13294,13299,B-CAMPO
195,poços,13358,13363,B-POÇO
196,GA-@i,13364,13369,I-POÇO
197,GA-33D,13372,13378,B-POÇO
198,gás,13430,13433,B-FLUIDODATERRA
199,poços,13467,13472,B-POÇO
200,GA-6D,13473,13478,I-POÇO
201,GA-4BD,13481,13487,B-POÇO
202,gás,13740,13743,B-FLUIDODATERRA
203,poços,14020,14025,B-POÇO
204,campo,14129,14134,B-CAMPO
