,TEXT,START,END,LABEL
0,água,246,250,B-FLUIDODATERRA
1,água,297,301,B-FLUIDODATERRA
2,água,350,354,B-FLUIDODATERRA
3,óleo,431,435,B-FLUIDODATERRA
4,água,662,666,B-FLUIDODATERRA
5,Rio,670,673,I-FLUIDODATERRA
6,óleos,1165,1170,B-FLUIDODATERRA
7,água,1193,1197,B-FLUIDODATERRA
8,água,1258,1262,B-FLUIDODATERRA
9,óleos,1593,1598,B-FLUIDODATERRA
10,óleo,3127,3131,B-FLUIDODATERRA
11,CP-270,5108,5114,B-POÇO
12,água,6085,6089,B-FLUIDODATERRA
13,água,6141,6145,B-FLUIDODATERRA
14,óleos,6700,6705,B-FLUIDODATERRA
15,óleos,6892,6897,B-FLUIDODATERRA
16,Icanal,10014,10020,B-UNIDADE_CRONO
17,água,14017,14021,B-FLUIDODATERRA
18,água,14125,14129,B-FLUIDODATERRA
19,água,14321,14325,B-FLUIDODATERRA
20,óleos,18433,18438,B-FLUIDODATERRA
21,água,18720,18724,B-FLUIDODATERRA
22,água,19072,19076,B-FLUIDODATERRA
23,óleos,19283,19288,B-FLUIDODATERRA
24,esgotos,19953,19960,B-FLUIDODATERRA
25,areia,20842,20847,B-NÃOCONSOLID
26,P,21283,21284,B-POÇO
27,P,21290,21291,B-POÇO
28,sedimento,21383,21392,B-NÃOCONSOLID
29,areia,21417,21422,B-NÃOCONSOLID
30,água,21654,21658,B-FLUIDODATERRA
31,doce,21659,21663,I-FLUIDODATERRA
32,sedimento,22891,22900,B-NÃOCONSOLID
33,sedimento,23500,23509,B-NÃOCONSOLID
34,silte,23535,23540,B-NÃOCONSOLID
35,argila,23543,23549,B-NÃOCONSOLID
36,areias,23571,23577,B-NÃOCONSOLID
37,sedimento,24564,24573,B-NÃOCONSOLID
38,óleo,24621,24625,B-FLUIDODATERRA
39,água,24923,24927,B-FLUIDODATERRA
40,salgada,24928,24935,I-FLUIDODATERRA
41,areia,25057,25062,B-NÃOCONSOLID
42,sedimento,25193,25202,B-NÃOCONSOLID
43,areia,25217,25222,B-NÃOCONSOLID
44,água,26184,26188,B-FLUIDODATERRA
45,doce,26189,26193,I-FLUIDODATERRA
46,água,26808,26812,B-FLUIDODATERRA
47,água,28445,28449,B-FLUIDODATERRA
48,doce,28450,28454,I-FLUIDODATERRA
49,água,29209,29213,B-FLUIDODATERRA
50,doce,29214,29218,I-FLUIDODATERRA
51,água,30194,30198,B-FLUIDODATERRA
52,de,30199,30201,I-FLUIDODATERRA
53,produção,30202,30210,I-FLUIDODATERRA
54,petróleo,31464,31472,B-FLUIDODATERRA
55,água,34982,34986,B-FLUIDODATERRA
56,água,35270,35274,B-FLUIDODATERRA
57,água,35735,35739,B-FLUIDODATERRA
58,agua,35786,35790,B-FLUIDODATERRA
59,água,35839,35843,B-FLUIDODATERRA
60,óleo,35920,35924,B-FLUIDODATERRA
61,água,36148,36152,B-FLUIDODATERRA
62,campo,36209,36214,B-CAMPO
63,óleos,36651,36656,B-FLUIDODATERRA
64,água,36679,36683,B-FLUIDODATERRA
65,água,36744,36748,B-FLUIDODATERRA
66,óleos,37080,37085,B-FLUIDODATERRA
67,óleo,38614,38618,B-FLUIDODATERRA
68,CP-270,41265,41271,B-POÇO
69,água,42114,42118,B-FLUIDODATERRA
70,óleos,42516,42521,B-FLUIDODATERRA
71,óleos,42708,42713,B-FLUIDODATERRA
72,água,44017,44021,B-FLUIDODATERRA
73,do,44022,44024,I-FLUIDODATERRA
74,mar,44025,44028,I-FLUIDODATERRA
75,água,50045,50049,B-FLUIDODATERRA
76,água,50153,50157,B-FLUIDODATERRA
77,água,50349,50353,B-FLUIDODATERRA
78,água,55481,55485,B-FLUIDODATERRA
79,água,56508,56512,B-FLUIDODATERRA
80,água,56565,56569,B-FLUIDODATERRA
81,óleos,56710,56715,B-FLUIDODATERRA
82,água,56790,56794,B-FLUIDODATERRA
83,doce,56795,56799,I-FLUIDODATERRA
84,água,56955,56959,B-FLUIDODATERRA
85,água,57108,57112,B-FLUIDODATERRA
86,sedimento,57715,57724,B-NÃOCONSOLID
87,água,57740,57744,B-FLUIDODATERRA
88,água,57981,57985,B-FLUIDODATERRA
89,água,58500,58504,B-FLUIDODATERRA
90,água,58745,58749,B-FLUIDODATERRA
91,doce,58750,58754,I-FLUIDODATERRA
92,óleos,58810,58815,B-FLUIDODATERRA
93,sedimento,59720,59729,B-NÃOCONSOLID
94,água,60260,60264,B-FLUIDODATERRA
95,doce,60265,60269,I-FLUIDODATERRA
96,silte,60337,60342,B-NÃOCONSOLID
97,argila,60345,60351,B-NÃOCONSOLID
98,água,60390,60394,B-FLUIDODATERRA
99,sedimento,62868,62877,B-NÃOCONSOLID
100,sedimento,63175,63184,B-NÃOCONSOLID
101,argila,63217,63223,B-NÃOCONSOLID
102,areias,63280,63286,B-NÃOCONSOLID
103,sedimento,63876,63885,B-NÃOCONSOLID
104,óleo,63933,63937,B-FLUIDODATERRA
105,água,64233,64237,B-FLUIDODATERRA
106,salgada,64238,64245,I-FLUIDODATERRA
107,Família,64624,64631,B-UNIDADE_LITO
108,água,66312,66316,B-FLUIDODATERRA
109,doce,66317,66321,I-FLUIDODATERRA
110,água,66780,66784,B-FLUIDODATERRA
111,doce,66785,66789,I-FLUIDODATERRA
112,água,67722,67726,B-FLUIDODATERRA
113,doce,67727,67731,I-FLUIDODATERRA
114,água,69536,69540,B-FLUIDODATERRA
115,doce,69541,69545,I-FLUIDODATERRA
116,água,72096,72100,B-FLUIDODATERRA
117,doce,72101,72105,I-FLUIDODATERRA
118,Hquidos,74181,74188,B-ROCHA
119,campo,74200,74205,B-CAMPO
120,agua,74299,74303,B-FLUIDODATERRA
121,agua,74355,74359,B-FLUIDODATERRA
122,agua,74408,74412,B-FLUIDODATERRA
123,agua,74721,74725,B-FLUIDODATERRA
124,agua,75245,75249,B-FLUIDODATERRA
125,agua,75310,75314,B-FLUIDODATERRA
126,agua,80582,80586,B-FLUIDODATERRA
127,agua,80799,80803,B-FLUIDODATERRA
128,agua,82693,82697,B-FLUIDODATERRA
129,agua,83063,83067,B-FLUIDODATERRA
130,Icanal,86124,86130,B-UNIDADE_CRONO
131,agua,89552,89556,B-FLUIDODATERRA
132,agua,89660,89664,B-FLUIDODATERRA
133,agua,89855,89859,B-FLUIDODATERRA
134,hablto,93508,93514,B-ROCHA
135,agua,94677,94681,B-FLUIDODATERRA
136,Poco,95299,95303,B-POÇO
137,RO,95304,95306,I-POÇO
138,Poco,95467,95471,B-POÇO
139,RO,95472,95474,I-POÇO
140,Poco,95660,95664,B-POÇO
141,RO,95665,95667,I-POÇO
