,TEXT,START,END,LABEL
0,Carmópolis,171,181,B-CAMPO
1,água,219,223,B-FLUIDODATERRA
2,água,249,253,B-FLUIDODATERRA
3,campo,462,467,B-CAMPO
4,água,840,844,B-FLUIDODATERRA
5,água,977,981,B-FLUIDODATERRA
6,água,1029,1033,B-FLUIDODATERRA
7,água,1365,1369,B-FLUIDODATERRA
8,água,1544,1548,B-FLUIDODATERRA
9,água,1704,1708,B-FLUIDODATERRA
10,água,1767,1771,B-FLUIDODATERRA
11,água,1887,1891,B-FLUIDODATERRA
12,água,2182,2186,B-FLUIDODATERRA
13,água,2697,2701,B-FLUIDODATERRA
14,água,2751,2755,B-FLUIDODATERRA
15,CPS-2,2911,2916,B-POÇO
16,CPS-3,2922,2927,B-POÇO
17,água,3033,3037,B-FLUIDODATERRA
18,campo,3090,3095,B-CAMPO
19,de,3096,3098,I-CAMPO
20,Carmópolis,3099,3109,I-CAMPO
21,agua,3214,3218,B-FLUIDODATERRA
22,água,3622,3626,B-FLUIDODATERRA
23,água,3919,3923,B-FLUIDODATERRA
24,água,4148,4152,B-FLUIDODATERRA
25,água,4202,4206,B-FLUIDODATERRA
26,óleo,4215,4219,B-FLUIDODATERRA
27,rocha,4224,4229,B-ROCHA
28,CPS-3A,4368,4374,B-POÇO
29,água,4567,4571,B-FLUIDODATERRA
30,água,5028,5032,B-FLUIDODATERRA
31,água,5107,5111,B-FLUIDODATERRA
32,óleo,5215,5219,B-FLUIDODATERRA
33,óleo,5362,5366,B-FLUIDODATERRA
34,óleo,5437,5441,B-FLUIDODATERRA
35,residual,5442,5450,I-FLUIDODATERRA
36,água,5596,5600,B-FLUIDODATERRA
37,óleo,5775,5779,B-FLUIDODATERRA
38,água,5946,5950,B-FLUIDODATERRA
39,água,6069,6073,B-FLUIDODATERRA
40,óleos,6898,6903,B-FLUIDODATERRA
41,água,7103,7107,B-FLUIDODATERRA
42,poço,7139,7143,B-POÇO
43,água,7296,7300,B-FLUIDODATERRA
44,água,7379,7383,B-FLUIDODATERRA
45,óleo,7414,7418,B-FLUIDODATERRA
46,formação,7632,7640,B-UNIDADE_LITO
47,óleo,7800,7804,B-FLUIDODATERRA
48,óleo,8252,8256,B-FLUIDODATERRA
49,rocha,8666,8671,B-ROCHA
50,água,8877,8881,B-FLUIDODATERRA
51,óleo,9349,9353,B-FLUIDODATERRA
52,água,10129,10133,B-FLUIDODATERRA
53,gás,10300,10303,B-FLUIDODATERRA
54,poço,10443,10447,B-POÇO
55,óleo,11062,11066,B-FLUIDODATERRA
56,óleo,11309,11313,B-FLUIDODATERRA
57,óleo,11501,11505,B-FLUIDODATERRA
58,água,11600,11604,B-FLUIDODATERRA
59,óleo,11685,11689,B-FLUIDODATERRA
60,água,11926,11930,B-FLUIDODATERRA
61,água,11991,11995,B-FLUIDODATERRA
62,água,12057,12061,B-FLUIDODATERRA
63,água,12074,12078,B-FLUIDODATERRA
64,água,12217,12221,B-FLUIDODATERRA
65,óleo,12666,12670,B-FLUIDODATERRA
66,água,13413,13417,B-FLUIDODATERRA
67,óleo,13813,13817,B-FLUIDODATERRA
68,água,14605,14609,B-FLUIDODATERRA
69,água,14639,14643,B-FLUIDODATERRA
70,água,14778,14782,B-FLUIDODATERRA
71,água,14829,14833,B-FLUIDODATERRA
72,óleo,14923,14927,B-FLUIDODATERRA
73,água,15203,15207,B-FLUIDODATERRA
74,água,15349,15353,B-FLUIDODATERRA
75,óleo,15385,15389,B-FLUIDODATERRA
76,água,15396,15400,B-FLUIDODATERRA
77,água,15493,15497,B-FLUIDODATERRA
78,água,15680,15684,B-FLUIDODATERRA
79,água,15777,15781,B-FLUIDODATERRA
80,água,15816,15820,B-FLUIDODATERRA
81,óleo,15933,15937,B-FLUIDODATERRA
82,água,16179,16183,B-FLUIDODATERRA
83,água,16243,16247,B-FLUIDODATERRA
