,TEXT,START,END,LABEL
0,FORMAÇÃO,56,64,B-UNIDADE_LITO
1,Bloco,2518,2523,B-UNIDADE_CRONO
2,Bloco,2596,2601,B-UNIDADE_CRONO
3,Formação,2798,2806,B-UNIDADE_LITO
4,Barra,2807,2812,I-UNIDADE_LITO
5,de,2813,2815,I-UNIDADE_LITO
6,Itiúba,2816,2822,I-UNIDADE_LITO
7,Campo,2826,2831,B-CAMPO
8,de,2832,2834,I-CAMPO
9,Carmópolis,2835,2845,I-CAMPO
10,Fm.,3128,3131,B-UNIDADE_LITO
11,Barra,3132,3137,I-UNIDADE_LITO
12,de,3138,3140,I-UNIDADE_LITO
13,Itiúba,3141,3147,I-UNIDADE_LITO
14,Formação,3255,3263,B-UNIDADE_LITO
15,Barra,3264,3269,I-UNIDADE_LITO
16,de,3270,3272,I-UNIDADE_LITO
17,Itiúba,3273,3279,I-UNIDADE_LITO
18,CPS-4,3291,3296,B-POÇO
19,Campo,3300,3305,B-CAMPO
20,de,3306,3308,I-CAMPO
21,Carmópolis,3309,3319,I-CAMPO
22,poço,3442,3446,B-POÇO
23,folhelhos,3598,3607,B-ROCHA
24,poços,3780,3785,B-POÇO
25,Fm.,3996,3999,B-UNIDADE_LITO
26,Barra,4000,4005,I-UNIDADE_LITO
27,de,4006,4008,I-UNIDADE_LITO
28,Itiúba,4009,4015,I-UNIDADE_LITO
29,óleo,4067,4071,B-FLUIDODATERRA
30,Campo,4349,4354,B-CAMPO
31,de,4355,4357,I-CAMPO
32,Carmópolis,4358,4368,I-CAMPO
33,Taquidrita,4466,4476,B-ROCHA
34,Carnalita,4479,4488,B-ROCHA
35,poços,4779,4784,B-POÇO
36,óleo,5031,5035,B-FLUIDODATERRA
37,óleo,5325,5329,B-FLUIDODATERRA
38,óleo,5554,5558,B-FLUIDODATERRA
39,óleo,5644,5648,B-FLUIDODATERRA
40,poços,6232,6237,B-POÇO
41,poços,6296,6301,B-POÇO
42,Fm.,6684,6687,B-UNIDADE_LITO
43,Barra,6688,6693,I-UNIDADE_LITO
44,de,6694,6696,I-UNIDADE_LITO
45,Itiúba,6697,6703,I-UNIDADE_LITO
46,óleo,6748,6752,B-FLUIDODATERRA
47,óleo,6783,6787,B-FLUIDODATERRA
48,arenito,7233,7240,B-ROCHA
49,óleo,7405,7409,B-FLUIDODATERRA
50,poços,7610,7615,B-POÇO
51,óleo,7839,7843,B-FLUIDODATERRA
52,poços,7945,7950,B-POÇO
53,poços,8009,8014,B-POÇO
54,Fm.,8397,8400,B-UNIDADE_LITO
55,Barra,8401,8406,I-UNIDADE_LITO
56,de,8407,8409,I-UNIDADE_LITO
57,Itiúba,8410,8416,I-UNIDADE_LITO
58,óleo,8461,8465,B-FLUIDODATERRA
