,TEXT,START,END,LABEL
0,membro,103,109,B-UNIDADE_LITO
1,Qiteirinhos,110,121,I-UNIDADE_LITO
2,Formação,125,133,B-UNIDADE_LITO
3,Muribeca,134,142,I-UNIDADE_LITO
4,campo,228,233,B-CAMPO
5,de,234,236,I-CAMPO
6,Carmipolis,237,247,I-CAMPO
7,campo,404,409,B-CAMPO
8,de,410,412,I-CAMPO
9,Carmápolis,413,423,I-CAMPO
10,poços,567,572,B-POÇO
11,CPB,579,582,B-POÇO
12,poços,689,694,B-POÇO
13,poços,813,818,B-POÇO
14,poços,922,927,B-POÇO
15,poços,1130,1135,B-POÇO
16,CPB-4,1190,1195,B-POÇO
17,CP-B75,1199,1205,B-POÇO
18,campo,1313,1318,B-CAMPO
19,poço,1927,1931,B-POÇO
20,poços,2089,2094,B-POÇO
21,poços,2234,2239,B-POÇO
22,poços,2282,2287,B-POÇO
23,campo,2690,2695,B-CAMPO
24,de,2696,2698,I-CAMPO
25,Carmúpolis,2699,2709,I-CAMPO
26,poços,2718,2723,B-POÇO
27,Em.,2850,2853,B-UNIDADE_LITO
28,Membro,3082,3088,B-UNIDADE_LITO
29,Oiteirinhos,3089,3100,I-UNIDADE_LITO
30,Formação,3104,3112,B-UNIDADE_LITO
31,Muribeca,3113,3121,I-UNIDADE_LITO
32,campo,3159,3164,B-CAMPO
33,de,3165,3167,I-CAMPO
34,Carmúpolis,3168,3178,I-CAMPO
35,embasamento,3236,3247,B-UNIDADE_LITO
36,formação,3269,3277,B-UNIDADE_LITO
37,Muribeca,3278,3286,I-UNIDADE_LITO
38,anidrita,3503,3511,B-ROCHA
39,Poca,3557,3561,B-POÇO
40,Membro,3601,3607,B-UNIDADE_LITO
41,Oiteirinhos,3608,3619,I-UNIDADE_LITO
42,anidrita,3763,3771,B-ROCHA
43,Membro,3783,3789,B-UNIDADE_LITO
44,Ibura,3790,3795,I-UNIDADE_LITO
45,poços,3833,3838,B-POÇO
46,poços,3937,3942,B-POÇO
47,poço,4155,4159,B-POÇO
48,poço,4171,4175,B-POÇO
49,campo,4298,4303,B-CAMPO
50,de,4304,4306,I-CAMPO
51,Carmapolis,4307,4317,I-CAMPO
52,áleo,4359,4363,B-ROCHA
53,campo,4393,4398,B-CAMPO
54,poços,4407,4412,B-POÇO
55,CPB-i,4520,4525,B-POÇO
56,CP-875,4566,4572,B-POÇO
57,poços,4637,4642,B-POÇO
58,poço,5240,5244,B-POÇO
59,CPB-4,5245,5250,I-POÇO
60,poços,5362,5367,B-POÇO
61,CPB,5368,5371,I-POÇO
62,CPB-4,5457,5462,B-POÇO
63,Poço,5573,5577,B-POÇO
64,óleo,5936,5940,B-FLUIDODATERRA
65,poços,6259,6264,B-POÇO
66,poços,6297,6302,B-POÇO
67,poços,6387,6392,B-POÇO
68,poços,6548,6553,B-POÇO
69,poço,6934,6938,B-POÇO
70,poços,6950,6955,B-POÇO
71,campo,7089,7094,B-CAMPO
72,de,7095,7097,I-CAMPO
73,Carmópolis,7098,7108,I-CAMPO
74,poços,7141,7146,B-POÇO
75,campo,7346,7351,B-CAMPO
76,de,7352,7354,I-CAMPO
77,Carmápolis,7355,7365,I-CAMPO
78,calcários,7399,7408,B-ROCHA
79,Formação,7423,7431,B-UNIDADE_LITO
80,Mur,7432,7435,I-UNIDADE_LITO
81,i-~,7436,7439,I-UNIDADE_LITO
82,campo,7490,7495,B-CAMPO
83,poços,7611,7616,B-POÇO
84,Fm.,7962,7965,B-UNIDADE_LITO
85,Muribeca,7966,7974,I-UNIDADE_LITO
86,CPB-L,8012,8017,B-POÇO
87,CPB-2,8019,8024,B-POÇO
88,CPB-3,8026,8031,B-POÇO
89,CPB-4,8034,8039,B-POÇO
90,poços,8059,8064,B-POÇO
91,poços,8142,8147,B-POÇO
92,CPB-£,8149,8154,B-POÇO
93,CPB-2,8157,8162,B-POÇO
94,CP-14,8174,8179,B-POÇO
95,CP-24,8182,8187,B-POÇO
96,poços,8308,8313,B-POÇO
97,poço,8318,8322,B-POÇO
98,CPB-i,8323,8328,I-POÇO
99,poços,8545,8550,B-POÇO
100,CPB-4,8600,8605,B-POÇO
101,poços,8640,8645,B-POÇO
102,CPH-S,8653,8658,B-POÇO
103,CPB-4,8660,8665,B-POÇO
104,CPB-S,8668,8673,B-POÇO
105,poços,8703,8708,B-POÇO
106,CP-13,8709,8714,I-POÇO
107,CP-94,8716,8721,B-POÇO
108,CP-22,8724,8729,B-POÇO
109,poços,8737,8742,B-POÇO
110,secos,8850,8855,B-POÇO
111,poços,8887,8892,B-POÇO
112,formação,8991,8999,B-UNIDADE_LITO
113,Muribeca,9000,9008,I-UNIDADE_LITO
114,hidrocarbonetos,9083,9098,B-FLUIDODATERRA
115,Membro,9345,9351,B-UNIDADE_LITO
116,Diteirinhos,9352,9363,I-UNIDADE_LITO
117,poços,9367,9372,B-POÇO
118,poço,9580,9584,B-POÇO
119,Ch-875,9585,9591,I-POÇO
120,poço,9768,9772,B-POÇO
121,CP-906,9986,9992,B-POÇO
122,CP-875,10003,10009,B-POÇO
123,poço,10366,10370,B-POÇO
124,poços,10560,10565,B-POÇO
125,CP-1014,10716,10723,B-POÇO
126,poço,10847,10851,B-POÇO
127,água,10890,10894,B-FLUIDODATERRA
128,poços,10922,10927,B-POÇO
129,CP-1009,11007,11014,B-POÇO
130,CP-4939,11019,11026,B-POÇO
131,campo,11244,11249,B-CAMPO
132,de,11250,11252,I-CAMPO
133,Carmópolis,11253,11263,I-CAMPO
134,poços,11462,11467,B-POÇO
135,CP-4@77,11516,11523,B-POÇO
136,CP-4077,11591,11598,B-POÇO
137,CP-1091,11721,11728,B-POÇO
138,CP-444,11732,11738,B-POÇO
139,poço,11844,11848,B-POÇO
140,CP-1063,11852,11859,B-POÇO
141,poços,12083,12088,B-POÇO
142,poços,12198,12203,B-POÇO
143,JUNSB4,12283,12289,B-POÇO
144,CP-S52,12292,12298,B-POÇO
145,CP-3@5,12343,12349,B-POÇO
146,CP-SS2,12657,12663,B-POÇO
147,poços,12693,12698,B-POÇO
148,CP-968,12706,12712,B-POÇO
149,CP-935,12714,12720,B-POÇO
150,CP-9646,12723,12730,B-POÇO
151,Membro,13018,13024,B-UNIDADE_LITO
152,Diteirinhos,13025,13036,I-UNIDADE_LITO
153,poços,13103,13108,B-POÇO
154,poços,13513,13518,B-POÇO
155,campo,13541,13546,B-CAMPO
156,de,13547,13549,I-CAMPO
157,Carmúpolis,13550,13560,I-CAMPO
158,CP-44,13585,13590,B-POÇO
159,CP-24,13738,13743,B-POÇO
160,calcarios,13790,13799,B-ROCHA
161,hidrocarboneto,14381,14395,B-FLUIDODATERRA
162,CP_-,14781,14785,B-POÇO
163,CP,14912,14914,B-POÇO
164,poços,15041,15046,B-POÇO
165,campo,15147,15152,B-CAMPO
166,de,15153,15155,I-CAMPO
167,Carmópolis,15156,15166,I-CAMPO
168,poços,15800,15805,B-POÇO
169,poços,16334,16339,B-POÇO
170,CPB's,16340,16345,I-POÇO
171,Poços,16499,16504,B-POÇO
172,poço,16641,16645,B-POÇO
173,poços,16678,16683,B-POÇO
174,Poço,17002,17006,B-POÇO
175,poços,17281,17286,B-POÇO
176,produtores,17287,17297,B-POÇO
177,toito,17446,17451,B-POÇO
178,poços,17453,17458,B-POÇO
179,poços,17966,17971,B-POÇO
180,poços,18084,18089,B-POÇO
181,CPB's,18090,18095,I-POÇO
182,poços,18137,18142,B-POÇO
183,poços,18217,18222,B-POÇO
184,poços,18650,18655,B-POÇO
185,Membro,18681,18687,B-UNIDADE_LITO
186,Qiteirinhos,18688,18699,I-UNIDADE_LITO
187,poços,19618,19623,B-POÇO
188,CPA's,19624,19629,I-POÇO
189,poços,19647,19652,B-POÇO
190,especiais,19653,19662,B-POÇO
191,CPB-i,19733,19738,B-POÇO
192,CPB-4,20160,20165,B-POÇO
193,CPB-4,20266,20271,B-POÇO
194,Membro,20390,20396,B-UNIDADE_LITO
195,Oltei-rinhos,20397,20409,I-UNIDADE_LITO
196,Bloco,20413,20418,B-UNIDADE_CRONO
197,CPB-4,20845,20850,B-POÇO
198,poços,21061,21066,B-POÇO
199,poços,21097,21102,B-POÇO
200,CP-303,21181,21187,B-POÇO
201,CP-308,21285,21291,B-POÇO
202,poços,21402,21407,B-POÇO
203,CPi,21517,21520,B-POÇO
204,CP-305,21522,21528,B-POÇO
205,CP-935,21531,21537,B-POÇO
206,poços,21572,21577,B-POÇO
207,poço,22017,22021,B-POÇO
208,To,22052,22054,B-FLUIDODATERRA
209,poços,22058,22063,B-POÇO
210,CP-B/5,22064,22070,I-POÇO
211,CP-19063,22073,22081,B-POÇO
212,CP-875,22217,22223,B-POÇO
213,CP-1063,22298,22305,B-POÇO
214,poços,22526,22531,B-POÇO
215,poços,22611,22616,B-POÇO
216,Poços,22816,22821,B-POÇO
217,poços,23101,23106,B-POÇO
218,poços,23360,23365,B-POÇO
219,poços,24137,24142,B-POÇO
220,api,24213,24216,B-UNIDADE_CRONO
221,calcários,24267,24276,B-ROCHA
222,campo,24489,24494,B-CAMPO
223,calcários,24526,24535,B-ROCHA
224,poços,24592,24597,B-POÇO
225,poços,24641,24646,B-POÇO
226,poços,24692,24697,B-POÇO
227,Oiteirinhos,25252,25263,B-ROCHA
228,calcários,25283,25292,B-ROCHA
229,poços,25741,25746,B-POÇO
230,poço,25941,25945,B-POÇO
231,CPB-4,25949,25954,B-POÇO
232,poços,26262,26267,B-POÇO
233,poço,26558,26562,B-POÇO
234,rocha,26930,26935,B-ROCHA
235,calcário,27009,27017,B-ROCHA
236,poços,27172,27177,B-POÇO
237,poços,27534,27539,B-POÇO
238,poços,27646,27651,B-POÇO
239,Oiteirinhos,27655,27666,B-UNIDADE_CRONO
