,TEXT,START,END,LABEL
0,campo,166,171,B-CAMPO
1,de,172,174,I-CAMPO
2,Camorim,175,182,I-CAMPO
3,Pocos,2328,2333,B-POÇO
4,campo,2421,2426,B-CAMPO
5,de,2427,2429,I-CAMPO
6,Camorim,2430,2437,I-CAMPO
7,campo,2701,2706,B-CAMPO
8,de,2707,2709,I-CAMPO
9,Camorim,2710,2717,I-CAMPO
10,membro,3046,3052,B-UNIDADE_LITO
11,Carm6polis,3053,3063,I-UNIDADE_LITO
12,campo,3085,3090,B-CAMPO
13,campo,3223,3228,B-CAMPO
14,de,3229,3231,I-CAMPO
15,Camorim,3232,3239,I-CAMPO
16,campo,3327,3332,B-CAMPO
17,de,3333,3335,I-CAMPO
18,Carm6polis,3336,3346,I-CAMPO
19,campos,3714,3720,B-CAMPO
20,de,3721,3723,I-CAMPO
21,Carrnopolis,3724,3735,I-CAMPO
22,Siririzinho,3738,3749,B-CAMPO
23,Riachuelo,3752,3761,B-CAMPO
24,bacia,3885,3890,B-BACIA
25,Sergipe-Ala­,3891,3903,I-BACIA
26,Camorim,4011,4018,B-CAMPO
27,CM,4186,4188,B-POÇO
28,eM-5,4793,4797,B-POÇO
29,CM-58,4913,4918,B-POÇO
30,CM-59,4921,4926,B-POÇO
31,CM-39,5412,5417,B-POÇO
32,e,5655,5656,B-FLUIDODATERRA
33,CM-12,6754,6759,B-POÇO
34,CM-09,7029,7034,B-POÇO
35,CM-21,7040,7045,B-POÇO
36,CM-09,7566,7571,B-POÇO
37,CM-21,7577,7582,B-POÇO
38,CM-09,7985,7990,B-POÇO
39,CM-21,7996,8001,B-POÇO
40,CM-17,8238,8243,B-POÇO
41,CM-18,8548,8553,B-POÇO
42,gas,8757,8760,B-FLUIDODATERRA
43,CM-12,8765,8770,B-POÇO
44,CM-14,8773,8778,B-POÇO
45,CM-12,9093,9098,B-POÇO
46,CM-18,9689,9694,B-POÇO
47,CM-12,9789,9794,B-POÇO
48,gas,9860,9863,B-FLUIDODATERRA
49,CM-12,9868,9873,B-POÇO
50,CM,9985,9987,B-POÇO
51,-12,9988,9991,I-POÇO
52,CM-12,10625,10630,B-POÇO
53,CM-18,10646,10651,B-POÇO
54,agua,10946,10950,B-FLUIDODATERRA
55,agua,11672,11676,B-FLUIDODATERRA
56,gas,11990,11993,B-FLUIDODATERRA
57,CM,12797,12799,B-POÇO
