,TEXT,START,END,LABEL
0,poços,480,485,B-POÇO
1,água,499,503,B-FLUIDODATERRA
2,campos,508,514,B-CAMPO
3,poços,560,565,B-POÇO
4,água,580,584,B-FLUIDODATERRA
5,salgada,585,592,I-FLUIDODATERRA
6,campo,608,613,B-CAMPO
7,de,614,616,I-CAMPO
8,Siririzinho,617,628,I-CAMPO
9,poços,737,742,B-POÇO
10,água,756,760,B-FLUIDODATERRA
11,poço,945,949,B-POÇO
12,RO,950,952,I-POÇO
13,água,971,975,B-FLUIDODATERRA
14,doce,976,980,I-FLUIDODATERRA
15,CPS-2,1036,1041,B-POÇO
16,água,1658,1662,B-FLUIDODATERRA
17,poços,1903,1908,B-POÇO
18,água,1922,1926,B-FLUIDODATERRA
19,campos,1931,1937,B-CAMPO
20,poços,1983,1988,B-POÇO
21,água,2003,2007,B-FLUIDODATERRA
22,salgada,2008,2015,I-FLUIDODATERRA
23,campo,2031,2036,B-CAMPO
24,de,2037,2039,I-CAMPO
25,Siririzinho,2040,2051,I-CAMPO
26,poços,2160,2165,B-POÇO
27,água,2179,2183,B-FLUIDODATERRA
28,água,2758,2762,B-FLUIDODATERRA
29,água,2878,2882,B-FLUIDODATERRA
30,água,3106,3110,B-FLUIDODATERRA
31,poço,6330,6334,B-POÇO
32,injetor,6335,6342,B-POÇO
33,poços,8182,8187,B-POÇO
34,injetores,8188,8197,B-POÇO
35,água,8201,8205,B-FLUIDODATERRA
36,água,8227,8231,B-FLUIDODATERRA
37,poço,8343,8347,B-POÇO
