,TEXT,START,END,LABEL
0,gas,987,990,B-FLUIDODATERRA
1,natural,991,998,I-FLUIDODATERRA
2,1-SES-102,1344,1353,B-POÇO
3,Miguel,2571,2577,I-CAMPO
4,Fazenda,2672,2679,B-CAMPO
5,Pau,2680,2683,I-CAMPO
6,CSO-7D/PIR-55,3400,3413,B-POÇO
7,CSO-10F/PIR-17,3564,3578,B-POÇO
8,CSO-10G/PIR-12,3581,3595,B-POÇO
9,agua,3669,3673,B-FLUIDODATERRA
10,CSO-6H/PIR-5,3758,3770,B-POÇO
11,PIR-33,4005,4011,B-POÇO
12,PIR-62,4034,4040,B-POÇO
13,Sio,4145,4148,B-UNIDADE_CRONO
14,Brejo,4556,4561,B-CAMPO
15,CP-471,4886,4892,B-POÇO
16,CPS-4,5788,5793,B-POÇO
17,CPS-2,6184,6189,B-POÇO
18,CPS-4,6948,6953,B-POÇO
19,agua,7121,7125,B-FLUIDODATERRA
20,agua,7287,7291,B-FLUIDODATERRA
21,CPS-4,7809,7814,B-POÇO
22,CPS-4,7962,7967,B-POÇO
23,campo,8090,8095,B-CAMPO
24,de,8096,8098,I-CAMPO
25,Carm6polis,8099,8109,I-CAMPO
26,campo,8206,8211,B-CAMPO
27,poco,8405,8409,B-POÇO
28,IP-1,8410,8414,I-POÇO
29,poco,8423,8427,B-POÇO
30,IP-12,8428,8433,I-POÇO
31,agua,8860,8864,B-FLUIDODATERRA
32,campo,8868,8873,B-CAMPO
33,agua,9154,9158,B-FLUIDODATERRA
34,campo,9162,9167,B-CAMPO
35,agua,9685,9689,B-FLUIDODATERRA
36,CPS-1,9698,9703,B-POÇO
37,CPS-2,10022,10027,B-POÇO
38,Campo,10115,10120,B-CAMPO
39,PDO-3,10954,10959,B-POÇO
40,DO-18,10984,10989,B-POÇO
