,TEXT,START,END,LABEL
0,Campo,14,19,B-CAMPO
1,de,20,22,I-CAMPO
2,Rio,23,26,I-CAMPO
3,Pojuca,27,33,I-CAMPO
4,Bacia,86,91,B-BACIA
5,do,92,94,I-BACIA
6,Recôncavo,95,104,I-BACIA
7,poços,127,132,B-POÇO
8,produtores,133,143,B-POÇO
9,óleo,238,242,B-FLUIDODATERRA
10,Formação,274,282,B-UNIDADE_LITO
11,Água,283,287,I-UNIDADE_LITO
12,Grande,288,294,I-UNIDADE_LITO
13,arenitos,311,319,B-ROCHA
14,Agua,536,540,B-CAMPO
15,Grande,541,547,I-CAMPO
16,Agua,558,562,B-CAMPO
17,Grande,563,569,I-CAMPO
18,Água,581,585,B-CAMPO
19,Grande,586,592,I-CAMPO
20,Água,604,608,B-CAMPO
21,Grande,609,615,I-CAMPO
22,poços,658,663,B-POÇO
23,Formação,1337,1345,B-UNIDADE_LITO
24,Água,1346,1350,I-UNIDADE_LITO
25,Grande,1351,1357,I-UNIDADE_LITO
26,poços,1391,1396,B-POÇO
27,7-RPJ-04-BA,1400,1411,B-POÇO
28,7-RPJ-14-BA,1415,1426,B-POÇO
29,7-RPJ-35-BA,1431,1442,B-POÇO
30,argila,2133,2139,B-NÃOCONSOLID
31,poços,2184,2189,B-POÇO
32,campo,2193,2198,B-CAMPO
33,argila,2233,2239,B-NÃOCONSOLID
34,poço,2248,2252,B-POÇO
35,poço,2383,2387,B-POÇO
36,argila,2464,2470,B-NÃOCONSOLID
37,folhelhos,2491,2500,B-ROCHA
38,Formação,2518,2526,B-UNIDADE_LITO
39,Itaparica,2527,2536,I-UNIDADE_LITO
40,Formação,2587,2595,B-UNIDADE_LITO
41,Agua,2596,2600,I-UNIDADE_LITO
42,Grande,2601,2607,I-UNIDADE_LITO
43,poço,2695,2699,B-POÇO
44,rocha,2778,2783,B-ROCHA
45,Formação,2810,2818,B-UNIDADE_LITO
46,Agua,2819,2823,I-UNIDADE_LITO
47,Grande,2824,2830,I-UNIDADE_LITO
48,Água,3005,3009,B-CAMPO
49,Grande,3010,3016,I-CAMPO
50,Água,3021,3025,B-CAMPO
51,Grande,3026,3032,I-CAMPO
52,Poços,3148,3153,B-POÇO
53,campo,4350,4355,B-CAMPO
54,poços,4361,4366,B-POÇO
55,7-RPJ-04-BA,4367,4378,I-POÇO
56,7-RPJ-35-BA,4381,4392,B-POÇO
57,7-RPJ-14-BA,4423,4434,B-POÇO
58,poços,5246,5251,B-POÇO
59,poço,5391,5395,B-POÇO
60,poços,6014,6019,B-POÇO
61,7-RPJ-04-BA,6020,6031,I-POÇO
62,7-RPJ-35-BA,6034,6045,B-POÇO
63,óleo,6459,6463,B-FLUIDODATERRA
64,água,6520,6524,B-FLUIDODATERRA
65,poço,6722,6726,B-POÇO
66,7-RPJ-14-BA,6740,6751,B-POÇO
67,arenitos,6868,6876,B-ROCHA
68,poços,6951,6956,B-POÇO
69,poços,7590,7595,B-POÇO
70,7-RPJ-14-BA,7698,7709,B-POÇO
71,poço,7845,7849,B-POÇO
72,poços,7961,7966,B-POÇO
73,poços,8070,8075,B-POÇO
74,poços,8157,8162,B-POÇO
75,Campo,8166,8171,B-CAMPO
76,de,8172,8174,I-CAMPO
77,Rio,8175,8178,I-CAMPO
78,Pojuca,8179,8185,I-CAMPO
79,Formação,8205,8213,B-UNIDADE_LITO
80,Água,8214,8218,I-UNIDADE_LITO
81,Grande,8219,8225,I-UNIDADE_LITO
82,argila,8438,8444,B-NÃOCONSOLID
83,poço,8585,8589,B-POÇO
84,poço,8826,8830,B-POÇO
85,FORMAÇÃO,9336,9344,B-UNIDADE_LITO
86,poço,9834,9838,B-POÇO
87,7-RPJ-23-BA,9839,9850,I-POÇO
