,TEXT,START,END,LABEL
0,água,106,110,B-FLUIDODATERRA
1,campo,161,166,B-CAMPO
2,óleo,191,195,B-FLUIDODATERRA
3,conglomerados,236,249,B-ROCHA
4,arenitos,252,260,B-ROCHA
5,cPS-2,294,299,B-POÇO
6,CPS-3,302,307,B-POÇO
7,formação,311,319,B-UNIDADE_LITO
8,Muribeca,320,328,I-UNIDADE_LITO
9,membro,329,335,B-UNIDADE_LITO
10,Carmópolis,336,346,I-UNIDADE_LITO
11,poços,505,510,B-POÇO
12,produtores,511,521,B-POÇO
13,água,538,542,B-FLUIDODATERRA
14,campo,895,900,B-CAMPO
15,campo,989,994,B-CAMPO
16,óleo,1045,1049,B-FLUIDODATERRA
17,poços,1138,1143,B-POÇO
18,óleo,1203,1207,B-FLUIDODATERRA
19,água,1264,1268,B-FLUIDODATERRA
20,água,1723,1727,B-FLUIDODATERRA
21,poços,1741,1746,B-POÇO
22,óleo,2348,2352,B-FLUIDODATERRA
23,óleo,2420,2424,B-FLUIDODATERRA
24,óleo,2652,2656,B-FLUIDODATERRA
25,agua,4252,4256,B-FLUIDODATERRA
26,campo,4313,4318,B-CAMPO
27,membro,4355,4361,B-UNIDADE_LITO
28,Carmópolis,4362,4372,I-UNIDADE_LITO
29,formação,4376,4384,B-UNIDADE_LITO
30,Muribeca,4385,4393,I-UNIDADE_LITO
31,óleo,4426,4430,B-FLUIDODATERRA
32,água,4595,4599,B-FLUIDODATERRA
33,poços,5230,5235,B-POÇO
34,poços,5296,5301,B-POÇO
35,campo,5524,5529,B-CAMPO
36,campo,5950,5955,B-CAMPO
37,poços,6033,6038,B-POÇO
38,água,6110,6114,B-FLUIDODATERRA
39,campo,6118,6123,B-CAMPO
40,óleo,6174,6178,B-FLUIDODATERRA
41,poços,6415,6420,B-POÇO
42,produtores,6421,6431,B-POÇO
43,óleo,6484,6488,B-FLUIDODATERRA
44,água,6697,6701,B-FLUIDODATERRA
45,poços,6801,6806,B-POÇO
46,CPS-1,7005,7010,B-POÇO
47,CPS-2,7040,7045,B-POÇO
48,CPS-3,7048,7053,B-POÇO
49,óleo,7227,7231,B-FLUIDODATERRA
