,TEXT,START,END,LABEL
0,poços,406,411,B-POÇO
1,gas,575,578,B-FLUIDODATERRA
2,poço,619,623,B-POÇO
3,poços,711,716,B-POÇO
4,bomba,1063,1068,B-NÃOCONSOLID
5,água,3744,3748,B-FLUIDODATERRA
6,campo,4541,4546,B-CAMPO
7,poços,4837,4842,B-POÇO
8,poços,5051,5056,B-POÇO
9,campos,5088,5094,B-CAMPO
10,água,5138,5142,B-FLUIDODATERRA
11,bomba,5257,5262,B-NÃOCONSOLID
12,água,5363,5367,B-FLUIDODATERRA
13,óleo,5384,5388,B-FLUIDODATERRA
14,bomba,5497,5502,B-NÃOCONSOLID
15,bombas,5588,5594,B-NÃOCONSOLID
16,bomba,5750,5755,B-NÃOCONSOLID
17,bomba,5914,5919,B-NÃOCONSOLID
18,bombas,5971,5977,B-NÃOCONSOLID
19,Campo,6165,6170,B-CAMPO
20,bomba,6575,6580,B-NÃOCONSOLID
21,bomba,6658,6663,B-NÃOCONSOLID
22,poços,6866,6871,B-POÇO
23,poços,7311,7316,B-POÇO
24,Campo,7348,7353,B-CAMPO
25,poços,7480,7485,B-POÇO
26,pocos,7925,7930,B-POÇO
27,Campo,7962,7967,B-CAMPO
28,água,8003,8007,I-POÇO
29,Poço,8151,8155,B-POÇO
30,poços,8284,8289,B-POÇO
