,TEXT,START,END,LABEL
0,Bacias,1678,1684,B-BACIA
1,Bacias,2070,2076,B-BACIA
2,do,2077,2079,I-BACIA
3,Al,2080,2082,I-BACIA
4,Amazonas,2094,2102,I-BACIA
5,Bacia,2469,2474,B-BACIA
6,Amazônica,2475,2484,I-BACIA
7,Bacia,2589,2594,B-BACIA
8,do,2595,2597,I-BACIA
9,Alto,2598,2602,I-BACIA
10,Amazonas,2603,2611,I-BACIA
11,campo,2651,2656,B-CAMPO
12,gás,2660,2663,B-FLUIDODATERRA
13,campos,2769,2775,B-CAMPO
14,gás,2779,2782,B-FLUIDODATERRA
15,Ipixuna,2786,2793,B-CAMPO
16,Igarapé,2796,2803,B-CAMPO
17,Bacia,2857,2862,B-BACIA
18,do,2863,2865,I-BACIA
19,Médio,2866,2871,I-BACIA
20,Amazonas,2872,2880,I-BACIA
21,Rio,3337,3340,B-CAMPO
22,Juruá,3341,3346,I-CAMPO
23,Bacia,12520,12525,B-BACIA
24,do,12526,12528,I-BACIA
25,Baixo,12529,12534,I-BACIA
26,Amazonas,12535,12543,I-BACIA
27,Campos,12544,12550,I-BACIA
28,Nepomuceno,13571,13581,B-UNIDADE_CRONO
29,Amazonas,16625,16633,B-BACIA
30,hidrocarbonetos,18795,18810,B-FLUIDODATERRA
31,Amazonas,19896,19904,B-BACIA
32,Bacia,20473,20478,B-BACIA
33,Bacia,22729,22734,B-BACIA
34,do,22735,22737,I-BACIA
35,Alto,22738,22742,I-BACIA
36,Amazonas,22743,22751,I-BACIA
37,bacia,23062,23067,B-BACIA
38,do,23068,23070,I-BACIA
39,Alto,23071,23075,I-BACIA
40,Amazonas,23076,23084,I-BACIA
41,Rio,23097,23100,B-CAMPO
42,Juruá,23101,23106,I-CAMPO
43,bacia,23220,23225,B-BACIA
44,Amazonas,23235,23243,I-BACIA
45,bacia,23382,23387,B-BACIA
46,do,23388,23390,I-BACIA
47,Alto,23391,23395,I-BACIA
48,Amazonas,23396,23404,I-BACIA
