,TEXT,START,END,LABEL
0,Bacias,301,307,B-BACIA
1,de,308,310,I-BACIA
2,Campos,311,317,I-BACIA
3,Jequitinhonha,319,332,B-BACIA
4,Bacias,1622,1628,B-BACIA
5,de,1629,1631,I-BACIA
6,Campos,1632,1638,I-BACIA
7,Jequitinhonha,1641,1654,B-BACIA
8,Bacia,1673,1678,B-BACIA
9,de,1679,1681,I-BACIA
10,Camamu-Almada,1682,1695,I-BACIA
11,Bacia,4981,4986,B-BACIA
12,de,4987,4989,I-BACIA
13,Campos,4990,4996,I-BACIA
14,Bacia,5297,5302,B-BACIA
15,Bacia,5593,5598,B-BACIA
16,Bacia,5693,5698,B-BACIA
17,Camamu/Almada,5699,5712,I-BACIA
18,Campos,6736,6742,B-BACIA
19,Bacia,6872,6877,B-BACIA
20,do,6878,6880,I-BACIA
21,Jequitinhonha,6881,6894,I-BACIA
22,Bacia,7509,7514,B-BACIA
23,do,7515,7517,I-BACIA
24,Jequitinhonha,7518,7531,I-BACIA
25,Bacias,9336,9342,B-BACIA
26,Bacia,10666,10671,B-BACIA
27,do,10672,10674,I-BACIA
28,Jequitinho,10675,10685,I-BACIA
29,Bacia,10779,10784,B-BACIA
30,de,10785,10787,I-BACIA
31,Cama,10788,10792,I-BACIA
32,Bacia,11222,11227,B-BACIA
33,de,11228,11230,I-BACIA
34,Campos,11231,11237,I-BACIA
35,Bacias,11293,11299,B-BACIA
36,de,11300,11302,I-BACIA
37,Jequitinhonha,11303,11316,I-BACIA
38,Camamu-Almacta,11319,11333,I-BACIA
39,água,11950,11954,B-FLUIDODATERRA
40,Campos,12039,12045,B-BACIA
41,Bacia,16351,16356,B-BACIA
42,de,16357,16359,I-BACIA
43,Campos,16360,16366,I-BACIA
44,Jequitinhonha,17004,17017,B-BACIA
45,Bacia,17138,17143,B-BACIA
46,de,17144,17146,I-BACIA
47,Camamu-Almada,17147,17160,I-BACIA
48,Jequitinhonha,17539,17552,B-BACIA
49,Jequitinhonha,17855,17868,B-BACIA
